id,createdAt,goldScore,domain,favoriteCount,retweetCount,viewsCount,hasArticle,url,text
1995004490802762191,2025-11-30 05:38,9.4,04_conviction_trading_mindset,356,55,253286,False,https://x.com/0xcryptowizard/status/1995004490802762191,如果非要刻舟求剑的类比，我更愿意用2025年类比2019年，而不是2021年。  1️⃣ 类似的宏观环境，宽松前夕，水没进来只有预期； 2️⃣ 类似的代币表现，btc小涨（感谢etf，这次新高了），山寨趴在地上不动； 3️⃣ 靠 bn 带来小财富效应，19年的ieo，26年的bsc meme。  btc 接下来一定是70%+的跌幅？ 这是市场很多参与者的假设，刻2022年的k线。 真的不一定。  与其不停的猜测/预测/幻想牛熊，不如根据几种可能（宽幅震荡/筑底走牛/深熊开启）的假设安排自己的仓位和计划。  换一个视角看btc/ndx，周线已经在极端超卖的区间，这个chart在我看来就是基本面与流动性之争，可能已经是黎明前的黑暗。
1873218682329153799,2024-12-29 04:05,9.4,04_conviction_trading_mindset,349,66,108848,False,https://x.com/0xcryptowizard/status/1873218682329153799,链上每天会出现2万+的 meme，99.99%都会归零。  原因：大部分 dev 发的盘子毫无意义，纯借着各种“角度”来收割内盘外盘的。  其中，有能做长久的标的，这类标的分成两类：  🌟纯meme + 成熟团队 这类从起盘/控筹/产品/社区/做市/上所，都是有一个团队在背后。 下限主要取决于团队的成熟程度，包括控筹能力，做市节奏，社区运营娴熟度，市场和kol关系等； 上限主要取决于这个meme基本面：他的叙事是不是能感染最多的群体，传播是不是特别易于病毒传播，留存是不是能把最多的受众更长久的留在社区。  🌟ai/desci + 独立技术/成熟技术团队 这类项目的下限，同样包括了要做好筹码规划，做市，宣传等等基本要素。 上限主要取决于，pmf（产品市场契合度），赛道与叙事，团队技术能力等因素。 这类项目，最重要的不是社区，还是要看产品和生态规划能力。  以上两类项目，第一类标的社区极其重要，第二类标的社区权重稍微低一些。
1907252730416214340,2025-04-02 02:04,9.4,04_conviction_trading_mindset,330,60,103588,False,https://x.com/0xcryptowizard/status/1907252730416214340,一个有意思的话题，什么是一个山寨币的合理估值？这个市场上，有任何山寨币有基本面存在么？基本面是什么，共识，收入，还是什么？  简单想一下，就知道共识收入这些都无法解释，有收入的产品在熊市跌掉90个点很正常，因为币圈的收入也是跟着牛熊走的。  那最根本的也就是一个东西：流动性。  ⭐宏观流动性  以美元体系为主的宏观流动性，会给整体风险市场设一个锚定。  ⭐同类项目估值对比  经常会用的同类项目估值对比，比如公链，defi蓝筹，meme在一段时间内会有一个大概的估值锚定。  ⭐纵向热点  一段时间内，总会有一些热点板块，会享受流动性溢价。  比如20年的defi，21年的nft，23年的铭文，24年的sol meme 以及 ai。  所以，一个山寨币多少市值是合理的？完全取决于这三方面的流动性定价。  这就是唯一的基本面。  所以，价格会回到价值，这句话适用于币圈么？我觉得最多能适用在有限的几个币上。  而其他所有的山寨，都没有价值，只有流动性定价，看宏观，类目，热点。
1762328908928840085,2024-02-27 04:08,9.4,04_conviction_trading_mindset,275,52,108114,False,https://x.com/0xcryptowizard/status/1762328908928840085,新牛市，玩新不玩旧。  为啥？  🌟新生态和项目，估值和顶都没有天花板  btc 生态，即使算上接下来要上的各个L2，目前估值也不过百亿美金。  按照 eth 生态估计，还有几十倍空间；如果按照大饼市值算比例，那还有百倍空间。  最终是多少，不重要，重要的是，你不知道终局；就永远有争议，有期待。  这也是为什么luna崩溃之后，算稳再也不会出现牛逼的盘子了，新牛市的百亿美金新盘子，一定不是算稳，会是一种新叙事。  🌟新生态和项目，容易批量上所  一个新的生态和叙事，在大牛市，非常容易出现资产批量上大所的场景。  经历过上一轮牛市defi狂热的，还记得纯社区资产 $sushi 一周内上遍所有顶级所的往事吧？  还记得傻逼项目 $cover  （我被这个项目rug过三次），都能上到币安的场景吧？  这就是为啥大家都去冲梅林，冲各种btc生态的顶级叙事，未来的泡沫，都会在大牛市的二级消化。  你说傻逼才来接你们的低成本盘，好吧，那你为啥现在还在二级交易 ordi 和 sats 呢？  结论：新牛市，干 btc 生态，猛干。
1919277877524386293,2025-05-05 06:27,9.4,04_conviction_trading_mindset,230,38,78347,False,https://x.com/0xcryptowizard/status/1919277877524386293,在币圈，什么是好标的，什么是垃圾标的？  币圈投资，就是判断后续买盘和流动性。  非常少的情况下，某标的是存在类似收入/利润这种可以量化的基本面的。  99%以上的投机，是在判断宏观流动性（联储），圈内资金流向（btc szn/altcoin szn），叙事热点（narrative），k线形态，这些因素。  一个标的“好”还是“坏”，每个人的投机周期不同，风险偏好不同，甚至品味不同，都会有不同的答案。  这也是为什么我很少去批评什么标的（除非是明确诈骗/rug），买的人有自己的判断，不必替他人决策，所有人做出“买入”这个决定时，他都会倾向于认为后续还有更多买盘和流动性。  至于他的判断是否正确，盈亏会非常直接的给他答案。  即使 pump 这种极端标的出产数量和速度，99.99%都是垃圾，依然有人玩着能赚钱，这些玩家，熟练的掌握了在这种类型标的买入和浇给的技术，批评他们在玩垃圾标的，是没有意义的。  所以，判断一个币圈标的的好坏，就是在自己能力圈内，在自己的投资周期内，寻找到有足够后续买盘和流动性的标的。  如果一个币圈玩家，持续判断出错，很快就出局了。  不必 judge，自然选择会给出答案。
1788782257962180804,2024-05-10 04:04,9.4,04_conviction_trading_mindset,217,43,129343,False,https://x.com/0xcryptowizard/status/1788782257962180804,我在梅林相关标的音乐盒/笑脸黑卡等，浮盈回撤了几个m，这是需要深刻反思的。  🌟直接原因  简单看，是交易策略问题，这一点我跟 paul 也聊过，我没有定投定出，而是对自己的逻辑和判断，持有的标的过于执着。  正确的交易方式应该是一半质押进梅林，一半在质押前后定出，而不是我这种错误的操作方式：全部质押。  🌟进一步原因  但，更细致来看，更多是对自我的几个角色认知问题，这几个标的，我既是trader，又积极参与了社区建设，导致判断更主观，而非客观的对待交易策略。  🌟关于梅林  另外，对梅林的误判，看 jeff 在一些 space 也提到了他自己的反思：  动作太快，技术积累没有跟上； 允许ordinals nft参与质押等。  这里，我也从我的观察来说一些对“华人项目”代表，梅林的看法。  无疑，我是一直支持梅林的，原因很多：  梅林从去年8月起就在btc生态建设，是生态og； 梅林发布的420协议，和我的很多思考是趋同的（价格回撤很大，但我的判断不变）； 梅林的L2，试图为btc生态带来流动性和更多玩法，也和我的思考趋同（去年ordi 3u时候，我在L1论坛发表的帖子，阐述的就是类似的路径，一个可以上大所的L2带来的生态流动性和用户）；  🌟我对梅林问题的思考  那，回看过去几个月，除了jeff自己的反思外，从我的角度，梅林又有哪些问题？  华人项目，如何打开欧美市场，获取更广泛的流量？ 这一点梅林一直在努力做，我们看到，确实是华人项目面临的最重要问题之一。  一个早期生态，要慎重产生跟官方关系紧密的资产。 跟官方关系紧密的资产越多，意味着市场对项目发展的共识落地是分散的，集中共识效果可能会更好。 也许看起来没那么热闹，发展也会缓慢些，但是会更稳。  慎重挑选生态项目，找到让更多优质项目脱颖而出的机会。 梅林的生态项目，也是社区诟病的一个问题，从aa钱包，到merlinswap代币的价格，都让社区意见很大。  🌟现在怎么看梅林？  说完反思和问题，我对梅林主观上依然是偏爱的，不管是由于最早就跟进jeff和团队，对他们的认可；还是，在后面梅林发布过程中，一直也在参与社区，有感情。  客观来看，  体量还是最大的 btc L2 梅林依然拥有25亿美金的tvl，梅林的生态项目solv拥有10亿美金的tvl，avalon拥有2亿美金的tvl；  依然在不断创新 梅林幻影也好，尝试在L2创造流动性也好，你可以说有的创新没那么被市场接受，但不能说梅林没有努力在创造价值。  团队依然值得信任 不管是对空投的客观分配，还是应对如此大规模的资金，梅林并没有在安全性上出现任何大问题。 一个值得信任的团队，在crypto还是非常难得的。  以上，我尽量客观去分析我自己的投资策略失误，以及梅林的问题和机会。  依然，还是希望在更多时间沉淀下，梅林作为最大的btc L2能够摸着石头过河，走的更稳一些，也能走的更远一些。
1858074164453847052,2024-11-17 09:06,9.2,04_conviction_trading_mindset,555,127,135612,False,https://x.com/0xcryptowizard/status/1858074164453847052,这轮牛市，我能清晰看到几条线，和一个逻辑。  一个逻辑：代币生产方式变化，带来有财富效应的新资产，都来自链上meme，这就是本周期的defi 。  几条主线 政治线：musk 的 doge，以及 doge 溢出的交易所 meme 赛道； 经济线：美股命脉ai，对应币圈ai赛道； meme基础设施：sol，以及学习 sol 的其他公链，类似上个周期的 alts L1 。  我的仓位 政治线：pnut，neiro 经济线：act meme基础设施：sol
1892584182225973585,2025-02-20 14:36,9.1,04_conviction_trading_mindset,726,156,294446,False,https://x.com/0xcryptowizard/status/1892584182225973585,简单的一句话，要琢磨很多年，随着交易越久，体会越深。  比如：慢慢变富。  这句话，表面意思很简单，实际包含大量适用情况。  比如，为什么“只赚认知内的钱”这件事，这么难达成？  因为，“认知内”是一个击球区，通常要耐心等待。  而大部人，等不了，他要立刻暴富，所以，什么球都要打，是不是击球区不重要，关键是要不断挥棒。  结果呢？赚10块，亏5块，甚至亏20块。  从“暴富”，到从概率上，收益期望为负，慢慢变穷，或者快速破产。  慢慢变富，和只赚认知内的钱，看起来并不相关，其实底层逻辑是一样的。  再说个例子，为什么很多人止盈非常困难，出货有很大障碍？  因为，要一次交易定乾坤，要一个周期就翻身。  结果，在crypto呆了一个又一个周期，账户里还是那么点钱。  所以，慢慢变富，这4个字，包含的意思可能要交易了几个周期才能一点点理解。
1959459046488228251,2025-08-24 03:33,8.8,04_conviction_trading_mindset,707,70,215084,False,https://x.com/0xcryptowizard/status/1959459046488228251,未来3个月到6个月，依然看好，风险偏好会更倾向链上和山寨。  注意，没人能择时，无法预测什么时候开始（也许再下探1-2次呢？），会是哪个板块和叙事，只能观察。  所以，我的应对就是持有现货，链上小额热身，但大概率最牛逼的金狗还没出来。  怎么应对？ 我不擅长第一波，你们多看发掘龙头的高手吧，我不懂，也没成功过。 不管是20年的defi，还是ordi的mint，或者是ai的goat，meme的neiro，我都错过了。  我比较擅长观察总结后，玩儿第二波，比如defi的算稳（一个月100倍），ordi的二段（大仓位10倍），ai的act（100倍），ava（10倍），swarm（10倍），pippin（10倍）。  做好准备，好戏快开始了。
1981227671565849060,2025-10-23 05:14,8.8,04_conviction_trading_mindset,263,27,100435,False,https://x.com/0xcryptowizard/status/1981227671565849060,23年底24年初，是正经有一波所内财富效应的，当时链上铭文和ordinals也有一波；  24年底，solana meme（pump模式） 爆了一波，链上有一波更大的财富效应。  现在的困境是，所内也没有财富效应，链上也没有创新，两难。  不过，好的交易，不只是简单的看资产好坏，还要看价格。  不要忘记 eth 没拉盘的时候，大家是怎么骂的，dat 来了一切叙事就都来了，eth 还是那个 eth，变的只是价格罢了。  现在的情绪，我很难想到，对所内山寨还能有什么失望和辱骂了，推上的情绪全部是失望/愤怒，不管是行业建设者还是交易者，都在表达非常极端的情绪。  确实，现在要么是一个时代的结束（山寨全部归零再跌80%），要么是一波行情的底部。  分析是没意义的，要么下注，要么离场等一个新时代吧。
