id,createdAt,goldScore,domainId,favoriteCount,retweetCount,viewCount,hasArticle,url,text
1851170952186564740,Tue Oct 29 07:55:22 +0000 2024,4.7,bear_cycle_bottom_fishing,376,1,97736,False,https://x.com/0xmagnolia/status/1851170952186564740,"知行合一是最难的。
涨的时候什么狗屁逻辑都对，跌的时候什么逻辑都是狗屁。
如果能重来，你也不会在9.18号 @MooDengSOL 官推被封的时候，抄底河马，你也不会在10.12号 @truth_terminal  $goat 在15m横盘了一天梭哈山羊，你也不会在三小时前 @onsolban  回调到9m的时候抄底 $ban。
你只会在踏空的时候说 “早知道买点就不看了”
只会在回调的时候说 “我早就知道是土狗，你们看钻地了吧”
你最大的问题就是自以为是。"
2082344223240822858,Wed Jul 29 05:55:25 +0000 2026,4.6,bear_cycle_bottom_fishing,540,76,1020828,False,https://x.com/0xmagnolia/status/2082344223240822858,"流动性不足的时候千万不要以大博大。

你每天农几十上百u，完全没问题，把每天农的钱70％固定放在一个钱包，你就等那个全面恐慌时刻，就这三四个月的事情，肯定会等到。

抄底币圈真正的核心资产，3w8 $BTC 40 的 $SOL 1200的 $ETH 。提高自己的容错率。等明年3月一级真正全面爆发，之前抄的底就是给你做判断的底气。"
1783896506745209068,Fri Apr 26 16:30:45 +0000 2024,4.5,bear_cycle_bottom_fishing,38,7,14928,False,https://x.com/0xmagnolia/status/1783896506745209068,"现货分仓，建议都买不同的板块，因为现在山寨季还没到才39（山寨季指标链接在下面），所以二级游资都是错峰拉盘，方便滚仓。
举例 $polyx （rwa板块十月拉了四倍） $om（cosmosL1公链➕rwa概念11月到1月拉了10倍 。3月到4月中拉了5倍）
$ckb （BTC L2 一月底到四月中拉了十倍）
$vanry （元宇宙L1公链2月到3月中拉了7倍）
$cos （ai流媒体socialfi板块 3月到目前接近四倍）
虽然月份有部分重合，但大多是横盘时间，具体拉盘日期没多少撞的，你们可以去币安自己对照https://t.co/RbCpaL4sT7"
1792043626593460304,Sun May 19 04:04:29 +0000 2024,4.1,bear_cycle_bottom_fishing,224,14,282607,False,https://x.com/0xmagnolia/status/1792043626593460304,"一群傻哔笑死我了，还在那fud以太，知不知道这几天以太出了多少金狗。
    
    21年sol冲击260刀的时候，也是现在这个逼样子说什么ETH已死，新王登基，后来ftx暴雷，跌到8u我TM怎么不见你们几个公开抄底，一个二个说sol废了，说sol就是个宕机链，谁玩呐。

   你们他妈的就是墙头草，去年十月怎么不见你们这狗kol喊 $bonk ， $wif 底部拿上来的有几个，春节那会 $silly 几天就废了你们又不说话了， 最开始说 $nut 多么多么牛逼，现在币价跌成这个Beyond怎么不见你们建设， $chat 有几个拿住的，好家伙 $bome 之后全他妈sol的信徒是吧。

你们只不过是投机倒把罢了，哪个链火就吹哪个链，如果EOS火你们照样会吹柚子，玩土狗就玩土狗，还搁着说什么狗屁建设者，撸毛的从链上生态受益刷了交互还情有可原吹，你说你就天天冲土狗有什么资格往脸上贴金，还他妈到处fud，都是投机分子罢了，真下贱。"
2016695542081032521,Thu Jan 29 02:11:00 +0000 2026,3.9,bear_cycle_bottom_fishing,221,20,75303,False,https://x.com/0xmagnolia/status/2016695542081032521,"21年跟25年熊市转折多少跟币安沾点
  21年11月 $bnb 触及669美元新高后根据《财经》报道，Binance的估值将达到3000亿美元，其创始人赵长鹏持有30%的币安股份。
  按此计算，当时赵长鹏的身价现已达到900亿美元（相当于5733亿元）。这一身价意味着赵长鹏已成为华人首富
11月30号cz成为华人首富被各大媒体转载，甚至登上微博热搜。
  紧接着2021年12月4日午间，伴随大额BTC转入币安，并且有大量BTC现货卖单，比特币报价短时跌破42000美元，24小时跌幅超20%。以太坊跌破3500美元，24小时跌幅超21%(反正当时媒体主要都怪罪给了新冠变种引发的恐慌，FOMC会议是在12月15号当时还是缩债还没开始加息）

至12月4日晚7时40分左右，比特币报价约46500美元/枚，24小时下跌超18%；以太坊报约3850美元/枚，24小时跌幅约16%。
  
截至12月4日晚8时，共有41.7万人爆仓，全网合约爆仓金额达到了25.84亿美元。其中，光是$BTC 24小时内的爆仓金额就超过10亿美元。
  根据Coinglass从比特币持仓量来看，截至4日晚9点Binance比特币合约持仓占比达到了22.18%，在各平台中排名第一。 
更别说1011 的爆仓金额是12月4号的十倍不止，熊市转折点都是回过头看才知道原来已经是熊市了。"
2072189132022170105,Wed Jul 01 05:22:43 +0000 2026,3.8,bear_cycle_bottom_fishing,139,36,41367,False,https://x.com/0xmagnolia/status/2072189132022170105,"Are there any trench whales or smart money out there trying to bring back the animal meta on Twitter?
Something like @MooDengSOL  — just a fucking cat (@Slidingcatsol ) hit 240M views in just 16 days, smashing @elonmusk single-tweet record. A literal cat did that.
Real talk: do the whales in the trenches actually want @blknoiz06 to be the only one ruling the timeline forever? 🐱"
1622519980460998656,Mon Feb 06 08:58:02 +0000 2023,3.6,bear_cycle_bottom_fishing,105,6,122380,False,https://x.com/0xmagnolia/status/1622519980460998656,"–1：一级市场通俗来说就是链上直接发行未经过官方审计机构审计的项目，属于二级市场的下沉市场，通常国内外一级一般会在bsc，eth，sol发行土狗；
–2：需要注意的是，因为许多一级项目未经官方检测，许多项目会有隐藏合约，项目方可以随意增发代币，可以随时撤走池子；"
1771555296781230084,Sat Mar 23 15:11:11 +0000 2024,3.5,bear_cycle_bottom_fishing,47,4,87560,False,https://x.com/0xmagnolia/status/1771555296781230084,"个人对目前ton生态的见解:
1.现在很多人对ton生态持观望态度，新增用户根本没多少，这几天代币的上涨主要是老一辈bsc电报社区的人入场

2.推特跟电报的玩家人群基本是割裂的，各玩各的，不知道为什么推特上对一级市场尤其是bsc有一种天生的偏见

3.很多人拿tvl说事，人本来就是趋利避害的，觉得sol上热钱那么多 为什么要冒风险去玩ton生态呢

4.ton就是ton，没必要成为下一个xx，ton这条公链就是独一无二的，ton生态tvl这么小证明了发展空间很大，很多人只有等到，“啊？ton生态这么繁荣了，那我也来玩玩吧”，大多数人只会等到ton有造富效应后才会转到ton，说白了就是来接盘

5.ton链早就独立与telegram了，19年被sec弄了一次， 创始人 @durov 置顶推文已经说的很明白了，ton不是telegram的衍生项目，而是为了区块链革命做的准备

6.socialfi这么大的市场前景，telegram9亿月活那你觉得ton的潜力有多大呢？你能获取多少的收益，在于你能承担多大风险，永远不要对新生事物有偏见

7.拉盘就是最好的公信力，人们根本不会在意你的技术，sol没有操盘拉飞前，不是人嘴一句宕机链，现在还有谁说呢？市场上真正懂技术的人就那么一群人，大部分人是为了来赚钱，我管你什么技术创新，你只要让我赚钱你就是好技术，ton基金会既然拿出1.15亿来支持ton生态发展，都已经明牌告诉你了:不缺钱 ，你还要观望，等着做接盘侠吗？"
2038107203748651103,Sun Mar 29 04:13:18 +0000 2026,3.5,bear_cycle_bottom_fishing,46,3,14549,False,https://x.com/0xmagnolia/status/2038107203748651103,"熊市会放大“人对解释和依靠的需求
把“信仰”当成“判断”。

“金融宗教化”不一定真实，但能让人心里有个依托，不至于完全崩溃。减轻“熊市恐惧”。

警惕信仰投机盘 回归交易本质 https://t.co/nvH8YVbwwR"
2062375783340130584,Thu Jun 04 03:27:58 +0000 2026,3.5,bear_cycle_bottom_fishing,6,1,3049,False,https://x.com/0xmagnolia/status/2062375783340130584,@yangyue992125 因为sol当时跟ftx强绑定，所以sol的影响最大跌到8u，因为重新机构融资后，sol的下限不会太低，上限也不会太高，除非有机构飞轮，按融资逻辑来玩sol。
