id,createdAt,goldScore,isMilestone,hasArticle,favoriteCount,retweetCount,replyCount,viewCount,text,domainId
1972110389120045299,Sun Sep 28 01:25:31 +0000 2025,10.0,True,False,4555,1293,391,1243168,这段时间重新翻看了自己的推文，把其中我觉得比较精华的内容和一些高光操作整理了出来，虽然市场状况一直在变化，具体的方法未必适用了，但是如何寻找alpha、怎么将认知与实践相结合，这些思维依然是有共性的，希望能对大家有所帮助。  以下按时间顺序列出：  2022.04.22 NFT图狗Mint指南 https://t.co/p2iWg1Y9tz  2022.05.02 猴地逃顶获利200ETH https://t.co/D3dM6YPZ6d  2022.07.21 NFT抢购Bot指南 https://t.co/5DSQ8ZRlqP  2022.09.21 DogeClub单个图狗获利70ETH https://t.co/e6v6JNpSq1  2023.04.19 Memecoin基础科普（当时市场热点正从NFT转移到土狗币） https://t.co/pKUzISskNb  2023.05.09 重心换到土狗币后单周浮盈100ETH https://t.co/M6IE1iMbCp  2023.07.29 Pauly的Pond开盘3分钟1ETH变成44.5ETH https://t.co/qF8qXaMvtn  2023.09.12 香蕉枪Banana Gun发币复盘，白名单+开盘限购获利50ETH https://t.co/fa6gjJX65i  2024.01.05 节点猴NodeMonkes复盘，参与荷兰拍，0.03BTC成本最高地板价0.8BTC，获利3BTC https://t.co/sZSZC54Nac  2024.01.29 从1万~1000万资金量级，各个阶段的思考与经历 https://t.co/SLcVyYVPAK  2024.02.26 通过链上交易一个月赚$1M的复盘（发射台Moby的预售、Shib官方的404项目Sheb、DN404项目ASTX、公售随便打开盘上币安的Portal、Merlin链的$Huhu等） https://t.co/RBmigAeMKm  2024.06.19 反思自己在擅长的链上赛道过于谨慎，在不熟的山寨操作上仓位过重 https://t.co/USewGYUnmV  2024.07.08 各种原因导致一天踏空数个金狗后的思考 https://t.co/Qs8LzKKTJe  2024.07.17 特朗普枪击事件，相关热点土狗$Fight获利13万u复盘 https://t.co/8TjFp3rDTG  2024.07.24 关于“聪明钱”和“跟单”的看法 https://t.co/JRUYNn1h1V  2024.07.31 麻吉图币项目“BAYC”开盘发现套利方法，1分钟收获15万u https://t.co/YK4DgpCtzA  2024.08.23 Simon Cat预售复盘，一次堪称完美的打新机会 https://t.co/3FlbGJ1Y9w  2024.10.11 2M市值开始转推Goat相关内容，获利10万u https://t.co/u5ixxYF9qb  2024.11.03 马斯克置顶松鼠第一时间发推，获利19万u https://t.co/Hy0umF6Cat  2024.11.11 复盘SOL单链单月1M收益 https://t.co/ZMDGnL4rCy  2024.11.16 DeSci生态起飞前梳理线索，RIF+URO获利30万u https://t.co/83bcfXyzz3  2024.12.14 复盘为什么会卖飞自己早期发掘的项目，做多Goat和Pnut获利$2M https://t.co/Duj29TIe2i  2025.01.05 AI赛道相关代币一周获利$1M复盘 https://t.co/kYrRBaKIzI  2025.01.18 特朗普推特发布代币合约后“人只活一次” https://t.co/Pl2GYHvjX6  2025.01.19 $Trump单币浮盈$20M+ https://t.co/8wpEfG34Hq  2025.01.25 特朗普老婆发币$Melania，对后市看法由乐观变为不确定 https://t.co/9flGJySQqV  2025.02.03 认为不存在全面普涨，开始低倍做空山寨币 https://t.co/KN7ZYtjSGq  2025.03.30 对自己三年来币圈笔记的整理与分享 https://t.co/6ixE2dT7nj  2025.04.07 做空山寨币的黄金期已经过去 https://t.co/Njw0ACOhxd  2025.04.19 不要用战术上的勤奋掩盖战略上的懒惰 https://t.co/JYLPtIk9Vn  2025.05.01 $Gork获利18万u https://t.co/4r6jg7XGIE  2025.05.31 认为大部分山寨已经重新进入下跌趋势 https://t.co/i7esMiGsfT  2025.07.08 PumpFun公售是机会 https://t.co/JVIqiEgpPC  2025.07.23 链上Meme两大方法论，叙事交易和地址挖掘 https://t.co/GsQz7d2ZrO  2025.08.01 做多ETH，做空山寨币对冲 https://t.co/bAQUJhXYX0  2025.09.02 复盘做空WLFI获利$1M https://t.co/EmXIZlNy6b  持续分享观点，一是因为我一直都是一个表达欲较强，乐于总结归纳的人，二是这种公开发表的看法，假如后续能被市场所印证，其中收获的快乐甚至已经超越了交易盈利的数字本身。,05_shorting_hedging_and_risk_control
1913608106275397829,Sat Apr 19 14:58:20 +0000 2025,10.0,True,False,2391,488,203,488203,用雷军的话说，就是不要用战术上的勤奋，掩盖战略上的懒惰。  这个道理我是本科的时候才想明白的。高考前一个月我自认也非常努力，每天早上六点半起床，先刷一套理综卷，再上早自习，满心以为浙大稳稳当当，结果高考最擅长的数学和理综发挥不佳，只上了个普通985。  后来我才意识到，那段时间我以为的努力，更类似于一种机械化的自我感动，一套卷子做完，不会的题看过一遍解析就自认为会了，没有吃透其中原理，也没有举一反三去找相似题目练习。看似刷了很多套试卷，其实解题水平基本在原地踏步。  这样的现象其实生活里比比皆是，很多人确实上进，也充满热忱，但是最终流于表面。什么是真正的努力？是走出自己的舒适区，是深思熟虑后做出艰难的决定，是寻找差异化，是真正花心思动脑子去提高自身。  再举个盯链的例子，很多人觉得一杯茶一包烟电脑桌前坐一天，就是努力，假如还拿不到好的结果，就归因于内幕、运气这些外界因素。殊不知同样是盯链，如果只是盲目枯坐一天又一天，你所消耗的时间并没有给你自身带来长进，而有的人会利用这些时间熟悉最好用的工具、收集自己的聪明钱地址库、分析叙事和注意力对市值上限的影响，了解最热门最能吸引人的话题，长此以往，后者成了面面俱到的打狗高手，你依然是你。  天道酬勤，前提是找对正确的方向，否则只是感动自己。,04_capital_scaling_and_psychology
2009928527337165197,Sat Jan 10 10:01:18 +0000 2026,10.0,True,False,2125,174,491,193351,踏入28岁，距成年恰好十个年头。过去的2025年，于我而言是一个重要节点：在交易、投资的道路上，取得了阶段性成果，也得以让我有余裕回顾过往，思考未来。  在这十年的三千多个日夜里，我并不拥有规律的睡眠。一方面是工作导致，我常昼夜颠倒，也习惯性每隔一两个小时就从睡梦中醒来，观察盘面、浏览信息、并随时准备飞奔到电脑前操作。另一方面则是因为我入睡前时常已感身体疲惫，脑海中却又思绪万千。有时候，我觉得自己像《阿飞正传》中的无脚鸟，一直飞呀飞，飞累了就在风里面睡觉。  辗转反侧中，我会想起过往十年的种种。  高考查分时，自感良好却遭遇失利，那是我第一次体会到如坠冰窟般的绝望，毕竟对大部分中国孩子而言，这三位数字便代表了过去十八年的全部努力，也象征着未来的分叉路。那时的我尚未明白，人生即使并非旷野，但也绝不是轨道。  思来想去，直到开学三四个月后，我才最终放弃复读的想法。至少是985，至少是计算机，我将目标改为进清北复交读研。大一那年，我甚至比高三还用功，每天泡在图书馆，唯一的消遣是周五下午打球，周六网吧开黑。那时候，我意识到自己高三努力刷题却不吃透，其实是用战术上的勤奋来掩盖战略上的懒惰。最终，我排在专业第三。  年少容易轻狂，这又让我产生了“考高分不过如此”的想法，我开始松懈，频繁翘课，好多门期末考试全靠前一晚通宵抱佛脚。好在虽然偷懒，但不至于堕落，我依然满心要一雪高考滑铁卢的前耻。有人说AI是未来的热门方向，我就自学机器学习，参加Kaggle比赛，有人说实习和科研经历很重要，我就刷Leetcode，到处投简历。  大三，我拿到了一家大厂的实习offer，前往北京。这是我人生中最痛苦的一年，事后回看却也竟是命运转折的起点。当时的同事都很友善，但毕竟年龄差距不小，共同话题不多，同在北京实习的几个同学也很忙碌，偶尔才能一聚，孤独感伴随西二旗凛冽的寒风一起席卷而来。  更致郁的是，前一年从小亲密的外婆去世，如今又对未来充满了迷茫，不知道是就业、留学还是考研。往者不可谏，来者如何追？我开始严重失眠，常常到四五点才能入睡。好在实习工作压力并不大，空闲之余，我便阅读通识类书籍，其中包括《小狗钱钱》、《富爸爸穷爸爸》等理财启蒙书，并开始购买基金，这无疑是蝴蝶在我交易之路上扇动的第一下翅膀。  因为不想只是做偏基础的增删改查，我放弃了实习转正机会，开始备战考研。到了9月份，突然得到通知，一位保研的同学选择出国，我顺延得到了名额，并最终很幸运地进入了研究生导师的实验室，学习多模态AI。这让我喘了一口气，至少不需要为将来三年的去处而忧虑了。然而，在阅读一篇篇Paper的过程中，我很快意识到，数学是AI的基础，而自己的数理能力并不算顶尖，我又开始担心如果将算法工程师当做职业道路，发展会有限。  于是，我一边啃论文写代码，一边继续思考各种未来的可能性，对投资领域的了解也越来越广泛，从基金，到股票，再到Crypto。在大二的时候，我曾经靠出售游戏里的服装道具一天赚了8000元，那是俄罗斯区的活动，只需要一个邮箱并搞明白俄语网站的流程就能免费领取，却能转手以400元的价格卖出，虽然这个路径不可持续，但是让我意识到，拥有信息差，加上正确的执行，就能赚钱。  正因如此，我将越来越多精力投入到了币圈，相比其他品类，这是当时普通人更容易取得信息差的地方。研二的时候，我在上海的一家大厂做算法实习生，每天十点上班，晚上八点到家后，继续研究项目到凌晨两三点，靠着交易NFT，我赚到了人生中首个一百万。而这段实习，组里的同事都非常优秀，更让我意识到自己在算法领域没什么优势。最终，我下定决心，放弃了程序员道路，在毕业后全职交易。  再往后的事，这几年已写过太多，就不再赘述了。十年伊始，那个刚踏入大学校园，心怀迷茫的少年，第一次听说懂王特朗普，看着网友打趣其言论奇葩时，定然不会想到，在十年的尾声，这位第二次上任的美国总统亲自下场发行Meme币，而他恰好做出了正确的交易选择，一度成为了最大的个人持有者之一。  在深度学习中，全局最优是指全局的最佳值，而局部最优是指某一部分的最佳值，即使在每一部分都选取了局部最优，结果也不一定是全局最优，这是因为局部最优的有限视野导致的。回望过去十年，高考、实习、读研，在每个重要的节点，或许我都并没有做到局部最优，但我一直坚持着儿时的梦想，最终却也走向了一个极为不错的全局解。正如乔布斯所说，你无法预先把点点滴滴串联起来，只有在回顾时才会明白那些轨迹。  这个梦想，即做一个有价值，有影响力的人。我曾经希望实现它的路径，是亲自创业，做产品，而时至今日，我更想能以投资的方式，参与能影响甚至改变世界的企业。希望再过十年，再做回顾时，我能对心中那个曾经迷茫踌躇的少年说出：莫愁前路无知己，天下谁人不识君。,06_cross_market_and_vibe_coding
2045760821188551055,Sun Apr 19 07:06:02 +0000 2026,10.0,True,False,1276,230,87,183907,复盘了近期一些事件驱动的机会，我认为目前新闻交易依然是币圈最值得投入精力的方向之一。做交易的利润本质来源于两点，第一是方向性，第二是波动性，而新闻交易恰好符合，结合事件容易判断方向，同时也由于事件本身的影响，加上市场合力，会产生较大的波动。  2月$ETH异常天地针： 某个用户的做市脚本出现问题，导致一直在$2040~2060区间高买低卖，持续了10分钟左右，如果第一时间发现ETH交易量异常，并查看分钟线，就能在区间反向挂限价单，不停成交，实现获利，当时事后也有好几位高手在推特上分享，赚了几十万u甚至1~2M。  Lighter限制$Arc费率： 有庄家选择在Lighter上利用合约操盘Arc，在2.26的凌晨六点半，Lighter官方发布了公告，将每8小时的费率上限从4%提高到了20%，庄家如果继续做多扛不住资金费率，选择平仓，Arc随后在8小时内从$0.11下跌到$0.035。  $Fartcoin操纵 钱包集群在Hyperliquid上用类似之前操纵XPL的手法，目的是短时间内拉升Fartcoin价格，随后提出利润，剩下本金爆仓。最有确定性的是通过监控钱包集群的余额和钱包提取动作判断下跌时机，但是这次该钱包集群被反向狙击了，余额还没用完就被大量空单砸到清算价，Fartcoin从$0.25瞬间跌到$0.2，随后缓慢跌到$0.17。  Templar退出$TAO生态 Templar是TAO最大的子网之一，也是这波TAO作为去中心化AI上涨的核心叙事之一，在4.10号发推官宣退出TAO生态，TAO在5小时内从$330跌到$260，随后一路阴跌至240。  $RAVE大调查 4.18号ZachXBT发推表示交易所应该调查Rave这类控筹90%以上拉高出货的代币，得到Bitget CEO Gracy回应，随后Rave从$20开始下跌，14小时后最低跌破$1。  KelpDAO被盗 4.19凌晨KelpDAO被盗，造成AAVE坏账，攻击方式与跨链桥LayerZero有关，此后$AAVE从$111跌至$91，$ZRO从$1.9跌至最低$1.4。  要做好新闻交易，其实类似之前的盯链思路，要么投入大量精力，第一时间获取消息，结合快速的判断力，做出相应操作，要么靠认知，即使进场时间晚了，但是能判断出该事件是否可能带来更深远的影响，同样可以获利。  另外，随着这波妖币带动的山寨行情逐渐进入尾声，我重新开始了做多BTC，做空山寨的对冲，标的选择上，依然是以前的思路，仓位分散，优先选择非全流通、非新币、叙事过时的山寨。其实能感觉到目前币圈的流动性依然非常差，而且随着大量山寨币的叙事破灭，RWA资产被引入，山寨整体相对大盘继续下行是大概率事件。,05_shorting_hedging_and_risk_control
2055306677751325000,Fri May 15 15:17:52 +0000 2026,10.0,True,False,910,151,135,156093,最近对于交易有了新的感悟。  大部分厉害的交易员，内心都是极度自信的，一个随波逐流的人很难在交易上拿到大结果。问题是，没有人能永远正确，也没有哪一笔交易是绝对意义上的百分百概率盈利，那么最重要的事情，就是在判断对的时候多赚，在判断错的时候少亏。  为了做到这一点，在具体执行上：  1、必须清楚每笔交易背后的逻辑，有大致的止盈思路，和严格的止损策略，从而用有限的风险，换取尽可能多的利润。  2、尽量选择简单的市场与合适的标的，投入适当的仓位，否则会受制于流动性和深度，无法严格按计划执行交易。  以上思路，对于不同资金量级都适用，例如：  小资金玩家参与链上，往往是用大量的试错，来换取高倍数收益。  中等资金玩家，面对近期的妖币行情， 做多要远好过做空，因为做多风险可控，潜在收益高，而做空恰恰相反。  大资金玩家，这半年最适合的市场是股市，因为流动性充足，走势流畅，并且在AI浪潮下，Upside大于Downside。,05_shorting_hedging_and_risk_control
2068216709568233975,Sat Jun 20 06:17:43 +0000 2026,10.0,True,False,747,96,168,138817,最近越来越体会到成为一名全市场交易员的重要性。  这并不是说需要对每类资产都了如指掌，难度太大也不现实，而是对不同市场有基本的了解，做到既可以跟随各个市场的牛熊进行轮动，选择相对简单的作为主战场，也能够具备充足的敏感性，极大提升捕捉机会的覆盖面。  举几个例子说明：  第一个是智谱，近一周股价接近翻倍，主要催化剂并非来自业绩或数据面，而是在一个完美的时间节点发布了GLM 5.2。Fable 5因为美国政府出口管制要求被下架后，市场对AI的访问权与监管问题产生了担忧，目光聚焦在主权AI和开源大模型上。GLM 5.2优秀的评分，在英文区引起了广泛的讨论，再加上本身流通股就少，这些因素共同助推了这波暴涨，让智谱成为了这次事件的最大受益者。  第二个是近期加密货币市场的一些机会，例如Hype监管利好/Circle合作/上线Pre-IPO等都可以做多，微策略卖币可以做空BTC，都是盈亏比非常好的交易。  第三个是2月底的时候，我开始找渠道想投Anthropic，主要逻辑基于两点，一是配置AI赛道的龙头公司肯定没错，二是Anthropic和OpenAI的估值差距与Claude和ChatGPT的表现差距不符。当时市面上的deal报价普遍在390~440B左右，而且Ticket Size要求都比较大，如果顺利投进去已经能翻2.5~3倍，但最终没有拿到额度。  这可以说是上半年最令我遗憾的一件事，直到前几天和群友聊天，突然意识到，其实同一时间买入 $SNDK 、 $MU、 $NBIS 等，都能吃到3~4倍的涨幅，而这几只股票其实不难选中，难的是一路拿住。  这两者相比，投Pre-IPO的确定性相对强一些，也更容易拿住，但需要较高的门槛和繁琐的流程，而且期间可能因为各种原因导致最后收益无法落袋，例如SPV不受认可或者对方机构不靠谱等等；而直接二级交易美股则更简单快捷，流动性充足。  这也进一步印证了对各个市场都有所了解的重要性，如果当时对于美股有更广泛的认识，意识到这波存储需求的结构性变化，对Forward P/E有更深刻的理解，都能帮助更坚定地持有。,06_cross_market_and_vibe_coding
2050092859215470952,Fri May 01 06:00:01 +0000 2026,10.0,True,False,380,28,54,166776,这波美股上涨真给了我一点小小的震撼，看了一下之前在TradeXYZ的仓位，如果多拿半个月，到现在利润能多接近$2M，当然这样的计算并没有什么意义，当时选择清仓就说明认知不足以吃到后续的涨幅。  这个钱包最开始是为了交互TradeXYZ，大概从去年11月开始，因为听说美股主打一个长牛，所以选择了持有NDX100（XYZ100）净多头头寸，加上一些提高交易量的自动化策略，结果恰好遇到了美股回调，最后这部分仓位带来了35万u的亏损。  之后从今年2月份，开始做一些主动交易，一方面还是为了继续交互，另一方面也打算探索一下美股，因为XYZ上可交易的标的相对不多，所以我的持仓也比较集中，基本就是四只股票，其中NVDA和GOOGL是一路越跌越买，SNDK和MU则做了几次波段。  到了3月底，市场对战争和地缘风险的恐慌达到了顶峰，对宏观经济的预期也极为悲观，因此美股集体下挫，跌至谷底，这时候我的账面浮亏已经到了$1.5M，但是我没有选择割肉，还是继续加了些仓位，逻辑主要基于两点，一是战争不会从根本上改变全球对AI的需求，二是特朗普随时会选择Taco来缓和局势。  很幸运的是，市场开始触底反弹，随后我在四月上旬开始陆续清仓，最后这四只股票总共盈利$1.05M。这样决策的原因，一方面是浮亏太久，解套后心理层面会很想减仓，另一方面是我判断美伊战争不会在短期彻底结束，依然会对市场造成负面影响。结果万万没想到，美股硬是在如此动荡的局势下，走出了一波历史级别的反弹，以现在的视角看，卖飞太多了。  事实证明，近几个月的美股，由于AI产生的巨大需求，完全是简单模式，甚至不需要做很深的研究去挖掘各个板块来找到Alpha，只需要买入Beta并且拿住，就能有非常丰厚的回报。可惜由于路径依赖，还是选择了将大仓位留在币圈，而这几个月的币圈，无论做多做空其实都挺难的。  芒格说过“鱼在哪里，就到哪里钓鱼”，巴菲特也说过“如果你发现自己在一条长期漏水的船上，那么把精力花在换船上，比花在补漏洞上更有效率”。选择大于努力，而很多时候恰恰做出选择本身就是最大的努力。,06_cross_market_and_vibe_coding
2025549966002049192,Sun Feb 22 12:35:19 +0000 2026,9.5,True,False,2195,259,183,585082,分享一下自己最近在做的几件事：  1、学习股票：随着资金量增大，了解新的投资领域很有必要，并且股票也是我认为普通人最有机会吃到AI红利的地方。我的做法是从基础开始，例如看美股市值Top200公司的资料，了解PE、EPS、期权这些概念，同时开始在链上进行一些美股交易，建立盘感。  2、Vibe Coding了一个每日全球新闻摘要：涵盖全球热门、科技/AI、金融/宏观、美股/A股/港股、风投、国际政治、大宗商品等板块，消息来源是各大权威媒体以及一些付费Newsletter。  3、了解投资Pre-IPO的渠道：美国顶尖科技公司从成立到上市的年份逐渐变长，很大一部分价值增长在私募投资阶段被消化。但是经过我这段时间的了解，目前非美国身份的个人投资者参与私募投资还是比较困难的，有合规、资金、渠道等各方面障碍。  4、咨询律师：包括用于跨境投资的实体设立和身份规划等等。  这几件事并行推进，同时又息息相关，例如新闻摘要有助于建立美股的投资逻辑，身份规划对投资Pre-IPO能起到帮助，虽然是加密熊市，反而每天都觉得时间不够用。,06_cross_market_and_vibe_coding
2001642353694781635,Thu Dec 18 13:15:00 +0000 2025,9.5,True,False,1114,133,300,319419,受巫师的启发，正好也有这个需求，就Vibe Coding了一个汇总币圈新闻的脚本，每8个小时，根据我常看的30多个TG频道，将内容总结后发出来，一般会包括重要新闻、市场分析、项目动态和其他四个板块，开放给大家阅读：  https://t.co/qwlFNtYsqN  牛市盯着电脑手机的时间多，睡醒第一件事也是爬楼群消息，所以不太怕错过资讯，现在熊市的味道越来越重，推特和群聊的活跃度都下降了，但是又希望能了解市场动向和热点，自己测试了几天，每天3次，每次阅读10分钟，基本够用了，比起每天挨个翻看所有频道要省事很多。  频道大部分选自中文圈和英文圈比较权威的币圈媒体，也包含了少数韩文频道以及交易员的个人频道。  几种最新的AI模型都进行了测试，对比下来，对于重点的选择基本一致，区别是详细内容的简略之分，最后选用了相对详尽的GPT-5.2，我习惯先看加粗的新闻标题，感兴趣就阅读完整内容，末尾也附上了出处链接。  如果有什么建议和想法，可以在评论区留言，我会参考并进行更新。,06_cross_market_and_vibe_coding
1869976608981061987,Fri Dec 20 05:22:20 +0000 2024,10.0,False,True,871,295,189,426385,https://t.co/MazUDwW3FI,03_onchain_sniping_and_arbitrage
