推文ID,发布时间,所属板块,点赞数,转推数,浏览量,实战含金量评分,完整推文正文
1970715181916557733,Wed Sep 24 05:01:28 +0000 2025,05_contracts_mm_token_loan,30,0,10590,8.3,"接着这个话题，为什么明知“刷量”是虚假繁荣，大家都还在做？

是傻吗？还是因为真·有效

1. 没有交易量就没有油水，没有油水就没有做市商，没有做市商就没有深度，没有深度就没有（真）交易量

2. 这种模式会产生很适应时节的物种，比如bn alpha上的 koge，没有刷量需求就不会有这种“稳定交易对”；比如各种交易脚本 （@Web3Feng 的工具大家看下，亏了在他维权就行，我没收广告费）

生态周围的工具就会逐渐完善

3. 大部分人都是市价单taker买卖，这种就是mm们最喜欢的交易类型，一直可以吃价差，mm就有动力进来推人力/机器来做（mm就是跑脚本，最重的成本反而是初期的投入）

而且taker的手续费还高，平台也开心；然后发空投的时候分期发，但是收入实时收到。这生意做得

4. 数据喜人，虽然有点假，但是至少给接广告的kol们大路辩经的信息源

总不能干说吧，总要上点数据（虽然没什么直接关系）

多说一句：看oi的意义也不大了，要看杠杆和tvl三者的关系 ，清算数据 etc 

就说到这，再说我就得罪人了"
1970699178222461351,Wed Sep 24 03:57:52 +0000 2025,02_contracts_clearing_adl,24,2,20427,8.8,"给perp dex刷分/刷量说句废话

1. 首先刷量刷分在perp dex是很正常不过的事情， @HyperliquidX 也有机刷的（cex也有），有激励就有行为，不要觉得这是什么不好的事情 - 海纳百川才是dex 该有的姿态

没有羊毛，何来的羊毛衫？没有羊毛衫，孔乙己何来的长衫？没有长衫，皇帝何来的新衣？

2.刷分的主要收益alpha是哪里来的（pre tge）？本质上就是预期这个token在tge的时候会高开

已知项目方会把x%的token散给积分持有人，币的数量是固定的，只能拼币的价格，而币的价格取决于上所、流动性、控制筹码、爸爸、拉盘、市场预期等等 - 目前因为 $aster 夸张的涨幅，打开了想象空间，所以各路人马才纷纷涌入 （edgex和lighter的perp vol都已经快到火星了）

但是大家要能分辨 - 这个版本里币价能涨？能涨多少？跟基本面/叙事的相关性已经越来越小了，是筹码/爸爸喊单/机制/燃料 etc

大家细品一下：是币价涨了，才有叙事？还是叙事有了，才造成币价疯涨？

3. 第二个刷分收益的考量就是分母——你自己的积分在哪个位置？已知项目方给的币的激励是固定的，那么个人能分到多少就取决于自己的份额

随着越来越多的人来刷，分母只会越来越大，那么每个积分平摊到的就会越来越少（低保的除外），这其实项目方非常愿意看到的，就相当于是鲶鱼效应，不断促进大家往前走 - 交易量越高- 收入越高 edgex的24h收入接近2m了

另外，能做到这种大规模“交互”的都是专业的api，普通人根本搞不了（perp的刷量跟spot还不一样），刷刷低保参与一下就好，不要真的觉得自己能刷出单笔a7/a8

4. 如2所说，这个版本“高开”的核心之一是控筹 —— 很难一开始就把大量token散出去的，即使散给你，也会有针对“大户”的一对一辅导

5. 不是撸毛不好，更不是perp dex没有想象空间 —— 但是这种热到不行的ktv 厢房，跟普通人没什么大关系，适当参与一下，了解一下市场热点就行，别all in

认知之内，但是又有意料之外的机会才是睡的着觉的。"
1970675177802604833,Wed Sep 24 02:22:30 +0000 2025,09_trader_mindset_essays,5,0,2372,5.0,"市场上最有拉盘效应的gm

没有之一"
2102779180438233390,Wed Sep 23 15:16:39 +0000 2026,09_trader_mindset_essays,9,0,3229,5.0,我去 回调来得这么快嘛？ 🤣 https://x.com/agintender/status/2102261035810083224
2102741873538548219,Wed Sep 23 12:48:24 +0000 2026,09_trader_mindset_essays,0,0,532,5.0,@ZTZZBTC 还有名额吗？
2102686662128222305,Wed Sep 23 09:09:00 +0000 2026,09_trader_mindset_essays,8,0,3316,6.6,"给打GLP1 / 司美格鲁肽的朋友们，提个醒哈

现在在美国算是闹得比较凶残的一个医患纠纷，大意是说长期打GLP1 可能会造成诱发NAION 突发眼疾，这个事情或造成永久失明。。

这个现在还没有定论，正在走司法程序，而且这类的研究一般都耗时耗力，暂时也不用太惊慌。。 不过对于 $NOVO.NE 的股价就有点小伤"
2102640568589545837,Wed Sep 23 06:05:51 +0000 2026,08_macro_first_principles,28,0,3366,6.9,"有小伙伴问我，做内容写substack能给读者赚钱吗？

不，或者说很难，写机制讲原理是不直接赚钱（或者说让你少亏钱）

一般都是说观点，看好这个，不看好这个，买这个，卖那个… 这个的流量和效果就很明显

然后越短线的操作，效果和流量越好 - 立竿见影啊～

但为啥我还是愿意写原理和机制呢？除了是因为我的水平不够之外，就是观点会随着主客观的条件变化而快速变化，但机制和原理不会

观点不一定能穿越周期，但机制可以

了解机制和原理不能马上爆发（偶尔也可以啦～） 但这个会慢慢累积优势 - 慢慢变富

知其然且知其所以然"
2102576458346676725,Wed Sep 23 01:51:06 +0000 2026,09_trader_mindset_essays,1,0,1320,5.0,"@0xcryptowizard 好的 我研究一下 zama 
好久没重仓山寨了 要找点感觉"
2102573794053533978,Wed Sep 23 01:40:31 +0000 2026,08_macro_first_principles,2,0,4648,5.4,@0xcryptowizard 老哥这个周期信念交易是 $zama ？
1704433111080022439,Wed Sep 20 09:51:35 +0000 2023,09_trader_mindset_essays,9,4,599,5.8,"Lego-able is the key of the DeFi protocol
@marginx_io 2.0 is heading to that direction"
1968242846680629609,Wed Sep 17 09:17:17 +0000 2025,02_contracts_clearing_adl,19,0,4171,6.9,"已知开交易所/协议就是来挣钱的，不外乎就是手续费，清算，价差，客损，上币费，发token….

是0手续费，不是0收入 - 不从手续费赚钱，那还能从哪里赚到比手续费更高的收益？

有人盯着利息和未tge的token，庄家还盯着你的本金和贡献的数据

做有选择权的交易，把主动权放在手里

你的收益不应，也不该依赖别人的仁慈和大方

尤其是在现在这种mm/交易所/上所要求极度控筹的市场环境下，你还指望恩泽大地，不是不可能，但赔率不高啊"
1968213472279400647,Wed Sep 17 07:20:34 +0000 2025,06_contracts_short_selling_phil,11,0,2799,6.9,"啊哈 说得真好

我其实跟你一样，我是相信perp dex能承载10b、100/500b的市值，毕竟dex的交易量相比与20/21年已经有了有了很大的进步，也占到20%的份额，未来的交易量大分庭抗礼，甚至有有赶超cex之势

不是perp dex没有押注的价值，而是对现阶段的方盘别fomo

多说一句，照搬cex现有模式去做perp dex迟早出事

ps：我持有市面上绝大部分的dex token，$pendle / $hype / $gmx $dydx $uni etc"
2100181229815648566,Wed Sep 16 11:13:19 +0000 2026,07_listing_lobbying_power,3,2,5251,7.4,"不同的视角看待不同角度的“上币费”（不谈什么腐败/undertable/中间人）

我感觉就有点类似之前西贝的预制菜风波… 角度和定义的不同

对于西贝来说，提前卤好的牛肉，冷冻的西兰花是前置处理，不是预制菜；但对大众来说，只要不是当场做的就是预制菜

其实两边都有道理的，但就是没办法调和

对于交易所来说，合同里确实没有上币费这一明目；

但对项目方来说不管明细是什么…营销费用，空投，管理费用，流动性，抵押金bla bla bla 只要是从我口袋出去的（尤其交易所还规定币的floor price限制，所以发出去的币还得买回来，就是费用），所以对项目方来说这其实就是上币费 

这个是基本没办法调和的角度问题 - 技术/合规上，确实没有上币费这一栏，但你上币难道不做活动吸引流量吗？这些预算都是为了让你的币有交易量有活跃度- 可是ho，很多项目方可不是这么想的，他们就觉得这是交易所换着一个花样来跟我收钱而已

一方觉得，我这个钱可是花在你身上的啊，我又不用；
另一方觉得我这个项目需不需要营销难道我不知道吗？还需要你来安排？而且你说是不是每个项目都需要营销费用？你看看meme… 上线之后有营销吗？

交易所有平台币要赋能，有用户要照顾，出事了还要扛风险，保险金亏了要赔钱… 都是商业机构，收点营销费用合情合理

项目方呢？上币是为了赚钱，现在反而搭进去这么多，几百万的营销/流动性，到最后都是亏着出来，成本都不够cover，那你说上来干嘛？所以这也导致收割的方式越来越“创新”（参靠鄙人的合约镰刀系列）

这就陷入了一个三输的境地- 项目方赚不到钱；交易所也赚不到钱；用户被割

也许是时候重新审视这种模式了

交易所的本意是想帮项目方花大预算造势；
项目方收获流量，流动性和价格（大家想一下19-22年的ieo，launchpad/pool）

所以项目方才前赴后继的花钱，撒币；用户才乐此不彼参与.

但这毕竟是ieo时代的黄金坑，这一套的打法在当时确实非常有效，但此一时彼一时，这套打法的边际收益越来越低了，甚至都是负数了

这是时代的演进，也是行业的印记，都是我们的来时路

stock perp，rwa都来了，新的上币模式还远吗？"
2100161962227487043,Wed Sep 16 09:56:45 +0000 2026,09_trader_mindset_essays,8,0,4615,5.8,"看样子，我的脸要被打肿了。。 😂😂
但我还是默默的在poly买了50u的彩票，万一呢？ 

站在非共识的一侧，注定是赢个大的，或者赔个面子～ https://x.com/agintender/status/2098773738942832818"
2100157029449138646,Wed Sep 16 09:37:09 +0000 2026,09_trader_mindset_essays,0,0,0,5.8,"每次看到这种图，我就下意识得觉得 - 要不还是站在非共识的那一边吧。。 

赢了就是赚波大·里子
输了就是赔个小·面子

无非被人笑话而已 https://x.com/NickTimiraos/status/2099877396606328895"
2100108575087772054,Wed Sep 16 06:24:37 +0000 2026,07_listing_lobbying_power,11,1,4087,7.0,"很多事情其实都是慢慢演进过来的

比如现在的KOL round，就是2017/18年那会儿从advisor 的份额演化过来的产物

当时候ico方兴，行业还在早期，谁都不认识谁，但是都要融资… 除了whitapaper外，那你要怎么增加大家对你的信任感.. 不外乎就是找人站站台 - 保不齐就有人认识，就参与公募了

当然还有一个作用就是- 有人站台，咨询了xxx，代表你至少懂了xxx，就代表你比只有白皮书的人还多了一步，这个时候的advisor一般都是专业人士，律师/技术大拿/教授/vc等等

随着时间推移，大家都不太care advisor- 顾问具体的作用（技术/合规的作用）更在乎募资作用 aka 能帮助融多少钱，这个时期的advisor就是名人/明星/项目创始人/vc

再后来ct盛行，加上crypto vc多如牛毛.. 融资反而不是最难的，难的是上所，而上所又需要ct上的声量，所以advisor的作用换成了ct上的大v（之前是付费推广）

之后上币政策收紧，high fdv low float之风开始，advisor的份额成为了封控对象，既不能一开盘就解锁；而且大v的影响力下降（数量太多了）但是呢？项目方又不想花钱找他们推广，又为了规避交易所规定advisor份额必须锁仓的限制（不这样的话 kol不参与） 想出来了kol round

即kol付费参与打新，属于投资人之列，可以tge当天解锁份额

但是好景不长，这个东西在随后以合约操盘为主的市场环境下又变了，为了更好地控制筹码结构，kol round的份额也需要锁仓了…"
2100091475212271733,Wed Sep 16 05:16:40 +0000 2026,01_contracts_scythe_series,21,0,10364,6.4,"各位知道 ethereum:0x6033f7f88332b8db6ad452b7c6d5bb643990ae3f 在最高点2.37的2% depth时候的流动性是多少吗？ 8000美金… 

这篇复盘文的目的就是要告诉大家 - 做妖币的对手盘只有等着挨刀的份，差别只是什么时候… https://x.com/agintender/status/2099798256251445362"
2100024812215439376,Wed Sep 16 00:51:46 +0000 2026,01_contracts_scythe_series,0,0,0,6.5,"你觉得需要多少钱来做到20倍？

全网第一篇的合约镰刀复盘指南终于来了  - 这篇文告诉你，庄家是怎么利用你的不相信、不甘心和贪心来收割你的保证金

《合约镰刀收割档案（一）：LSK 四天 20 倍花了多少钱？赚了多少钱？》 

有兴趣的小伙伴，substack见啦～ 
https://agintender.substack.com/p/lsk-20?r=8gs9xi&utm_campaign=post-expanded-share&utm_medium=web https://x.com/agintender/status/2099502998724710700  "
1701878285381304748,Wed Sep 13 08:39:37 +0000 2023,09_trader_mindset_essays,11,5,438,5.8,New look on @marginx_io https://t.co/TAgujd0HSD
1701877408876704170,Wed Sep 13 08:36:08 +0000 2023,09_trader_mindset_essays,4,1,155,6.2,"Margin X2.0 is a delta neutral automated limit orderbook market maker for perpetuals
Or
An automated limit orderbook market maker for perpetual 
Which narrative is better?"
1701818928580956254,Wed Sep 13 04:43:45 +0000 2023,09_trader_mindset_essays,3,0,139,5.0,Alo folks @marginx_io
1701817818277367989,Wed Sep 13 04:39:20 +0000 2023,05_contracts_mm_token_loan,6,2,803,6.2,"MarginX , an automated limit order book market maker for perpetual trading 
#alo #aloisthenewamm
@marginx_io"
1965783401778106776,Wed Sep 10 14:24:20 +0000 2025,09_trader_mindset_essays,177,55,37198,5.6,https://t.co/BaAgbVt1F9
1965664587669213491,Wed Sep 10 06:32:12 +0000 2025,01_contracts_scythe_series,485,149,73572,9.8,"《合约算法镰刀》系列文章——阅读导览
有读者说不太容易找到《合约算法镰刀》系列的文章合集，我这里就写了一个阅读导览（附上链接），给有需要的朋友看看。

希望能给大家对于“永续合约交易”有一个体系化和结构化的认识。
知其然，且知其所以然。

第一、理论篇
1. 资金费率
https://t.co/SeHCOYV1dA
2. 清算与爆仓
https://t.co/6JaQcOlKyL
3. 标记价格和盈亏算法 
https://t.co/dYbegSonQK
4. 盘前交易与拥挤交易
https://t.co/KpNE3caSDh

第二、交易所机制篇
1. Binance与OKX（旧）算法对比
https://t.co/Tu6gKYt96v
2. Binance与OKX算法对比
https://t.co/vOoRVrs4g0
3. Bybit与Bitget 算法对比
https://t.co/orWyZ3I6qI
4. CEX与DEX的算法对比
https://t.co/NYEb5ynpfy

第三、数据讲解篇
1. 持仓量与市值
https://t.co/6qR2w5S7oG
2.多空比
https://t.co/lgHME9tYFN

第四、案例分析篇
1. Jellyjelly
https://t.co/nX6KpvTcPE
2. Alpaca
https://t.co/GfGooVF6vj
3. MYX Finance
https://t.co/bVq0u9IZK3

第五、番外篇
1.Hyperliquid的巨鲸算法
https://t.co/WXuojyWptu

ps：我最近也在写一个“考卷”，也给关注我的老粉们做一个“期末小考”，尝尝咸淡。🤣 

pps：世事洞明皆学问，只要你深入研究，总能自成体系。"
2097722508720177571,Wed Sep 09 16:23:14 +0000 2026,09_trader_mindset_essays,0,0,1281,5.0,@Ru7Longcrypto 蔡依林即视感。。
2097715129463050516,Wed Sep 09 15:53:55 +0000 2026,09_trader_mindset_essays,0,0,0,7.5,https://x.com/i/article/2095816709286531072
2097686099665846345,Wed Sep 09 13:58:33 +0000 2026,09_trader_mindset_essays,0,0,0,7.5,https://x.com/i/article/2097272634673385472
