类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
万字研报,合约镰刀收割档案（一）：LSK 四天 20 倍的起承转合,Thu Sep 17,5214 字,2099863996077936640,"9 月 10 日 0 点，LSKUSDT 永续合约价格 0.116。9 月 13 日 03:28:14 UTC，价格为2.3705。四天，涨了20 倍。13 日一天，永续合约成交 3,580 万笔、32 亿美元；四天合计 43 亿。   按常识，20 倍的涨幅需要大量的资金、大批买家。有人拿钱进来，..."
万字研报,合约算法镰刀（拾陆）镰刀在周末：Bitget Stock Perp算法的风险、护栏与操纵面,Thu Sep 03,6439 字,2095407947325317120,"星期六，NASDAQ关门，NVDA没有现货价格，但Bitget上的Stock Perp还在交易。问题来了：如果华尔街不报价，谁有资格告诉你NVDA现在值多少钱？ Bitget的答案，是让自己的orderbook接班：2,000 USDT验盘口，300秒EMA慢慢认价，再用±10%的Index围栏和M..."
万字研报,合约算法镰刀（拾伍）：揭秘币安Stock Perp的Oracle算法及周末定价权的核心,Thu Aug 27,7471 字,2092878928079962112,1987年的《华尔街》里，一笔股票订单从电话那头传进纽约证券交易所，书记写ticket，runner拿着单子穿过交易大厅，交易员在一片叫喊声里完成成交，新的价格再通过ticker传出去。今天手机上按一下按钮就结束的事情，当时是真的要靠人在交易大厅里跑。 《繁花》里的大上海也差不多。九十年代初，浦江饭...
万字研报,合约算法镰刀（拾肆）：是什么让本就脆弱的妖幣變得更加脆弱？难道又是币安的锅？！,Sat Jun 20,7041 字,2068163155038261248,$H 用十几分钟从 0.865 砸到 0.052，跌了 93.9%，多头成片爆仓。所有人都在骂庄家插针、骂黑客砸盘、骂交易所风控——可这根针扎在 BTC 上没事，扎在 $H 上就是雪崩。 其实要命的不是那笔卖单，是妖币身上四个一环扣一环的弱点：MMR 天生更高，资金费一天天磨你的本金，盘口薄到一笔市...
万字研报,合约算法镰刀进化史：永续合约十年，幕还未谢,Fri Apr 24,16102 字,2047535174309556224,"2020 年 3 月 12 日，BitMEX 的老黑做了一个违背祖宗但拯救世界的决定——切断自家服务器的网络连接（aka拔网线）。对外公告说是""遭到 DDoS 攻击""。但真相到底是什么呢？！ 真相是：订单簿上只剩下 2000 万美元的买盘，面对的是 2 亿美元的待执行清算卖单。如果不断网，BTC 合..."
万字研报,合约算法镰刀（五）：永续合约交易的爆仓美学——论交易所的强平清算之术和不败之道,Mon Jul 28,10005 字,1947947259649552385,平仓与清算，是交易所与每一位交易者迟早要面对的“宿命“。如果说开仓是一段缘分的开始，带着情绪、信仰与幻想；那么平仓，就是那段故事的终结，不论甘愿还是不舍。 其实强制平仓是对于交易所来说是一件”费力不讨好“的事情，得罪用户不说，一个不小心还容易把自己搭进去，而且把自己搭进去之时可是没人会怜悯自己的。所...
万字研报,合约算法镰刀（十二）：交易所视角下的操纵风险管理之道与操盘手的虎口夺食之术,Mon Nov 10,4244 字,1987799652675264512,近期，$MYX、$AIA、$COAI等妖币的“小马拉大车”式的过山车表演，不仅让无数交易者蒙受巨额亏损，更将矛头直指交易所的清算机制和风控能力。剧烈的“拉高出货”手法揭示了一个矛盾：交易所依靠波动性赚取手续费，但失控的波动却可能耗尽保险基金，甚至动摇市场信任。 本文尝试从交易所风控的“第一视角”出发...
万字研报,合约算法镰刀（十一）：当持仓妖币=爆仓，8/N的盾牌能否抑制资金费率的杀人诛心,Thu Sep 18,3519 字,1968344542517796864,Binance将在9月18日更新资金费率的新算法，此举是将资金费率控制在一个相对温和的范围，努力将“持仓=爆仓”的形象变更为真·持仓成本。此次的算法变更目的应该是为了抑制比如 $Alpaca、$TRB 、$MYX 之类的妖币利用资金费率机制创造的输血和打压对手盘的途径。  原文如下： https:/...
万字研报,合约算法镰刀：Binance 与 OKX（旧算法）的永续合约金融哲学之战,Mon Jun 23,6785 字,1937098458919550976,如果你觉得为什么你在OKX单子常常会比Binance单子先爆仓？又或者你在Binance的单子比OKX的单子赚得少？又或者OKX（的旧算法）为什么迟迟不上新的合约交易对，是不想干了嘛？那这篇长文将会解决你的困惑 揭秘：OKX没怎么上新币的永续合约交易？反观Binance新合约交易上的飞起？——是商业...
万字研报,合约算法镰刀（十三）再讲清算：HLP 要误杀几多，散户先会明ADL系穿仓嘅保命符,Mon Dec 15,7264 字,2000499291282960384,是什么将标榜“公平”的协议和交易所逼得掀桌子？当我们在谈ADL的时候，我们就不能只谈ADL。ADL是整个清算机制的最后流程。我们要看的是整个清算机制，包括强平价格，破产价格，盘口清算，保险基金等机制 - ADL只是最终的“社会化”结果，核心其实是清算机制，是清算机制耗尽后的满目疮痍让我们走到了这一刻...
万字研报,合约算法镰刀（十）：平衡市场中的不平衡——隐藏在多空比数据下的合约PVP结构性镰刀,Mon Aug 25,8433 字,1959431312936202240,在任何永续合约市场中，每一笔交易都是买方和卖方之间的匹配成交，在多空仓位一一对应的市场中，为何会出现多空力量不均的局面？ 从机制上讲，一笔买单必然对应一笔等量的卖单，确保了交易流的完美平衡。然而，新闻报道频繁出现的“多空比”（Long-Short Ratio）数据到底是个啥？为什么却常常显示出显著的...
实盘推文,1946235266920022090,Fri Jul 18,点赞 42,浏览 7876,为什么说合约交易是交易所的印钞机？为什么有的交易所就敢跟用户对赌？  其实跟赌场类似，因为它们自带庄家优势  每过一局（每走一手）总会有一方要为另一方付出点什么？久而久之，一方的筹码（保证金）就会慢慢减少，而且往往就是这么巧的，就在你保证金见底之时，就会有一根“针”把你的仓位带走  而且交易所是光明正大地把你的钱一点一点的“挪走” ——而这就是资金费率算法  《合约算法镰刀（四）：0.01%的均衡——合约资金费率的机制与你百思不得解的爆仓残念》将在下周一晚上七点与大家见面啦  且看交易所你是如何一步一步落入交易所为你设下的必杀“圈套”。  敬请期待 🤣  0.01%的均衡，在永续交易眼里，就神似0.618的斐波那契数列，那样的精致动人
实盘推文,2088656165898977525,Sat Aug 15,点赞 48,浏览 13928,看到评论区，有人说nasdaq要开始上7*23 ，5*23了，那么是不是意味着binance这波“休市”后的红利快要结束了？！   我原来想说是不是你们没有认真读文章，（连标题都没看么？）后来一想，应该也是文章写的太长，信息太多，所以模糊了重点。。是我的锅  我要说的是：binance或者说币圈的交易所，会用perp 逐步获得股票的定价权，至少是短期的定价权  我在这里“用人话”说一下原因：  1. 一般来说，衍生品的交易量是现货的n倍 - 但这不是说期货的价格决定了现货，只能期货起到了引导/驱动/博弈作用，尤其是在短期内（什么squeeze，逼空之类的）  现在短期的热门股，大多是期货驱动，因为现货流通不多  2.为什么这篇文的标题：用perp做出一条定价权之路 因为perp太好用了，要是放在股票市场真的就是大杀器了（下面会解释原因），而perp恰恰是币圈交易所，或者说binance的舒适区  3.首先 perp能做什么呢？  各位还记得 $alpaca 吗？ 不知道的小伙伴可以去重温：https://t.co/7ENIn8g5tq  这杀伤力太可怕了  4. 如果放在股票，perp有什么优势 就说一点：信息披露  如果在股票市场，你想要买卖股票都是有限制的，比如创始团队减持，要发公告；要回购，发公告；连散户不小心买到了x %也要披露。。   但是你要是转换成合约的oi 就不同啦，想怎么样搞都可以 （参考3）  5. 接着4，最有意思的是，除了隐蔽，操作perp可以在你不需要稀释控制权的情况下赚到钱（不需要怎么卖现货，发个公告就可以了），这在股市就很好玩了。。（有些市场连卖空都需要你手里现有现货，而perp？ 呵呵）  6. 后续的优势还有不少，比如操作更为隐蔽，免税。手续费更低，不用t+1 等等，我就不细说了  7.  那你说这得等到猴年马月才有人进来？  no no no - 你知道有多少华尔街的mm也同时在币圈活跃吗？ 你知道多少妖币的mm也同时是股票市场的金融巨鳄吗？   8. 你再瞅瞅图表2.。 这个方向性的准确率，你还觉得远吗？ （ps 这篇文的每个图表都很有深意，值得大家去思考）  9. 管你nasdaq 是5*23，7*23，还是7*24 - 这个跟营业时间无关，这个是产品形态的事情 我自己认为：perp就是比spot正股好玩  直白一点：bstocks是服务perp用的，文章说的borrow，PUNDI X BASKET 等等都是围绕着这个事情  10.  现在回来最初的问题，如果perp真的能起来？ 你说最大的收益方是谁？   11. 最后吐槽一下，这篇文的含金量其实真的很高，尤其是里面的逻辑和数据  你要是认真看的话，这篇文让binance 给我100个bnb的奖励其实都不过分 （如果你仔细看图表2，这个对于量化团队来说就是钱啊） - 你知道这篇文能吸引多少团队进驻 bstocks 吗？ 赚多少钱吗？  结果好多人放着这些信息，去冲meme？！我也是醉了。。。
