类型,ID/标题,发布日期,字数/点赞,浏览量/含金量,详细内容/长文摘要
万字研报,Stock Perps的起点，小盘股的奇点：永续合约是如何撬动小盘股的G点？,Sat Sep 12,5352 字,2098408197916930049,2020年，想做空GameStop的人，有一道绕不过去的坎：去哪里借股票？当时这家游戏零售商还没有成为全球散户的共同话题，但借券费用曾在第二季超过年化100%。到2021年1月，费用约为25%。这些数字来自美国证监会事后的报告，讲的不是股价涨跌，而是你为了参与这场交易，每天需要付多少钱。 你可以把它想成是租车生意。你认为一个月后会有一笔5000美元的生意，但...
万字研报,Stock Perp 将成为小盘股未来的主力战场,Tue Sep 08,11495 字,2097272634673385472,2026 年 9 月 8 日亚洲下午，美国人刚过完 Labor Day，Nasdaq 还没有开门。CEA Industries 的股票 BNC 上一次正式成交，还是上周五。可另一边，在 Binance、Bitget、Bybit 等加密交易所里，BNC 已经交易了整个周末。PerpEquities 当时抓到的 BNC perpetual price 大约在 4...
实战推文,2097659773282119978,Wed Sep 09,点赞 18,评分 6.5,那啥， $牛来 上了bn spot的这个我真没有内幕消息 就是单纯从bstocks的角度出发看问题  这两周现货应该就是这两个bstocks的meme了，后续如果效果火爆那就是另说  与其苦苦寻找其他跟stock相关的meme，倒不如就好好看看 $牛来 和 marscoin-4:native 就好  再不然今晚 的 solana:6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN vs $laptop 的脸面之争也会很好玩 🤣
实战推文,2097606003126935617,Wed Sep 09,点赞 33,评分 7.8,"有一说一，虽然 $BNC 是个很适合stock perp反馈现货市场的标的，但是美股市场对这个标的真的很不感冒  根据10-K （4月30日）的披露，CEA （ binancecoin:native  的DAT） 持有515,544个 binancecoin:native ，按照750u算，今天的价值差不多在386m   按照9月8日的收盘价5.25（涨了50%），41,263,850 股普通股流通， CEA这家公司的mc是 216.6 m   有意思的地方来了：如果你把 Market Cap / BNB Value ，你会发现只有216.6/386 =0.56x 就是这个公司的资产价值 > 市值  你只要花大约 2.166 亿美元，就可以买下一家账上持有约 3.88 亿美元 BNB 的上市公司哦～ 也就是大约 42% NAV discount。   问题就是，这么明显的“套利机会” - 难道华尔街们不知道？p小将们不知道？为什么还是差了这么远？   这中间难道有什么猫腻？有什么暗箱条款？难道是投资者在跑路抛售？还是解锁期限到了？成本价很低？还是说市场对现在的公司领导班子不信任？  是人性的崩坏？还是道德的沦丧？  欲知后事如何，还请听下回分解～"
实战推文,2097580488563253738,Wed Sep 09,点赞 21,评分 8.3,首先抱歉给各位朋友在8月份带来的substack骚扰～ 真的是抱歉  经过这一个月的吆喝和努力，我的substack的订阅人数突破1000 （此处应该有撒花🎉和掌声👏 ） ，也算是账号的新里程碑  我打算在来临的新加坡token 2049搞一个substack的书友会，请大家过来聚聚，吹吹水，听老登说说自己被stock perp干得体无完肤的故事 🤣🤣🤣  要不我在现场也给大家爆几个大料？～  至于怎么参与？！ 为了维持“尊贵感” 我会私底下发邮件给付费订阅用户们，到时候请各位不要屏蔽substack的邮件就行啦～  而且，各位放心，我不会跟你收费或者借钱的  至于免费的订阅用户因为场地等原因就暂时不好意思啦～ 而且2049这么多活动，我估计各位一定有其他好玩的事情，就别浪费时间在我这个无聊的老登书友会啦  p/s：招商广告：我会在书友会上讲stock perp，如果有人要赞助的，要欢迎pm啦
实战推文,2097528759083790788,Wed Sep 09,点赞 44,评分 7.9,好几个小伙伴都不约而同给我发消息：stock perp真的有这么厉害吗？！ 😂 我对于meme反向挤压华尔街的态度大概是25:75，但我真的认为stock perp 100%可以反向带货  接下来就是：stock perp要怎么操作？要上什么标的？怎么利用休市的算法？  大家如果对stock perp的底层算法感兴趣的，可以看看我的substack上对于stock perp算法的三部曲，x上不太合适太技术的东西：  https://t.co/d7rGiysgWg https://t.co/3RJj9q3iwd https://t.co/hV8x86o6of  友情提醒：substack的内容对新手非常不友好，就是深入深出，觉得自己没耐心，不愿意自己拿纸笔作计算的人就不要订阅了，别浪费这个钱了
实战推文,2095029811622334868,Wed Sep 02,点赞 26,评分 6.6,我今晚会发个关于 @bitget 的休市期间stock perp的mark price算法的文章（简版）  看下有没有媒体/平台的朋友感兴趣谈合作的  本文这次是未经许可，不得转载了 😄
实战推文,2094998387502535070,Wed Sep 02,点赞 9,评分 6.2,冷知识： $sndk 的衍生品交易量已超过1/3发生在stock perp了，发生在币圈了  nasdaq/nyse开启7*24之后，只会更加利好stock perp的发展，交易量会持续上升，定价权的venue也会逐步偏移  sweet spot不是mag7这种巨无霸，而是2-3000美金的高波动性股。或者100亿以下的小盘股，专心扶持这些，比你盲目上100个都好
实战推文,2059495726263275574,Wed May 27,点赞 11,评分 7.2,昨晚的单子给我打止损了，950接着来 $mu   存储的利润率确实很夸张，也确实是AI瓶颈，但这两天的新闻也太不寻常了，感觉短期内都是情绪盘和获利盘，等着今晚美股开盘看看 🤣🤣   我是蚂蚁仓验证想法+吃费率而已，现货没动，各位别跟 https://t.co/RYWHseXWYg
实战推文,2069666692582748170,Wed Jun 24,点赞 46,评分 7.9,揭秘一下这篇文的research是怎么做的  好几个小伙伴pm，问这篇文的怎么做 @okx 和ICE 的资料汇总和研究的。因为资料很分散，除了是在各大媒体站外，okx/ice自己的披露之外，大部分有价值的信息都在x上，尤其是 @star_okx 近期发的内容  你需要结合着ice的历史、职能、近期的战略部署，以及okx近半年的变化来看（首先你可能得对ice是干什么的有一个大致的了解），而这些事情要串联起来就要一遍遍的关照着x、官媒、法规变化以及市场变化一起来看，才能稍微看出一些端倪。  最直观的就是在各家交易所都有美股现货的基础上，为什么okx 不上自己的美股现货（永续和xstock不算）？是没有渠道吗？是没有牌照吗？   AI工具时代，最有价值的是能把信息串起来看成一个整体的思维框架  grok反正回答点问题还可以，要深入分析和研究，就呵呵了。。而其他的AI 工具，不是没办法拿到x的内容，就是分析框架有点一言难尽  我就不说我用的是哪家了（免得你们说我打广告，然后我又没收广告费 🤣）我相信聪明的各位，真的想试用的话会自己找到的
实战推文,2064560988784062647,Wed Jun 10,点赞 11,评分 5.0,如果你觉得美国的杠杆产品有点夸张的话  我今晚发的韩国杠杆使用情况将会打开你的眼界  美股至少还能capex内循环一下，韩股的波段就靠外资
实战推文,2082371338673791437,Wed Jul 29,点赞 11,评分 6.6,不要只盯着AI半导体 美股这么大，资金这么多 —— 看看下一个资金流向的地方吧 ，你值得更好的  医疗、金融和能源有好多好玩，未被x上的大神喊的 你真有兴趣的，先让AI帮你分析： $LLY $TMO $EQT $UNH   什么时候走？当你看到x上喊得铺天盖地的时候～ https://t.co/9HoGQgk1nh
实战推文,2087373744922865878,Wed Aug 12,点赞 13,评分 7.3,今天被 @bc1qDave 把旧文翻出来了 😂  说几个之前没提到的事：  1. 为什么文章标题叫“永续十年，幕还未谢”   那时候刚好听到Bitmex被收购的事情受阻，撑不下去的消息 - 觉得有点唏嘘  7月就出来这个消息  2.为什么封面是袁泉的回眸图？  建议你去看《大上海》，你就只能体会这个心情了  当年的恋人分隔，再见只能是路人 - 就跟当年一眼见到合约陷进去的自己一样  这篇文从流量上来说确实有点可惜 - 可以说是系统性对永续合约十年的周期变化的体系化总结，对于接下来的股票合约有很多借鉴意义（我的很多策略都是在这个基础上形成的）  只可惜因为x的算法，内容质量和市场原因没办法出圈  今天看回来，什么出不出圈，能够收获两三知音，足矣
