类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
万字研报,打开MM token loan 的黑盒——从场外契约到链上披露,Sun May 17,8256 字,2055907830440603648,"你如果曾跟我一样怀疑tokenomics 写着""5% 做市商分配""到底是什么的话，那你可能要看下这篇文了。那 5% 是借出还是卖出?strike 多少?到期归还还是行权?这三个问题决定 altcoin 一年的走势,retail 从来看不到答案。 引子 2025 年春天,Movement Labs 的..."
万字研报,交易所无限印钞的秘密：从加密现货、合约、期权到 Polymarket 的订单簿撮合引擎注解,Fri May 08,10347 字,2052488002853871616,"打开 Binance 现货和永续，订单簿几乎一模一样。但在""卖出""的瞬间，背后是两个根本不同的状态机。为什么 perp 要维护两套价格？为什么 Iron Condor 必须四条腿一起成交？为什么 Polymarket 的手续费在 p=0.5 时最贵？为什么 Uniswap 的 LP 永远跑输持有？这..."
万字研报,做市算法揭秘：“护盘”还是“砸盘”？做市商如何使用项目方借的 Token？,Sat Jul 19,5495 字,1946412818615717888,凭实力借来的token，凭什么要好好帮你做事？项目方将代币交给做市商后，背后到底发生了什么？这篇文章将揭开算法做市的核心逻辑，解析做市商如何用你的Token换来交易深度、价格稳定与市场信心。 先上结论： 由于目前山寨流动性匮乏，所以在call option模式下，做市商目前的最优解就是拿到项目方的t...
实盘推文,2049030319794479319,Tue Apr 28,点赞 70,浏览 37264,https://t.co/WpgoIuhqdl
实盘推文,2049351879470301551,Wed Apr 29,点赞 40,浏览 19729,"别急着说 0.01% 是错的   前几天看到了一个关于 haibo总@yhaiyang关于永续合约资金费率算法的讨论    加密交易所是一个竞争极度充分的市场——上百家所同质化产品,用户切换零成本。一个明显错误的参数,在这样的环境里活不了十年。但，它活了十年，并且还好好的   有没有可能是数学上它可能是不太合理的，但是随着市场演进，整个交易规则开始围绕着这个“不合理”的模型建构，以至于后来就变成合理的  至于为什么合理，因为这个参数在做一件没人讲清楚但所有人都依赖的事。那就是【流动性】    敲黑板！！流动性从来不是免费的。它有价格,而且这个价格由某一方在“默默”地支付。 （从雇佣兵资本、mm token loan到token incentive，每一步都是）  每一个有深度机构流动性的金融市场,都有一个结构性 carry 在补贴做市方:美股是 securities lending(证券借出收益),外汇是利率差驱动的 carry trade,Eurodollar 是 LIBOR-OIS spread。新兴市场货币的真正流动性提供方,是 carry traders,不是商业用户。数据证明，套利者只会让市场更加有效率。    这不是 bug,是市场定价机制运作所必需的。   加密永续的 0.01%,就是这个市场的结构性 carry。它的标签上明明白白写着:这是流动性的价格。    想想做 ATOM 永续做市商需要承担什么:70%+ 年化波动率,链上现货深度极薄,staking 锁仓 21 天,生态尾部风险。要让一个机构愿意常态部署 $5M+ 库存,他需要的回报绝对不是 5%——是 25% 起。 （这也是1011其中一个为什么 $atom 直接击穿如此彻底的原因）    那 21% 的""多头超额支付"",不是给套利者白送的 alpha,是付给做市方的酬劳。  这是 0.01% 最反直觉的功能:它在液性高的标的上是过度收税,在液性低的标的上是流动性补贴。一个单参数,做了一个从零设计的市场需要多参数才能完成的工作。   不信?假设 Binance 明天把它调到零，你猜猜会发生什么？  散户多头每年节省的 funding 不到 $5K(按一笔 $10K 杠杆仓位算)。但因为长尾标的盘口枯竭、滑点翻倍、爆仓提前——一年损失超过 $20K。   历史多次证明：""减税""反而让被减税方更穷。   被""过度收税""的散户多头损失最大,因为他们最依赖永续合约提供的""任何标的都能 50 倍开多/开空""这个隐性公共品——而这个公共品的资金来源,正是他们以为自己在被多收的那 10.95%。   我们可以说它在形式上是错的，但是得出的结论确实是对的，或者说符合市场规律的   流动性的标签从来都贴在那里,只是大部分人没有低头去看。    至于你如果没看懂资金费率是个啥，下面的长文拿走不谢  🤣 看的人多的话，我周末给大家写一个长文来分析一下"
实盘推文,1993954867413659757,Thu Nov 27,点赞 45,浏览 21950,来，乘着今天孙哥开媒体发布会的风🌬️，我也来蹲下 @HTX_Global 的高持仓 OI， 低交易量 vol的瓜  一、背景/前情提要 昨晚留了个作业，问：为啥 @HTX_Global 的oi/24h vol是4.1x ，（是 @binance 的10x） @Bybit_Official  @okx @bitget 这些都是 < 1，难道是HTX 天赋异禀？有什么大招？    有兴趣的去看： https://t.co/m8iO389JyR https://t.co/rBoDokc2RR  oi/vol的比值越高，意味着大量的资金沉淀在合约里，却几乎不怎么交易。这是一个极度反常的“死水”状态。毕竟一般散户有钱放在oi里，倒不如去打新？  二、各种不靠谱的假设 第一种观点是：HTX内有大量的大户对冲交易，以及理财交易（HTX的oi主要集中在eth和btc），好多大户都在htx建仓吃费率。这点我是持怀疑态度的，因为深度不足。假设要清仓的话，这点深度根本挡不住，连清算都来不及。所以这些“大户”是谁？ —— 我猜是交易所自己推出的理财产品  HTX（以及tron生态）提供了大量高收益的理财产品，比如 USDT 存币生息，或者各类 stUSDT 等衍生品。  交易所或做市商如何支付这些利息？他们不能凭空印钱，最稳健的方式是做 期现套利或资金费率套利，比如： 买入现货（Spot）： 比如买入 BTC；然后做空合约： 在合约市场开等量的空单。（HTX在98%都是多仓付资金费）  第二种观点是：Tron系的内部循环 结合 stUSDT 和 TRON 生态的玩法来看。 质押逻辑： 孙宇晨大力推广 stUSDT（号称投资RWA），这些资金在链上或交易所内部流转。  抵押品： 如果用户抵押了 BTC/ETH 去借 USDT，或者交易所为了维持 stUSDT 的锚定和流动性，需要在合约市场进行大规模的对冲操作。  第三种观点：数据美化 以前交易所喜欢刷量，但现在链上侦探和数据网站查得严，刷量容易导致比值异常。现在的逻辑反过来了。交易所希望展示自己“流动性深厚”、“大户多”。  双向开仓（Wash Positions）： 交易所的内部账户可以左手开多，右手开空。不产生亏损，不产生交易量（因为开了就不动），但OI 数据会变得非常好看（看着资产沉淀很高）。  三、小小地分析一下 我们看下HTX的oi趋势图（24年1月到现在），这个曲线该怎么说呢？无惧市场牛熊，一路向前？！不管市场好坏，美联储是否降息？trump是否当选？cz是否出狱？（结合 @bitget 的对比，你就知道区别了）  更要命的是10.11的市场大地震，oi居然没有什么变化，都不带停歇的就提高了？！  再结合昨天推文的关于各交易所的平均杠杆的假设（https://t.co/m8iO389JyR） HTX的平均杠杆是10x，在10.11不出现大规模多仓爆仓的概率是多少？oi不减少反升的概率是多少？ 补充一点：我更愿意相信实际的杠杆率在2x 左右（其他的数据看看就好）   我不敢随意猜测（怕被公关），所以问了AI，AI给出了以下几个可能性：  1. 抵押品特别足，虽然POR的稳定币就只有14～15亿，但是多头仓位用的是trx，btc，eth等来做抵押物 （你能想象一下：14亿的稳定币维持了一个近70亿的oi是啥情况？应该有其他抵押品）  2. 这些就是数据盘OI，起到数据美化作用，而且是同一个账户开的全仓，多仓亏钱+空仓赚钱弥补，而且期间还不触发adl  3. HTX是一个大机构活跃的交易所。在暴跌后，oi下跌后没多久，巨鲸们开始在HTX疯狂建仓（或者做对冲，而且还要有人来做对手方？），所以日线看起来还是一个上升趋势  4. 在其他所开的对冲仓位，在其他交易所也有钱，只是不体现在账面上  5. HTX的自营做市商有个无限钱buff，永不爆仓（类alameda在FTX的权限）  四、随便唠唠 well，我觉得1-4的原因或多或少都有点，5应该不会，毕竟假设5有的话，真的是太可怕了  我更愿意相信，或者希望，这主要就是HTX的OI的数据美化盘，要不然后座力真的是太强了  最后给大家布置个作业，为什么deribit和bitfinex的oi/vol 也有点异常？   最后的最后，你要是觉得这篇推文写的还有点意思，想当冤大头的可以去bn alpha 看下 $pundiai 然后转到 0x0000000000000000000000000000000000000000 烧掉 🤣
实盘推文,2047912408124141835,Sat Apr 25,点赞 94,浏览 40160,今天说一个政治不正确的话  最近有好几个妖币横行 $rave ，市场上有好多传闻，什么交易所与做市商勾结，资金费率被武器化 ，合约机制是收割散户的帮凶等等….  我甚至还在香港大会听到某议员提议要调查交易所的….   其实不管是资金费率，标记价格，本质上都是工具；就好像水果刀🔪，你切水果的时候就是工具，你拿来伤人的时候就是武器  这些妖币的操纵本质上就不是合约机制的锅，罪为祸首其实是畸形的high fdv low float低流通的数据盘  是代币结构导致的，合约机制就是运行规则 - 给你流通盘0.1%，谁来操做都一样  如果你认真看这篇文，你就会知道交易所比谁都更怕这种妖币，也花了多少钱精力和时间一步步走成这部爆仓血泪史  其实有些交易所本可以赚更多的
实盘推文,2051133643498901917,Mon May 04,点赞 67,浏览 17020,已知mm一般不会裸多裸空（除非识别到是smart/dumb money）而永续合约对冲逻辑有两个 1.   开空仓，持有现货 2.  开多仓，卖掉现货  这个机制能让你： 1. 抵押自己的token借出u去开空仓 2. 抵押U去借token卖出，并在合约开多仓  把最基本的流动性撑起来，让套利/mm看到有利可图的机会  这篇文的立足点就是让项目方自己吸引外部“mm”的活儿，自己创造利息差资金费率差，进而让交易员来铺合约的流动性，自己做自己的“庄” - 有基础的流动性转起来  咱们不要想着靠这个事情发家致富，这个规模不会很大，但这个是流动性的基础   为什么这个事情可能可以成？ 因为altcoin的盘口原来就薄，容易击穿；资金费率动辄年化几百%的apy；资金费率和贷款利息差  这三个因素相互作用下，会是一个非常有意思的角斗场  铺单子的人或许在合约输了，但是现货赚了，反之亦然；资金费率或许大出血，但是贷款利率赚大发了  机制差带动套利机会，套利机会带来博弈空间，博弈空间创造流动性  而你只需要做那个给市场“第一推”的人
实盘推文,1977410669894045996,Sun Oct 12,点赞 25,浏览 8999,我也看了推上的分析文章，也看了 @binance 早些时间发的关于bnsol和wbeth的公告，我是觉得比较难做到定点狙击  因为条件有点严苛 1. 要mm/套利同时都不在线 - bnsol和wbeth如果脱锚，那就是个一眼捡钱的机会，那得有多少机器人冲进去  2. 为什么明面orderbook流动性就这么点（几十m），因为系统限制大额交易，你要有n个可以无限taker的账号  3. 如果是瞄准清算仓位，那你要知道大户的仓位情况   4. 你在交易所定点狙击还想走？！赚的到，还要能走得掉  所以我更倾向于是： 宏观冲击 → 市场避险情绪 → USDe循环借贷头寸平仓 → USDe脱锚 → 链上循环贷款清算 → 做市商抵押品价值暴跌与被动杠杆飙升 → 做市商统一账户被清算 → 做市商撤出市场流动性 → 山寨币现货市场崩盘。  有人看到市场情绪带崩的山寨币，然后伺机而动，一蹴而就造成的
实盘推文,1904762500408893948,Wed Mar 26,点赞 3,浏览 4065,首先，还是要澄清一下，我都是猜测/个人看法，+听的小道消息的个人分析，如有雷同，纯属巧合。   1.相较于以前，现在大家对于上币的观点发生了重大改变，以前的上币是起点；现在的上币是终点 - 这也不能怪他们，因为好多vc也快到了赎回期限，压力也好大的，（很多时候不只是项目方的问题）加上市场流动性紧缩和新币的预期一直下降，所以只能借助“新上币流动性”的窗口套现，这是压力，也是无奈 （mm的做市资金也是有成本的，此处心疼gsr两秒）    2.项目方和做市商肯定是不敢公开闹的，如果你还想在里面交易和上币的话 - 没有交易所会让一个满城风雨的项目/mm在自己的交易所活动（尤其你还想去cb和upbit的话）而且现货也不是收益大头，犯不着....    3.别的交易所也有类似的情况，为什么不披露呢 - 因为他们自己就是做市商啊 🤣 （尤其是合约）   4. 紧接3，除了舆论压力之外，最直观的就是亏钱了呗。。。。。   5. 再说一个观点，大动作一般都跟人事变化有关   6.吃瓜真的是人性啊 娱乐至死嚒...
实盘推文,1971842755413660152,Sat Sep 27,点赞 67,浏览 36330,现在 $aster 的热度稍微降了一点，可以稍微说一点关于正资金费率的玩法  图是 $aster 在各个交易所的年化资金费率，人话就是你做多的话，按年需要给空方交多少钱的意思  这张图最有意思的是，各家cex之间的费率可以差个2x - 这明显就是一个可以套利的机会，那为啥还会出现这个情况（就是合约价格 > 现货价格）？是道德的沦丧？还是勇气的缺失？ ）））不是啦。。。  1.先说原理，一般来说基于对冲的原则，mm是不会裸多/空的，说人话就是mm会持有/卖出一定的现货，才会在合约市场开对应的仓位  2. 资金费率为正，理论来说就是看多的人更多，所以合约的价格 > 现货的价格； 在多方给空方交钱的情况，mm需要扮演空方收取资金费，而为了对冲风险，mm需要去购买相应的现货来对冲   3. 这个时候好玩的就来了，因为各式各样的理由（cz喊单，看好perpdex whatever），越来越多的人进来开多仓，而mm为了持续开空仓赚这个资金费率就会去买现货对冲  4. 然后散户看到价格一直涨，就fomo一直开多仓，然后mm看到你们这么疯狂，也一直买现货开空仓，oi就真～水涨船高了。  项目方 @Aster_DEX 也是喜闻乐见这种情况  5. 为什么不直接买现货，这个分几个阶段说： 初期，因为一开始买不到，你还记得aster最开始就是单机币嘛？ 大家要参与就是买apx或者开合约 中期，现货的流动性比合约的流动性要好 （现货的流动盘很少）而且好多人都囤着不卖 现在，加上perpdex 的叙事 + 杠杆的作用+价格相对稳定 （有说刷量的刺激，但我觉得影响不大） - 索性就在合约市场里面玩耍  6. 至于什么时候，或者说什么情况下会崩，请听下回分解啦 🤣🤣   ））我先发给订阅号
实盘推文,2062415952739000601,Thu Jun 04,点赞 30,浏览 16918,其实我疑惑的问题是：为什么要收手续费？  从Binance和Alpaca的协议里是看双方是PFOF模式下（Payment for Order Flow，订单流付款）  这一套机制：散户在券商下单后，券商并不把订单直接送进交易所，而是把这股”订单流”卖给做市商（Citadel Securities、Virtu、Jane Street 这类），做市商付钱给券商来买这些订单。做市商靠买卖价差赚钱，再返一部分给券商。  Robinhood是用这个模式做到0佣金的  按正常的商业逻辑来说，到达一定量级后，Binance应该也能做到0手续费
实盘推文,1911716134157717708,Mon Apr 14,点赞 6,浏览 1774,时间大概回到了23年，在cosmoverse的伊斯坦布尔大会上，当时的om的估值大概在20-25m之间，因为非cosmos核心生态式微，日子不好过，om积极寻求otc融资续命，彼时的壳资源尚未被看重  2个月后，有传被中东的机构收购，然后就积极在市场上回购代币，比较骚的是因为项目易主了，所以对于om之前签署的锁仓/买卖合约都不管了（要就打官司）  筹码在形成高度集中后，就开始了主动做市的操作，拉高之后，通过打折+锁仓的方式将代币otc给其他大户/机构；有了资金之后，再通过打折+锁仓的方式将代币otc..... 如此反复螺旋上升  当老一批的币要解锁时，就在去找新的大户/机构做otc来赎回这一批老的otc币，其中有几个比较骚的操作就是，对一些资金流向存疑的机构，就采取诉讼的方式来延缓解锁时间或者以较市场价更低的价格赎回等  但是这种资金流转总会到头，毕竟代币的数量是有限的  4月8日的时候 （https://t.co/tebQwm5jSA…） ，om来了个更骚的操作 —— 我手里没币了，我要增发代币——在原来基础上100%的增发  这下不管是谁都坐不住了，尤其是那些还没解锁，或者正要解锁的大户们？是可忍孰不可忍  所以就出现了几天前有大户（做市商？）将大额om转入交易所的事情，我个人猜测：这其实就是一个“核弹”威慑，相当于说你要是xxx，我就xxxx，谁也没真的想砸下去  然后更骚的事情就发生了...  欲知后事如何，且听下回分解
实盘推文,2102021121302532606,Mon Sep 21,点赞 11,浏览 6562,大家知道在一般的交易时间段内， @OpenAI 在binance pre ipo perps的盘口有多少钱的单子吗？🤣🤣🤣   a. 100万美金  b. 10万美金  c. 5 万美金  d. 2.6万美金    观测到的数据可能真的会出乎你的意料～ 所谓万亿AI龙头的perps也不过如此～     这篇文应该又是一个ct上唯一一篇讲 #stockperps 流动性的实证文章    除了各种看似高级但一点也没用的算法和数据统计之外，本文的亮点之一，就是用真金白银去实 @OpenAI和 @AnthropicAI 的orderbook厚度，看下能击穿多少格，将价格推向多远，并且观察之后是否有做市商补单子的情况。。。    你们知道一个挂在 1% 的100万的挂单要多久才能完成交易吗？10万的市价单能把价格推多远吗。。。。     我预想了很多结果，但最后测下来的结果还是让人有点惊讶的～ 毕竟这可是binance 的orderbook啊，那其他所该咋办啊    好啦，有兴趣的小伙伴，substack终于上新啦～   给大家带来本期的 《小马拉大车：2.6 万美元的盘口，能给万亿级的公司定价吗？》    https://agintender.substack.com/p/openai-anthropic-pre-ipo-stock-perps?r=8gs9xi&utm_campaign=post-expanded-share&utm_medium=web  https://substack.com/@agintender     最后，要再次感谢各位付费订阅我的 substack 的读者朋友们，因为你们的支持，我才能去做更多更有意思、更真实的独立研究（ps：做这种真枪实弹的实测研究确实很贵。。。）     enjoy reading
实盘推文,2039180269412835814,Wed Apr 01,点赞 27,浏览 8787,"在上一篇报告中，我们用交易量/储备比率（Vol/PoR）来解释交易量和市场份额的。  但交易量有一个致命弱点——太容易受客观条件影响。做市商KPI/rebate、项目方KPI、零手续费、激励交易活动……  这一次，我们换另一个指标：Open Interest（未平仓合约总额） （OI/PoR）  我们用同样的 Hyperliquid 基准法，这次把公式中的分子从""交易量""替换为""OI""，重新跑了一遍八大 CEX 的数据。  结果有点反直觉 交易量分析截然不同的画面：有些交易所交易量注水严重，但 OI 却很""实在""；有些交易所交易量看似正常，OI 却暗藏着一些不为人知的... 不是OI远超PoR的就有问题，不是OI正常水平就没问题  完整的报告将在今晚发出来的～ 大家期待一下  有鉴于免费的没有人care，还会被骂。。这次就不在公域流量发了，有兴趣的小伙伴可以加群：https://t.co/9C1iCYBj8u"
实盘推文,2098644830184505521,Sat Sep 12,点赞 61,浏览 15290,"well 为什么说，我现在不是很建议大家看到 $BNC 的折价就冲进去，主要是因为  1. 从架构上，10X 创始合伙人 Hans Thomas在 2026 年 3 月 20 日正式辞任董事了，但是BNC 与 10X Capital Partners 签了那份 20 年 Asset Management Agreement（AMA)的纠纷还没完结  - 那是一份按照现价价值18m美金的管理费合同。。。  （是cea市值的1/10 ）   2.  10x capital关联的实体（10X LLC、10X Capital Partners LLC 和 10X BNB Cayman Sponsor）应该持有不少的 $bnc 股票（至于为什么名字不在5%的披露名单上，因为10x已经把股票和warrant都分散在不同的实体了）  至少，0X LLC 最后公开确认持有 831,683 股 BNC （warrant暂时不重要，因为行权价在10美金左右）  3. BNC的飞轮在defi/meme侧 目前还没办法转起来 -懂得都懂   4. BNC 在 Nasdaq GEMX 的指定做市 allocation 给了 Jane Street；在 Nasdaq ISE 则给了 Susquehanna Securities，他们二位的仓位在近7日还没有增长 ， 说明华尔街/散户还不是很认可  5. DAT的飞轮在于nav - 你已知·到了10美金，就有人拿老股砸你，现在的价格是5美金左右，流动性还一般，还有内部打架，nav还折价成这个样子。。   给你的话，你会咋办？   题外话，4stock 和 bnt4 的操盘我也是醉了。。是怎么做到这样的，都不是脱节，而是连节都没有装好就上的。。。   好好的DAT nav飞轮，只剩下DAT"
实盘推文,2056600341131698496,Tue May 19,点赞 21,浏览 11462,我对粉丝们有点失望啊… 居然没人认出来…. 他们就是：逃跑计划  什么？！ 你没听过？！  那《夜空中最亮的星》你总听过吧？但你听到可能不是他们唱的… 但原唱就是这个名叫逃跑计划的乐队  你如果知道了这个事情，你就会感慨我为什么选这个封面图了（可恶，居然藏的如此之深 😄）  因为：现在大部分的项目方找mm，根本就不是为了“做市”，而是在制定一份“逃跑计划”  歌词是： 我祈祷拥有一颗透明的心灵 和会流泪的眼睛  ～ 这个不就是retail、交易所和合作机构想要看到的项目方和token嘛？而结果呢？  我希望大家（不管你是正计划发币的项目方）看完本文之后，能够知道市场需要，也期待的是什么  歌词的下一句：  给我再去相信的勇气 oh 越过谎言去拥抱你  全文没写，但全文其实都是围绕着这个中心思想展开的  AI满天的推特，还需要有人味，和一种加密老灯的浪漫情怀
实盘推文,2050804838674677798,Sun May 03,点赞 87,浏览 27815,"如果你是项目方，这篇是一篇价值10万u的自救攻略  作为一个在熊市里还在认真做事的项目方，你大概率会碰到：  1. 产品不断在迭代，build ，社媒更新不断，偶尔愚人节搞个prank，得到的是社区问候你的全家人  2. 代币价格已经横盘 60 天，交易量从 TGE 高点掉了 70%，订单簿 ±2% 深度只剩几万美元 - 交易所的运营会发来信息，交易量太低会被下架哦 - 然后发来个活动清单，保护费感满满的  3. 你去问做市商——他的回复是：""我们按合同放单子。市场环境不好，我们也无能为力。合同里约定的深度可能也维持不住。请见谅。""  真想是：不是mm没有钱，只是你不配  所以你该怎么办？ 难道只能混吃等交易所发ST，monitoring tag公告，等下架？  还是说你听市场上说什么高控拉盘找流动性？积极找主动的MM来帮你起死回生？  怎么说呢？就凭你？别想太多了…钱从哪里来呢？  也建议你别搞什么交易大赛，刷量激励了… 无利可图的交易只能是昙花一现  不管你是项目方，交易所，如果你想要有机，有逻辑，有自驱力，无激励的交易和流动性 - 建议你花20分钟好好看看这篇文  去他的token loan和OTC deal，这次我们用“机制”来创造流动性  会慢一些，但是稳 — 如果这是你想要的，欢迎pm我"
实盘推文,2042953902317015051,Sat Apr 11,点赞 261,浏览 179647,据闻巅峰时期，陈志的太子集团每天面对数万笔来自全国各地受害者的并发转账；而警察也一直在追踪和冻结   很快，陈志手里的僵尸户/人头户网络，完全就不够用  这个时候“上押”出现了 - 你帮我走账，我给你赚过路费，但是为防止你跑路，你需要先给我一笔押金才能开始跑业务 （这就有点澳门vip厅的味道）  为什么这个业务能跑通 - （要一直消耗人头和承担资金被冻的风险） - 因为利润足够大，且量也大  看到这里有没有大做市商跟交易所的关系的感觉了（你要承诺xx量和放多少钱）  这么一看，其实钱庄的生意经跟交易所，公链是不是有几分相似  也确实是这样，好些交易所初期就是钱庄扶植，或者干脆钱庄做的  你们知道圈内有哪几家交易所跟陈志的太子，汇旺有关系的吗？ 😂
实盘推文,2041028050612257069,Mon Apr 06,点赞 27,浏览 9449,再给大家说第二个 CoinGlass没在报告里写的  我们看着Binance在oi 衍生品交易量 btc合约深度 用户资产这四个维度都是第一对吧？尤其是资产沉淀，断崖式领先  你可以这么理解，假设市场有10u，7.35u放在Binance；但是交易量只占35% — 难道是大家来Binance的交易动机都不足？来理财/托管的居多？  如果真的是来理财的话… 那为什么大家愿意来？除了安全原因外，就是福利多/apy高  那收益哪里来？从项目方来 - 这个数据其实也意味着Binance对于项目方的统治力是断层辗压的，项目方愿意给（大额）Binance上贡  不仅如此，项目方和做市商也会把做市资金的大头放在Binance  这也是为啥其他Cex只能再去积极推动rwa tradfi的交易标的…   另外从CoinGlass的数据来看，其实对于Binance是个不太好的信号 - 为什么？ Binance是一家“交易”所啊… 他的估值和Bnb就是靠“交易”，现在的交易动力不足，没有交易量赚什么钱？！  但是各位放心好了 - 都是聪明人，有这么资产，还担心怎么盘活？盲猜类似2019年ieo的机制已经在路上了
