类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
万字研报,2026年发的月饼没有蛋黄,Fri Sep 04,13540 字,2095816709286531072,2029年的中秋，新加坡又下雨。雨从海峡方向压过来，到了Tuas，天空低得像要碰到那些没有窗的数据中心。家明站在连廊里，看雨水一层层从玻璃上往下滑。楼下几辆没有驾驶员的物流车沿着白线驶进卸货区，一台四足机器人停在积水边，像一只不愿弄湿脚的狗，安静地算了两秒，然后绕过去，继续往变压器房走。更远一点，港...
万字研报,"A Letter to Singapore from 2029  On AI Anxiety, Work, Wealth, Machines, and the Price of Being Human",Sat Sep 05,47638 字,2096115916501348352,"It was raining again in Singapore that Mid-Autumn Festival.  The weather had rolled in from the Strait, and by the time the clouds reached Tuas, the s..."
万字研报,青瓦台的木槿花，与江南出租屋里的杠杆人生,Wed Jul 29,5137 字,2082457067655168000,你知道吗？每周有33班直飞航班从韩国飞往澳门，而仁川机场至伦敦希思罗机场的直飞航班约为每周21班。首尔连接澳门的班次，比连接伦敦还多。 你们猜，这是为什么？ 澳门没有韩国人向往的大学，也没有三星总部。从首尔起飞四个小时，韩国公民便能进入本国法律限制他们进入的赌场。 但韩国的赌桌不只在澳门。 它也藏在...
万字研报,26年Q2 CEX的交易数据盘点——谁的交易量在划水？谁的OI在注水？,Fri Jul 24,6029 字,2074775187363422208,熊市的这几个月，Binance的领先位置被OKX超越了吗？MiCA生效后，影响了Bybit和Bitget吗？面对监管，Hyperliquid的交易量和TVL是否受到影响？ 大概是三个月前，我们用链上数据给若干家中心化交易所CEX做了交易量vol和OI的数据分析：一次是交易量（Vol/PoR），第二次...
万字研报,真正的黑金帝国：不在地下、市井和暗巷，而在台面、庙堂和法院,Wed Jul 15,6134 字,2077316683577061376,大理石洗衣房：真正的洗钱基础设施，从来不在地下。2006年4月，墨西哥坎佩切州，德尔卡门城机场。军方扣下一架DC-9客机，舱门打开，里面没有乘客，只有128只行李箱，装着5.7吨可卡因.... 你知道这架飞机是谁的吗？    缉毒案年年有，但这架满载可卡因的飞机的特殊之处在后面：顺着买飞机的钱往回查...
万字研报,合规演义：加密世界合规进化论——从 ICO 、交易所牌照到立法时代的十年（上）,Tue Jun 30,20743 字,2057310900210864128,"如果把 2016 年至今的加密世界压缩成一句话，大概是这样的：这个行业用十年时间，从""我不需要任何许可""，走到了""我必须拿到许可证""——而这条路是用一连串和解协议、刑事指控、法庭判决、以及几次重大崩盘一步步走过来的。 序章：合规不是被强加的，是入场券 每一次行业以为自己赢了的时刻，下一波监管就跟着来..."
万字研报,一袋菜籽，到一颗GPU——从CP水饺到AI算力，产业链权力如何生长,Mon Jun 08,6566 字,2063194889001807873,去过泰国的人，多半都进过7-Eleven。你大概在里面买过吃的——鲜虾云吞、炸鸡、香肠、一盒炒饭、鸡蛋、花生..... 要是仔细看一眼包装，会看到两个字母：CP。 它是正大集团。 大多数游客只会在包装上见到它一次；但泰国人一天可能会见到它十几次。 泰国人一生会面对三样东西：生死、税收和正大集团CP。...
万字研报,写给那些AI空仓的普通人：你以为你晚了——其实你只是没有自己的世界观,Mon May 25,6657 字,2058900434291769344,"""怎么办？AI 的钱我没赚到，再不上车就来不及了。""这个大概就是你打开这篇文章的时候，心里的声音。 NVIDIA 三年涨了十几倍。光模块龙头一年涨 17 倍。打开新闻每条都在讲 AI。同事在炫耀持仓。微信群在分享""下一个十倍股""。 你空仓。你焦虑。你打开账户，手指悬在""买入""按钮上方。 我想先问你一..."
万字研报,How a 2015 dinner became a $130b lawsuit: what really broke Elon and OpenAI,Tue Apr 28,54510 字,2049070141045133312,"How Sam Altman ran the longest psyop in tech history, and why Elon walked into it with both eyes open February 2015. Mission District, San Francisco. ..."
万字研报,Freedom of Monkeys：奥特曼与OpenAI的焦虑之局,Sat Apr 04,17732 字,2040097476703924224,"2015年2月，旧金山Mission District，Y Combinator总部三楼。 窗外下着那种加州冬天特有的细雨，不大，但足以让整条街的霓虹灯变成模糊的光晕。三楼拐角的办公室里，Sam Altman把第四杯冷掉的美式推到一边，屏幕上的光标在一行字下面闪烁了很久。 ""AI是人类持续存在的最大..."
