id,date,jev_domain,jev_domain_name,jev_depth,jev_is_substantive,jev_has_rule,is_mental_model,is_featured,likes,retweets,replies,views,text,images_count,local_images,url
2067162038552694865,2026-06-17 08:26:50,macro_cycle,宏观周期,2.37,0.96,0.01,🧠 核心思维,⭐ JEV精选,0,0,0,0,"都说被锁在外面的几十亿人才是代币化股票的真实市场。

阿根廷人想买SPY，尼日利亚人想买NVDA，土耳其人想持有美元资产，中国人想配置海外资产。美国vc问“谁会买tokenized stocks”，其实是在问“为什么不用Robinhood”。

可这几十亿人压根没法用robinhood

我觉得这个结论是对的，但是只对一半

他们很多时候要的其实是美元，股票只是个顺手能买到的壳。

过去几年真正爆的是稳定币和链上国债，股票这层一直不温不火。

但这反而让我越想越在意另一件事。

2009年crypto的梦是绕开银行、绕开美元、绕开华尔街、绕开主权。2026年最成功的crypto产品，清一色在帮全球更多人持有美国资产。

很多人管这叫tradfi上链，但真正在发生的，是crypto变成了美元体系的新分销渠道。

最骚的是美国现在不拦了，反手给稳定币立法开绿灯。因为华盛顿想明白了，链上美元和链上国债是它最好的出口渠道，铺进了资本管制和银行进不去的地方。当年想干掉帝国的那套去中心化轨道，成了帝国最高效的运货车。

所以哪天几十亿人是通过钱包、不是券商进入美国资本市场。

这到底算crypto赢了，还是美元赢了？

我倾向后者，但也可能我太悲观。",0,,https://x.com/Michael_Liu93/status/2067162038552694865
2083230993058848781,2026-07-31 16:39:07,macro_cycle,宏观周期,2.09,0.94,0.11,🧠 核心思维,⭐ JEV精选,137,8,22,149598,刚又把早上出掉的存储仓位捡回来一些，这次仓位开了不到昨天的一半。逻辑是，我的判断是这个位置虽然没昨天博反弹的交易setup这么清晰，但如果昨天是阶段大底的观点不变（利空出尽，悬着的财报季和fomc均已落地，最大的多头杠杆清掉，市场情绪出现拐点），一天40%的反弹，开盘回调十几个点让获利盘和套,0,,https://x.com/Michael_Liu93/status/2083230993058848781
2074101707236430271,2026-07-06 12:02:36,macro_cycle,宏观周期,2.09,0.9,0.04,🧠 核心思维,⭐ JEV精选,42,4,17,31690,"回应一下第一个点，虽然不是说这种技术指标就该刻舟求剑，但就结果上看，因为这轮宏观没有放水，BTC周期顶部确实没有不是hype顶。

图一是月线RSI
图二是MVRV

可以参考前几轮的看一下 https://t.co/KlFegIaRAb",2,images/2074101707236430271_0.png;images/2074101707236430271_1.jpg,https://x.com/Michael_Liu93/status/2074101707236430271
1966856206410285391,2025-09-13 13:27:16,macro_cycle,宏观周期,2.06,0.82,0.05,🧠 核心思维,⭐ JEV精选,297,41,52,65991,"这周没好友来访，得了个清净的周六晚上盯盯盘整理下思路，趁着最近大家讨论降息后的仓位管理，也聊聊我对降息后市的看法是什么，以及我的操作。

先聊聊事实：
咱们刻舟求个剑，整理了一下过去50年共11轮美元降息周期里，降息后标普500的1个月、3个月、12个月表现（加密货币会跟着美股走）： https://t.co/32XTQ5I0wX",2,images/1966856206410285391_0.png;images/1966856206410285391_1.png,https://x.com/Michael_Liu93/status/1966856206410285391
2030794133833650360,2026-03-08 23:53:46,macro_cycle,宏观周期,2.05,0.91,0.03,,⭐ JEV精选,237,45,42,120671,"唉，石油今天开盘直接刺了21%，历史上石油到最后冲刺阶段都是美股大暴跌的开始

油价高&gt;通胀高&gt;无法降息甚至要加息控通胀&gt;企业利润受挤压&gt;裁员&gt;经济更差&gt;但又因为高通胀无法降息救经济

美联储有两个使命
1. ‌保证最大可持续就业（控失业率）
2. 保证价格稳定（控通胀） https://t.co/rUvyiwXj3t",1,images/2030794133833650360_0.png,https://x.com/Michael_Liu93/status/2030794133833650360
1997399261177384960,2025-12-06 20:14:28,macro_cycle,宏观周期,2.04,0.89,0.04,🧠 核心思维,⭐ JEV精选,52,6,8,12076,@bitfool1 说来如果是一个长期的bet，为啥要在降息周期初买usdc呢，他的利润只会越来越少，美股投资人是不会去拿P/发行量给usdc估值的，而如果又是个多头垄断的市场，usdt上市后，usdc会有明显的估值折扣。而如果你赌的是crypto市场后面仍是牛市，那为什么买的是circle而不是coinbase（牛市里交易量的增量一定是,0,,https://x.com/Michael_Liu93/status/1997399261177384960
2034616876274508111,2026-03-19 13:03:59,macro_cycle,宏观周期,2.01,0.87,0.04,,⭐ JEV精选,2,0,1,418,"@0xmao_eth 为什么要加呢？这个btc yield的飞轮是对应普通股有premium去买btc才是“划算”啊。

如果债也算，理论上你也可以说要做一个无限举债买btc的公司，只要利息低于btc每年的价格增长这家公司就不可能破产。但这你觉得说得通吗？",0,,https://x.com/Michael_Liu93/status/2034616876274508111
2082798877707792691,2026-07-30 12:02:03,macro_cycle,宏观周期,2.0,0.94,0.39,🧠 核心思维,⭐ JEV精选,132,11,28,95686,"反弹逻辑是什么？
几个hyperscaler财报都出了，不减capex不影响基本面。美联储会议落地，短期利好，虽然7月没加意味着9月加息概率大，但还是给8月初资金冲一波的时间。韩国那边开始讨论如何救市了。sk会长刚抄底海力士了。价格还可以，前低止损位也很清晰。",0,,https://x.com/Michael_Liu93/status/2082798877707792691
2021136494493389027,2026-02-10 08:17:45,macro_cycle,宏观周期,1.96,0.89,0.03,🧠 核心思维,⭐ JEV精选,35,1,0,4604,@Vida_BWE 牛市的时候容易募资，不好出手，熊市的时候难募资，但好出手，华人基金募资大多只能募个两三年duration的基金，LP都不是北美那种耐心钱，道理gp们都懂，但如果牛市募到钱一直等机会，可能没等到机会，基金就要到期了，还不如赌一波，反正不是自己的钱。所以要想赚周期的钱，不能做crypto基金的LP😅,0,,https://x.com/Michael_Liu93/status/2021136494493389027
2042402998954180716,2026-04-10 00:43:15,macro_cycle,宏观周期,1.96,0.9,0.03,,⭐ JEV精选,10,0,0,2877,@Jason23818126 有可能，但是美股那边有走独立行情，而且crypto股票普遍比crypto资产早见顶也早见底（美股资金对流动性敏感多了），可以参考看一下上轮的mstr。,0,,https://x.com/Michael_Liu93/status/2042402998954180716
