id,date,jev_domain,jev_domain_name,jev_depth,jev_is_substantive,jev_has_rule,is_mental_model,is_featured,likes,retweets,replies,views,text,images_count,local_images,url
1992805117335392688,2025-11-24 03:58:59,altcoin_trading,二级山寨,2.12,0.9,0.06,,⭐ JEV精选,192,10,62,82675,"聊聊今晚Monad开盘的策略：看空
- 目前Mon盘前34亿FDV
- 下面是Monad的筹码结构
- 空投要发3.3%，ICO卖了7.5%，生态激励解锁了2%，所以开盘当天解锁的有12.8%的代币，按目前盘前FDV算，合4.4亿美金，这个筹码结构项目方拉盘爆空的可能性为0，他捡回筹码的成本要高过可爆的空头对手盘
- Monad https://t.co/GrzbrhGztn",1,images/1992805117335392688_0.png,https://x.com/Michael_Liu93/status/1992805117335392688
1995495034444210664,2025-12-01 14:07:45,altcoin_trading,二级山寨,2.09,0.94,0.87,🧠 核心思维,⭐ JEV精选,114,11,12,16381,"围绕着这些确定因子，就可以推导出行为了，比如：
1. 空投不卖我不买
2. 投资人开始解锁的币我只空
3. 高开大概率空，低开看看有没有机会买
4. 没新预期的项目不玩（因为没新预期做市商就没吸引散户当退出流动性的钩子，也就不会拉盘）
5.",0,,https://x.com/Michael_Liu93/status/1995495034444210664
1936237849940312068,2025-06-21 01:40:51,altcoin_trading,二级山寨,2.08,0.87,0.83,🧠 核心思维,⭐ JEV精选,199,15,58,94892,行情走的挺不健康的，尤其是sol，4月初跌到95，出现超卖，反弹了近一倍然后继续派发，标准周期派发形态，可以参考下上轮。这里想赌是二探的可以110-120左右抄，但破了一定要快跑，如果100再破了大家可以彻底2025年歇逼出去旅游了😅 https://t.co/CHU69U1t9d,1,images/1936237849940312068_0.jpg,https://x.com/Michael_Liu93/status/1936237849940312068
1898718408101003399,2025-03-09 12:51:59,altcoin_trading,二级山寨,2.04,0.94,0.62,🧠 核心思维,⭐ JEV精选,258,39,53,113242,之前提醒过很多次了，再啰嗦一遍🥲，链上发行的币，上了大CEX以后，一律不能在二级接，DEX的涨幅空间越大、控筹越低、上了CEX就越不能接。因为价格发现的过程都在DEX上完成了，上CEX就出货是散户、项目方、MM和各利益方的共识，所以大家都会上了就抢跑，就算项目方不弃盘，想拉第二波也得先把第一波套,0,,https://x.com/Michael_Liu93/status/1898718408101003399
2097731826072838606,2026-09-09 17:00:15,altcoin_trading,二级山寨,2.04,0.89,0.06,,⭐ JEV精选,88,6,30,85894,"有好几个朋友来问bnc为什么砸的这么厉害了，我觉得其实就是美股流动性太差了，稍微有个人出点货就砸下去了。这个BNB的DAT在4stock出来之前每天只有20-30wu的成交量，你可以理解就没美股资金在冲，4stock出来的那天带动美股成交量一下到了7000万，然后这两天又回落到小百万了。主要战场都是在链上和合约里，币圈哥们们pvp。

所以如果你是很在乎这个短期涨跌的，我劝你别交易这个标的，如果你是想“折价”买bnb现货的，又相信cz和hy能把这个bnb dat搞起来，那你就当现货买了拿着。

可能看了这个交易量数据你也就理解为什么我觉得4stock对币安做成BNC多么重要了吧。",1,images/2097731826072838606_0.jpg,https://x.com/Michael_Liu93/status/2097731826072838606
2025840693906985281,2026-02-23 07:50:34,altcoin_trading,二级山寨,2.03,0.94,0.04,🧠 核心思维,⭐ JEV精选,204,14,46,202907,这波下跌周期里第一次抄ETH，长期是不是底不好说，底是需要磨出来的，但这个位置来个反弹问题不大，这波ETH在币安的换手量跟FTX暴雷时持平，上一次这么大的换手量是近4年前，这还是ETH在CEX的交易量已经被ETF和DAT稀释的情况下，实际惨烈情况应该跟3AC那会儿差不多了。 https://t.co/Cihnlglc2b,1,images/2025840693906985281_0.png,https://x.com/Michael_Liu93/status/2025840693906985281
2051238349629976751,2026-05-04 09:51:47,altcoin_trading,二级山寨,2.03,0.91,0.07,🧠 核心思维,⭐ JEV精选,83,7,30,27163,hyperliquid和币安的周末价格发现的逻辑不太一样。币安会冻结指数价格，周末有资金把价格冲的偏离指数价格的话费率就会容易出现极值，hyperliquid周中会用外部定价，周末则会切换成外部定价+ema平滑机制去削减周末的费率极值。 https://t.co/MPKTATITOk,2,images/2051238349629976751_0.jpg;images/2051238349629976751_1.jpg,https://x.com/Michael_Liu93/status/2051238349629976751
1841896933939671311,2024-10-03 17:43:44,altcoin_trading,二级山寨,2.03,0.93,0.23,,⭐ JEV精选,42,6,15,51691,好久没写二级的内容了，uxlink这种upbit做庄的妖币千万要谨慎在市场差的时候空它，这里支撑位都破了，但看庄钱包并没有大量的筹码转出，就小百万，然后也没出现现期价差，funding rate也是正常的，这种时候我宁愿错过空它的机会也不会硬着头铁上。 https://t.co/2JaYfSYEs2,1,images/1841896933939671311_0.jpg,https://x.com/Michael_Liu93/status/1841896933939671311
1905319764026876408,2025-03-27 18:03:25,altcoin_trading,二级山寨,2.01,0.92,0.06,🧠 核心思维,⭐ JEV精选,247,14,88,123753,不该一次性上四个的，最明显的是mubarak上了现货之后不涨反砸，成sell the news了，流动性本来就差，四个标的市场根本没法合力，都在找最便宜的上，而不是合力追龙头，如果这波上现货效果不好，bsc接下来的链上流动性会加速退潮。,0,,https://x.com/Michael_Liu93/status/1905319764026876408
1839491335243612237,2024-09-27 02:24:45,altcoin_trading,二级山寨,2.01,0.86,0.02,,⭐ JEV精选,10,1,6,5282,@fubo2552 你如果经常玩sol生态你也该知道，sol上的95%以上的池子是在ray上的，第二大的是meteora。ray的fdv是9亿，jup的fdv是90亿，一个聚合器比底层池子贵10倍。举个例子，现在uniswap 73亿，1inch4亿，如果1inch反过来变成730亿，你觉得合理会去买吗？,0,,https://x.com/Michael_Liu93/status/1839491335243612237
