id,date,jev_domain,jev_domain_name,jev_depth,jev_is_substantive,jev_has_rule,is_mental_model,is_featured,likes,retweets,replies,views,text,images_count,local_images,url
2025842396718825954,2026-02-23 07:57:20,onchain_flow,巨鲸链上,2.0,0.94,0.12,🧠 核心思维,⭐ JEV精选,46,1,6,14982,这就是我抄底三条件中说的第一条（投降式的换手量），而对于BTC，CEX内虽然还没看到这样的投降式换手，但ETF中却有出现（IBIT占了BTC ETF 60%左右的AUM，二级换手有出巨量），这也比较符合这轮机构+ETF驱动BTC周期的特点。 https://t.co/Cn28zYTaHc,2,images/2025842396718825954_0.png;images/2025842396718825954_1.png,https://x.com/Michael_Liu93/status/2025842396718825954
2071911289522401476,2026-06-30 10:58:40,onchain_flow,巨鲸链上,1.98,0.74,0.02,,⭐ JEV精选,23,0,1,2367,@PhyrexNi 如果是跨境用途的的，我觉得这种客户更不会接受银行稳定币了。境外客户要的是最终变成美金的兑付能力和兑付便捷性，usdt和usdc对于一个境外用户远比一个jpm发的稳定币要靠谱，我要换还得找个jpm的分行。而如果本身双方都已经是jpm的客户，直接jpm汇款就好了，也就不需要稳定币了。,0,,https://x.com/Michael_Liu93/status/2071911289522401476
2071743936998375533,2026-06-29 23:53:40,onchain_flow,巨鲸链上,1.97,0.89,0.01,🧠 核心思维,⭐ JEV精选,295,30,80,125076,"最近有朋友问我，怎么看银行巨头们自己下场做稳定币？会不会颠覆Circle的生意，我来回答一下。

稳定币生意的护城河是仅次于BTC的存在，这是一个又要铺渠道，又要搞定用户心智，又要搞定合规的生意，先发玩家的优势巨大，因为从用户的角度几乎没有任何切换的理由。

这么多年下来，最终跑出来的只有USDT和USDC两家，一个依托早期crypto爆发带来的先发优势，一个依托美国合规体系和链上defi后崛起。

- 币安扶持过三次新的稳定币，BUSD, FDUSD, TUSD，都没做起来
- Hyperliquid做了USDH，没做起来
- 火币做了HUSD，没做起来
- OKX早期通过oklink做过USDK，没做起来
- Gemini做了GUSD，没做起来
- Kraken做了USDG，没做起来
- Tron做了USDD，没做起来
- 其他的稳定币更不用说了，算稳要么已经暴雷，要么存量一直在萎缩的过程中

币圈里拥有最多流动性，最大分销网络，最多交易场景，现成的用户的最大的几家交易所和公链都尝试无数次且失败的事情，你觉得JP morgan下场做能做好？这些老牌金融机构上上轮周期的叙事是要做crypto交易所，做明白一点了吗？",0,,https://x.com/Michael_Liu93/status/2071743936998375533
1855617942106615903,2024-11-10 14:26:07,onchain_flow,巨鲸链上,1.95,0.89,0.02,🧠 核心思维,⭐ JEV精选,144,3,10,25401,链上从来都是魔高一尺道高一丈的地方，我不指望某个工具可以把dev的所有脏手段都揭开，但这本质是个成本问题，当散户都给自己武装了侦察能力，那dev起盘子的成本就会越来越高，流水盘和rug盘就会在经济上不再有意义，而剩下的则是愿意长期做盘子的格局项目方。在此也感谢所有给散户们武装的工具商们。,0,,https://x.com/Michael_Liu93/status/1855617942106615903
1836284558184190279,2024-09-18 06:02:09,onchain_flow,巨鲸链上,1.95,0.61,0.02,🧠 核心思维,⭐ JEV精选,46,1,15,26297,Sato阴毛庄骚操作真有意思，汇集了4%的筹码发给币安，然后找一堆号推上宣传sato持币第一是币安，制造Sato要上币安的假象，仔细爬一爬地址就能知道全部是早期庄自己狙击地址的筹码，不明所以的人看到第一时间梭满了.....其实用常识想想就知道，上币安这种消息庄会让你知道吗？（参考大Neiro先砸盘90%+） https://t.co/qhnIpxIYFn,1,images/1836284558184190279_0.png,https://x.com/Michael_Liu93/status/1836284558184190279
2075235592800276926,2026-07-09 15:08:15,onchain_flow,巨鲸链上,1.93,0.87,0.02,,⭐ JEV精选,0,0,0,0,"Why USDT and USDC are Harder to Kill than Crypto Twitter Thinks: My last Thoughts on Open USD

The launch of OUSD has taken Twitter by storm. Many people are now convinced @circle  is doomed because a consortium of 150 companies spanning payments, fintech, banks, crypto infrastructure, and consumer technology is somehow going to crush the competition and launch a stablecoin that rivals USDC, and potentially even USDT.

I already wrote a tweet on why people are vastly overestimating this initiative and why consortiums are poor organizational structures to conquer anything, let alone a market with an established duopoly. In this short piece, I want to focus on one thing only: the true network effects of stablecoins. Instead of rehashing every argument, I want to walk through a tangible example that everyone is ignoring, because I believe both USDT and USDC have liquidity moats that are vastly misunderstood and underappreciated.

Stablecoin network effects are not created by a long list of logos. They are created by liquidity, habit, collateral acceptance, integrations, brand recognition, market depth, settlement flows, and the fear of breaking what already works.

This is why I think @tether  and @circle  are companies that are vastly misunderstood.

First, the obvious: OUSD will be GENIUS compliant, which means it cannot share yield directly with users. This isn’t news, yet people are screaming at Circle to pay stablecoin holders, as if OUSD were going to be able to do that. The reality is the opposite: Circle is probably the issuer that passes on the most yield to platforms, and by extension to users, of anyone in the market.

This matters because a lot of people are talking as if OUSD will create a fundamentally different yield product for end users. That is not the model. The model is not “pay stablecoin holders.” The model is “share the reserve economics with the platforms and businesses that distribute and use the stablecoin.

This is an important distinction.

The strongest argument I’ve seen for OUSD is that consortium members will be highly incentivized to entrench it in their businesses because they get a revenue share from the structure. Without knowing the details, let’s assume the economics resemble previous consortiums we’ve seen: Open Standard, the operating company, keeps a 25 bps management fee while each participant keeps 100% of the NIM on any OUSD sitting on their platform, network, or protocol.

On paper, that’s a deal anyone signs immediately. But it completely discounts the fact that these companies accrue value in other ways, and in many cases their core businesses depend on the existing liquidity and network effects of USDT, USDC, other stablecoins or simply other FIAT currencies.

The NIM from stablecoin reserves is attractive only if pursuing it does not jeopardize a much larger revenue stream.

That is the key point.

The best case study in the industry, and probably the strongest counterexample to OUSD, is Binance.

Binance as the best Case Study

@binance  is the largest exchange in the industry by several miles. It initially had its own branded stablecoin, BUSD, which peaked at roughly $23B in supply before NYDFS ordered Paxos, the issuer, to shut the product down in February 2023.

Look at the three biggest Asian exchanges and you get three clean case studies. Today @binance  holds about $45B of USDT, @Bybit_Official  about $4B, and @okx  about $9B. Binance has been, and remains, Tether’s fortress and crown jewel. USDT is the most liquid counterpair on the biggest exchange in the world. Today, if you want to buy BTC, ETH, SOL, or open a perp position in size, USDT is still the dominant quote currency across much of the offshore exchange complex. Binance helped make that true. USDT is embedded into the deepest order books, the most liquid pairs, the most active derivatives markets, and the workflows of the most important market makers and traders.

That is a real network effect.

Now many of you must be thinking: why is CZ so naive? Why hasn’t he called Paolo and Giancarlo and demanded at least a portion of the USDT yield, if not most of it? Binance knows it has extreme leverage here.

There is an extremely simple reason this has never happened: Binance’s crown jewel, from a revenue and enterprise value perspective, is its trading business. And that trading business is cemented by USDT liquidity.

Running the math

So let’s run the rough numbers and see why it is entirely rational for CZ not to chase the NIM, or try to replace USDT with a more “aligned” stablecoin. The back-of-the-envelope math below is based on on-chain data and assumptions; none of it is confirmed information.

Building it bottom-up:

Derivatives (the core engine). Binance runs roughly 40% of global crypto derivatives volume. Call it $40-50B per day on average through the cycle, so $10-15T annually. Blended taker/maker take rate after VIP discounts and BNB rebates is maybe 5 bps. That’s roughly $5B from perps and futures alone.

Spot. Maybe $8-10B per day on average, around $3T annually, at a blended 15 bps (much lower than Coinbase’s retail take rate, because Binance’s mix skews heavily VIP and they run zero-fee promos). Call it another $5B.

Everything else. Earn and lending spread, margin interest, Launchpool and listing economics, Binance Pay, staking commissions, plus the float: they sit on roughly $46B in customer stablecoins, and while they don’t sweep it like a broker-dealer, the corporate treasury and interest-bearing products around it are meaningful at these rates. Add BNB ecosystem economics and you’re conservatively looking at another $5-7B.

And remember, these are bear market numbers. Very conservatively, Binance is a business generating close to $17-20B in bear markets and probably closer to $25B in bull markets. A business of that scale and quality is plausibly worth north of $200B.

So why isn’t CZ in a rush to replace USDT or demand better economics from the Tether team?

Because the whole reason Binance is what it is today, the reason 300M+ customers keep returning to the platform, is that it is the most liquid venue on earth. Let’s price the trade Binance would actually be making.

Binance has $45B of USDT on its platform. Say it struck a deal with OUSD handing Binance 90% of the yield. At an average T-bill yield of 3.8%, that’s about $1.55B a year. Very appealing, until you frame it properly: risking a $25B revenue engine for $1.5B of upside is something only a madman would do.

The glue holding Binance’s trading castle together is precisely USDT. There is no incentive in the world that would make CZ rethink which stablecoin to entrench.

And we don’t need to speculate, because it has already been tried. Over a year ago, Circle reportedly paid Binance a one-time $60M plus ongoing monthly incentives tied to USDC balances held on the platform. Despite all of that, USDC supply on Binance has been essentially flat at $5B.

People are vastly underestimating the network effects these stablecoins generate for the businesses that host them. In most cases, the upside is simply not worth jeopardizing your core revenue engine.

For an exchange, the stablecoin is not just cash. It is the quote asset, the collateral asset, the risk-management asset, the working-capital asset, and the unit of account for millions of traders. Switching that substrate is not free.

Not All Consortium Members Have the Same Incentives

The final point is that the OUSD consortium includes very different types of businesses. They do not all monetize stablecoins in the same way.

Broadly, there are two models.

The first model is AUM monetization. These are companies and protocols that benefit from idle balances, deposits, or float. For them, reserve economics are directly relevant. A lending protocol, wallet, neobank, or exchange with large customer balances may care a lot about the NIM attached to stablecoin supply.

The second model is turnover monetization. These are payments networks, processors, remittance companies, and commerce platforms that monetize transaction flow rather than idle balances. For them, the stablecoin is more of a rail than a balance-sheet asset. They may care more about reliability, cost, compliance, speed, reach, and customer experience than about reserve yield.

An @aave  and a @WesternUnion do not bring the same thing to OUSD.

A DeFi protocol can help create supply by making OUSD useful as collateral or as a yield-bearing venue for liquidity. A payments company may instead move OUSD through its system and burn it quickly at the edge. That can be valuable for volume, but it is very different from creating persistent supply.

This is why the consortium structure is less powerful than it appears. The members may all like the idea of shared economics, but their incentives are not identical. Some will create supply. Some will create turnover. Some will integrate deeply. Some will experiment. Some may do very little once the press cycle is over.

In equilibrium, it is hard to believe all members will be equally motivated to push OUSD. Some will do the hard work of adoption. Others will coast.

That is the classic consortium problem.

Conclusion

OUSD is not irrelevant. It is one of the more interesting stablecoin experiments we have seen, and the economic model is clearly designed to attack the reserve-income advantage of the incumbents.

But the market is overestimating how quickly shared economics can overcome embedded liquidity.

Stablecoins are not won by press releases. They are won through deep, repeated, high-trust usage across the venues where money actually moves.

That is why USDT remains so powerful. That is why USDC has proven resilient and is growing so fast. And that is why OUSD, despite the impressive consortium behind it, faces a much harder path than the market currently assumes.

The core question is not whether OUSD can offer better economics to partners.

The core question is whether those economics are valuable enough for partners to risk disrupting businesses that are already built around other currencies or stablecoins.

In many cases, the answer will be no.",0,,https://x.com/Michael_Liu93/status/2075235592800276926
1905341829190750663,2025-03-27 19:31:06,onchain_flow,巨鲸链上,1.92,0.85,0.04,,⭐ JEV精选,9,1,3,3092,@thecryptoskanda 个人觉得为了吸引中腰部dev，不需要这么吸引，bsc流动性足够强自然会吸引他们进来，而吸引散户流动性的方式是一个接一个的打造mubarak和tst这种造富故事。但现在cex这么上bsc现货，40m如果都成硬顶了，就会大大压低链上的“预期”空间，这样链上会很p，p几天流动性都跑了。下次散户看到某币20m了在做投票,0,,https://x.com/Michael_Liu93/status/1905341829190750663
2071906508816916702,2026-06-30 10:39:40,onchain_flow,巨鲸链上,1.91,0.74,0.01,🧠 核心思维,⭐ JEV精选,28,0,3,6328,@PhyrexNi 银行稳定币的问题是，如果本身就在自身体系里流转，就没有做成稳定币的必要，成熟的结算、支付体系、机构客户，为什么要把客户的钱换成稳定币？有点脱裤子放屁的感觉。如果要出去流转，自己做的稳定币又很难脱离自身的体系。,0,,https://x.com/Michael_Liu93/status/2071906508816916702
2083924656101470667,2026-08-02 14:35:30,onchain_flow,巨鲸链上,1.89,0.9,0.02,,⭐ JEV精选,39,2,3,8532,这几天看了一遍lorenzo发的帖子（木头姐基金的加密负责人），发现我们看好稳定币的原因竟然出奇的一致，都认为rwa会是撬动更大的70万亿的美股资金的关键，而随着这些资产上链并在crypto infra里交易、借贷、套娃，货币层（usdc）、网络层（eth）的需求都会指数级的被变大。,0,,https://x.com/Michael_Liu93/status/2083924656101470667
2067887880182362588,2026-06-19 08:31:04,onchain_flow,巨鲸链上,1.89,0.85,0.03,,⭐ JEV精选,10,0,0,2454,@0xcryptowizard 同意，看这波如何收场了，如果市场无法让strc自然回锚，mstr持续低位卖币还债的话就会是一个比较漫长的去杠杆过程。,0,,https://x.com/Michael_Liu93/status/2067887880182362588
