id,createdAt,goldScore,isMilestone,hasArticle,favoriteCount,retweetCount,replyCount,viewCount,text
1896334563657634126,Sun Mar 02 22:59:26 +0000 2025,10.0,False,False,312,36,38,370599,我跟着内幕巨鲸哥挣了15万刀，但是很戏剧。 我把我昨天一天的心理状态写下来，我昨天一天都在看ai姨@ai_9684xtpa 感谢ai姨更新巨鲸仓位，如果需要打赏，可以私信我地址  昨天Hyperliquid有个巨鲸拿600万刀50倍做多btc和eth 一开始他的爆仓价BTC是84629，eth是2133.9。 我看到这个消息判断出，应该是有内幕，且btc和eth的消息很快会放出来，因为这巨鲸杠杆很高，消息如果不很快放出来，市场一波动他就爆了。 所以我直接跟随他开多了btc2次，从10点持有到下午4点，没任何消息我亏了1900多刀就止损了。
2078871613605646665,Sun Jul 19 15:56:30 +0000 2026,10.0,False,False,601,33,190,326149,18年11月我爆仓了40个比特币，刷信用卡扛过来的。  20到21年币圈大牛市，我盈利最多的时候，也是人生最高光的时候，买房直接全款3kw，后面熊市大回撤，当时的老粉都知道我23年到24年两年都在想办法卖房，流动性太差了，腰斩60%去卖。 我最难的日子应该是被冻卡和交易所账号出问题，我加一姐微信寻求帮助。  我从小到大再穷再苦再难的时候，都是自己扛下来的，我的性格很难开口。  我用了6年都没回到21年资金最高的时候，这也是我的执念，我很想回去，但是很难，很难。  不下赌桌终究是输，如果有天我破产了，我能找谁开口呢？
1997162046690152692,Sat Dec 06 04:31:52 +0000 2025,10.0,False,False,342,30,85,235102,最近有个狠人叫“老恶魔”，去币coin或者欧易广场看看 地狱行情，他挣了一千万刀 大多数人只会说一句：老恶魔太牛逼了。  但你不知道的是——今年 5 到 7 月，他连续亏了两个月。一般人早就退圈了。 他在大跌后依然敢重仓追空，暴涨时照样重仓追多。 他敢在浮盈时继续加仓，也敢连续五六笔几十万刀的止损依然继续梭哈开单，你敢吗？  他 25 号 8.8w 空 BTC，最高盈利 70 万刀不平，前两天最高差几百刀爆仓100万刀，他依旧不动 光这种心态，谁能做到？  他最开始也没盈利的时候，操作风格就已经是：看准方向，全仓模式扛 80%-90% 亏损，止损就充钱立刻反手，再扛 80%，直到方向完全确认。方向对了就死拿，赚到钱就直接提现。
1910231425426866255,Thu Apr 10 07:20:36 +0000 2025,10.0,False,False,534,375,790,182191,我以前不玩推特，只默默开单挣钱 我看了一下几个账号的盈利还没凉兮一单挣的多 但是我不会爆仓，我挣钱只会提现改善生活 我玩了推特以后，我发现币圈有很多水深火热的人  特朗普都在让他儿子和团队做老鼠仓割韭菜 这是世界上权利最大的人，都在敛财 我们身为韭菜应该怎么办？  如果你想做交易为生，你要知道你的对手是谁 华尔街，全世界最聪明的人和对冲基金公司 还有其他散落在全世界的野生交易员，聪明钱  我们每天都在骂狗庄，但是没有人知道狗庄到底是谁，狗庄没有名字，你可以把华尔街称为狗庄，所以我的推特名字叫华尔街没有名字  从今天开始，在币圈没有归属的人 想靠一级市场，二级市场挣钱的人 你们都属于街家军 1)我会无私奉献我的一些炒币技术给你们，让你们有自力更生的能力 2)我会用我未来合约的盈利拯救濒临破产跳楼的韭菜 3)如果你发现了一级市场或者二级市场的好机会，苦于自己没有本金，把机会私信告诉我，我挣到钱就会给你分成，我会让你拥有启动资金 4)我需要无数大小的聪明钱和努力的人在我的街家军里 不要放弃你们的暴富梦，一万小时定律和偶尔出现的运气会让你挣到钱 从现在开始，加入街家军，致敬狗庄，致敬华尔街，同时干他妈的狗庄，干他妈的华尔街。 燃起来了！
2020813333860098110,Mon Feb 09 10:53:38 +0000 2026,10.0,False,False,361,126,228,143393,我宣布，如果能和孙宇晨先生@justinsuntron一起吃饭 我将购买500万人民币的实体书 无条件赠送给不认识孙宇晨先生@sunyuchentron的人，我要让全世界的人都认识孙宇晨，让孙宇晨的名号响彻斗气大陆！  我会在任何社交媒体上购买巴菲特马云关门弟子，孙宇晨天价饭局的热点推送。  我会发行某代币跟《这世界既残酷也温柔》绑定，并且个人宣布，《这世界既残酷也温柔》是trx上唯一经过孙宇晨认可的代币，未来会上线火币交易所。  我会在饭桌上向孙宇晨先生赠送50%的总量，同时向孙宇晨前女友曾颖@tenten19901107和网传现女友谷爱凌，同时增送25%的代币。  同时立刻找新闻平台推送孙宇晨本人和前女友，现女友购买了这个币。  饭局结束后，我会宣布无限期延长购买500万人民币实体书的时间。 如果一堆人骂我，我宣布，为了保护环境，我将赠送电子书给大家。  以上纯属虚构，没有任何代币绑定，任何代币跟本文没有任何关系。  第一步，许愿式承诺 开局先扔一个很大的数字和无条件赠送，把讨论拉到善意与道德层面。 第二步，热点式投放 不管饭吃得怎么样，先把话题买到人人都刷到，让承诺本身变成内容。 第三步，金融式叙事 再接一段代币故事，在饭桌上做强绑定，让媒体去讲参与感，让围观者自己脑补背书与信号。 第四步，兑现式变形 时间不够就延期，压力上来就换形式，最后用环保普惠科技的理由把成本更高的实体兑现，替换成更轻的版本。 最后，互联网没有记忆 随着时间的过去，大家忘却此事。  这才是孙学。
2069748387306430610,Wed Jun 24 11:44:04 +0000 2026,10.0,False,False,857,28,289,110566,长达8年的交易，我有过无数笔止损 止损对了的，止损错了的，数不清了。 之前一直赢，让你们觉得行情很简单，这次止损我用我自己的例子告诉你这条路有多么难走，你们踏进交易要想清楚，90%的人不适合这条路。  无数次观点被打破，依然要硬着头皮去按下止损按键，要告诉大家，止损错了也认，保留本金空仓看待这个市场才能更清晰。  做kol做博主最难的是向粉丝承认你看错了，这件事是很难的，为什么呢，因为大家都要面子，承认这件事很丢人，大多数人做错了都选择沉默，但是如果你不去第一时间说出来这件事，会有无数信任你的人去扛单，最后爆仓。  18年11月15日，我跟着bitmex排行榜前10的一个人，当时我也是纯小白，他赢了很多次，最后判断错了一路扛单，我也扛爆了，用了8个月才恢复，从那以后我就不相信任何人了，自己的观点自己开，错了怪自己。  如果你现在跟的博主是那种做空了半导体，存储，空了主升浪还能告诉你赚麻了。 反过来也一样，做多了一整个熊市，最后告诉你赚麻了。那就有问题了。  要关注能告诉你观点，也敢于承认这件事是错了的博主，而不是赢了就一直引用，错了就装死沉默。  我今天很成功，我之前在几百人几千人里承认止损，这次我在7万人里承认止损😄，这一步从心态上进步巨大。
2068356563107197123,Sat Jun 20 15:33:27 +0000 2026,10.0,False,False,788,44,209,90259,1)少关注一些说话模棱两可的博主，尤其是事后走出来哪个行情然后转发自己模棱两可观点去隐晦的表达自己看对了的都是大傻逼。  2)多就是多，空就是空，能直面表达出来的才是值得你们关注学习的，就算错了也没关系，正常的交易员是什么价格什么位置做什么事。  3)长期只会喊空，或者只会喊多的一律拉黑，因为长期喊一个观点，最终肯定会对。  我18年入币圈交易到目前整8年，我换过四个自媒体账号，早期玩新浪微博，后面币coin，合约帝实盘我都做过，我曾经建过一堆满500人的微信群，微信好友里币圈好友都几千个，现在我微信好友一共200人，该删的全删了。  我手把手带过无数人，学了点东西短期战胜市场洋洋得意在我面前认为自己是交易天才最终亏完退圈的我也见了无数人，所以每一个因为某波行情挣到钱的人，我都会告诉他们，多提现要守财。  每拿到一次大结果或者我认为我要休息的时候，我都会注销自媒体账号，解散所有群，删除所有与圈内相关的好友，我也从不参加任何交易所活动。  最终休息一段时间我又会重新注册新的自媒体账号再发文，因为交易路上实在是太孤独了，你总要有个地方去发。 很多之前的老群友听我视频声音和我教你们的东西都认出了我，大家也都知道我的性格互不打扰。  不管是做自媒体账号也好，录视频做网站也好，都是交易路上太无聊孤独了。 曾经我建过很多交流群都没啥用的，群里每个人一句话，七嘴八舌都是噪音，涨一点叫爆拉，跌一点叫暴跌，这对于你们做交易没有任何用，所以我没有一个交流群。  我能感觉到给你们输出的内容和时间不多了，这个账号也是我去年开始做，粉丝最高的一个了，兄弟们陪不了你们太久，每个人只能陪你走一段路，迟早是要分开的。 人生是一场不断遇见，又不断告别的过程。  如果有一天我不更新了注销了账号不要惊讶，可能就是很突然的某一天，网站剩的订阅时间也都会按比例退回，这么多年我见过能从交易里长期走出来的稳住胜利果实的太少了，希望你们其中有人可以，而我只能帮你们这么一点点。
2059630455192993810,Wed May 27 13:39:01 +0000 2026,10.0,False,False,289,14,84,65173,我高中时谈过一段三年的恋爱，初中也有过恋爱，但真正发生性关系，投入感情最深的，是高中这段，所以称之为初恋吧。  那时候周末要出去吃饭开房，节日要送礼物，家里给的零花钱根本不够，我不想向家里要钱，正是从那时开始，我第一次有了强烈的赚钱欲望。 后来我开淘宝店，每个月能赚几万，也舍得给她花钱。  上大学后我们异地恋，约定好我每个月去找她一次，最后还是分手了。分手后一周，她就和学校里的一个学长在一起了。那个学长是学生会的，刚进大学的新生，对学生会会有一种天然滤镜，其实学生会狗屁不是。 我经历了人生中第一次失恋，我很难过我疯狂的去找她，挽回她，我一直想不明白为什么我对她那么好，三年的感情还是会结束，难道这三年都是假的？  很长一段时间，我开始怀疑自己是不是没有魅力。后来我在学校里看到好看的女生就去追，追到之后就冷暴力分手。两三次以后，我确认了自己是有吸引力的，也意识到，用自己的创伤去伤害别人很不好。后来我开始了大学校园里正常的恋爱。  几年后，初恋又联系我，想重新在一起。我们尝试在一起了两个月，但已经没有当年的感觉了。 最后是我提的分手，因为我觉得这段关系已经没有意义。那时候我已经有钱了，她不想分手，可能更多的是不想失去一个ATM机，我很绝情的分手了。  到今天我的感情经历已经很丰富了，数不清的女朋友，再回头看过去任何一段关系，我都觉得那只是人生中的一段经历。现在和任何女性分开，我也不会有太大的情绪波动。  你经历的都是大多数男人都会经历的问题，别把自己困在一段关系里，困在过去。 多赚钱，多提升自己，等你真正变强之后，选择权会回到你手里。
2028800928837460136,Tue Mar 03 11:53:29 +0000 2026,10.0,False,False,357,18,93,52782,18年5万炒币圈现货，18年年中炒bitmex合约 1btc干到40个，18年11月16日，40个比特币灰飞烟灭。  18年底重新开始做，19年7月300万，20年312，500万，20年8月900万。  21年大牛市破人民币a9，套现3000万买了某地区单层写字楼和国外等多地房产，22年熊市下a8，至今都没回a9。  我顺的时候很猛，逆风的时候亏的也多，主要是行情如果大震荡，我正反手可以无数次，钱主要是亏在这里。  我开单很大，但是我跟凉溪不一样，我挣钱就提现了，目前后手也很深，不接任何广告，也没有收费群。  输出视频就是觉得当一个大赌狗没意思，总要留点什么，如果你看我视频成功了，别人问，你就说：华尔街没有名字，带你入门的就行了，所以你可以认为曾经脚踩过a9的人教你做交易，虽然现在a9一抓一大把，但是输出真东西给你的太少了，目前还有最后一个视频更新，更新完就没了。  希望你们加油，我爸这辈子没挣过一百万，我靠交易整整7年挣了亏了不知道多少钱了，这条路有多么不好走我太清楚了，要么退出，要么好好努力。  加油吧。
2090236973965513147,Thu Aug 20 00:38:23 +0000 2026,10.0,False,False,238,20,70,48479,8月13日首次出消息白宫要开加密峰会，价格没动甚至下跌。 8月14日特朗普确认参会，价格依然没变化。  基本上大家已经被熊市震麻了，对这种新闻已经不感兴趣了。  上一次白宫加密货币峰会是 2025年3月7日，上次还处于牛市，所以最大的涨幅在25年3月2日，市场和特朗普的老鼠仓提前交易新闻。  这一次市场处于熊市，给了几天的反应窗口，市场和特朗普的老鼠仓压在加密峰会的24h内推动涨幅，散户跟注，空头爆仓推动。  如果还有下一次白宫加密峰会等美国关于加密货币的事情，要怎么做？  总结： 牛市流动性足，市场相信，看到新闻先上车 熊市流动性差，震荡震麻木，市场不信，所以要当先信的人，提前买call等消息日落地 前几天的波动率非常低，期权便宜，call的收益远大于合约做多。
