推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
1723203548186624413,2023-11-11 04:58:36,S,93,2580,806,1031879,"我们从期货和现货价格的变化上来分析庄家是否在平多建空单，准备砸盘结束。还是以庄家的角度来思考。

庄家平多和建空单都是卖出动作，但是庄家的体量多单和空单的体量肯定异常庞大，如果持单量不够，拉盘就有概率发生亏损，倒金字塔在崩盘的时候不一定会有很多人接他的筹码。

既然他的单量异常庞大，那么在持仓数据和期货价格上就会产生俩个异常明显的变化，还有一个链上辅助变化作为补充。

1.合约持仓量先骤降再反升，因为这是一个平掉多单，开新空单的过程。

2.因为平多和建空单都是卖出操作，庄家想完美把这么大体量的单子平掉，同时开出空单，唯一能做到这件事情的手法就是继续疯狂拉现货，促使散户看到巨大的价格差继续买入期货给自己提供期货卖空的买盘，来使得自己的空单建仓能顺利完成。正如昨天的gas，然后自己疯狂在期货里面疯狂卖出平多。这一段币价拉升机会产生巨额的价格差，可能30%以上，之前ygg在这种阶段价格差达到了50%，polyx40%，loom30%。

这期间会产生一个非常有意思的价格变化，我在loom和polyx上观察到过，loom当天现货价格（10.15号21:00时段）拉到了0.5最高。期货价格此时段0.41，紧接着期货价格在一小时内砸到了0.2796，期货到了0.366，如果用1分钟线看这个时段的变化更加有意思，有兴趣的朋友可以翻着k线对比。这其中绝对涵盖了天量的平多和建空单，散户的买盘和做市商的单量支撑不了庄家如此短时间的单量，自然会造成巨大的期现差价。

紧接着几小时loom期货价格居然追平了现货价格。现货从0.36仅涨了10%到了0.4，期货价格居然从0.29拉到了0.3866，这绝对是最血腥的操盘。即使很多玩家从期现巨大的差价预判对了庄家应该是建空了或者loom价格应该涨到头了来参与做空，那这个临死前的反抽还是能把这里的聪明资金杀死。

巨大期现差产生后，币价临死前的反抽杀空单这个同样发生在了hifi和polyx上面，可能幅度没有这么夸张，但依然足以致命。hifi在合约上线当天价格基本上已经到达了峰值，期货价格不断下跌，现货居然纹丝不动，庄家用少量的钱就能拖住现货，来砸盘期货让散户看到差价后觉得在资金费率上和价格差上都有利可图，好给庄家提供对收盘，完成建仓操作。hifi在几个小时内期货价格从2.6刀砸到了1.3刀，期间现货价格依然是2刀，聪明资金肯定判断出来这是鱼尾了，但依然在接下来的五个小时被绝杀，期货价格反抽到了2刀跟现货价格打平杀死了这波聪明资金，紧接着也是跟loom一样才开启真正的暴跌。polyx也一样，你们感兴趣可以自己翻阅k线。

同样一幕发生在了昨晚的gas身上，感兴趣的可以翻k线研究研究。

3.第三点作为辅助，就是链上动作的变化，可能会对trb真正行情结束的判断有所帮助。trb是一直往币安外部提币造成币价稀缺拉升，loom当时也是一样。但这些操作在庄家砸盘之前都会发生停止。

接下来我们思考，如果庄家每次买的筹码都提走了，在不把筹码充值回交易所的情况下，如何砸盘呢？

首先链上肯定会被无数人监控，你一旦转入交易所，散户的动作会比你更快，这绝对不是庄家愿意看到的，你这是赚我的钱怎么能比我提前操作呢？

那么作为庄家，最正确的操作就是准备砸盘前的几天或者十几个小时，会停止往交易所外提币，同时期间大幅拉升收集用来砸盘的筹码，甚至可以这样，庄家买100万美金币，只提出去10万，来迷惑散户。外部特征就是我们散户可以看见的变化就是价格依然在不断拉升而且速度快过了以往任何时候，但是链上动作却很少。这是散户死亡前最后的晚餐。

简单说就是币价涨幅最快的时候链上动作反而消失或者很小，也可以作为辅助来判断是否是鱼尾行情出现，崩盘是否即将开始。

当然，最终解释权还是在庄家手里，它永远可以选择不结束拉盘，如果庄家资金量足够庞大的话，或者操作的过程盈利非常充沛。在加密市场永远别做空，以上希望能对您的现货卖出止盈操作有所帮助，不希望用在合约交易上。🤚🤚🤚🤚
码字不容易，希望来点点赞收藏",https://x.com/xiaomustock/status/1723203548186624413
1723545424185987500,2023-11-12 03:37:05,S,89,869,244,432541,"暴涨数倍的币，包括gas，开始暴跌后怎么抄底可以赚到钱？那就是得按照最高价的25%以下再考虑抄底，29.9*0.25=7.4刀以下。
（明天写这个在eth和比特币上怎么用）

目前观测的情况是这个比例在韩国棒子upbit操盘过的币当中比较实用，loom，hifi，ygg这三个暴涨数倍，抄底位置就是近似于于25%或者更小一些更加安全。

loom
最高价：0.5，最低价0.1，最高价的20%，反弹高点0.16，收益60%

hifi
最高价：2.63，最低价0.48，最高价的18%，反弹高点1.34，收益179%

ygg
最高价：1u，最低价0.1812，最高价的18.12%，反弹高点0.438，收益率141%

ordi（以ok计算）
最高价：开盘均价14u，最低点2.82，最高价的29%，反弹高点目前22.7，收益率700%

polyx
最高价：0.431， 
最低价预计20%：0.086

gas
最高价29.9
最低价预计20%：5.98

基本上最低价是最高价的20%。
但是抄底：我们可以选择从最低价反弹到最高价的25%附近可以认为反弹行情开始，不然就依然是下跌中继，还有继续下跌的可能性。

也就是对gas而言，先跌到5.98附近，然后反弹到7刀附近可以认为是反弹行情开始。没有到7附近，那就依然是下跌中继还是会跌。

原理就是从庄家思维和散户心理出发，基本上绝大多数散户都喜欢腰斩跌一半去抄底，在真正从最高价往下跌的这一段对手盘反而是相对真空的，因为空军在庄家数倍爆拉的过程中基本上已经杀完了，很少敢有人继续参与，敢参与的人骨灰上已经长了三米高的坟头草。

但是庄家想赚钱，并且想脱身立场，必须制造出大量的对手盘，他才有得赚。
最正确的做法就是趁热度，散户没有遗忘这个代币的时候迅速砸盘，砸到散户上车的心理价，然后横盘停留让散户上车。
最好期间在腰斩价50%附近多来几次非常小幅度的拉盘砸盘，这样的非常小幅度砸盘不足以吓跑散户，同时非常小幅度的拉盘又不足以让散户获利走人，同时还能接更多散户上车接盘来做庄家对手盘。

等对手盘累计差不多以后，可能停留不超过24小时，车上满人以后，就会继续砸盘，直到新上车的散户继续被腰斩。当他们割肉的时候就是庄家的顶部空单买入平多的时候。

所以最高价的腰斩价横盘对庄家很重要，他必须要像妓女一样勾引到足够多的嫖客，才能保证自己在接下来的平空买入操作中安全下车，保证自己的收益最大化。
这一切正如我们看到的gas，28爆砸到14刀附近，昨天横盘一天等别人抄底，今天继续下砸到9刀以下，等待这些人割肉。

要时刻记住的一点，庄家现在手里拿的是大量的筹码和大量的空单，大额空单想走必须要有大量的对手盘卖出，然后自己空单买入平仓，这样币价的波动才最小。这是最值得思考的一部分。

这个仅是从近期几个月统计学的角度总结一下是这样子操作，扩大时间范围后可能不具有适用性。同时在排放币中也不太适用，gas是排放币所以预测可能不准确。（底部插针数据不算）

明天写在比特币和eth上这种更加细化的统计学预测，是不是一样有效？我们明天继续写。

码字不容易，希望对您的交易有帮助，有用的留言：有用
能点赞收藏就是对我最大的鼓励🤚",https://x.com/xiaomustock/status/1723545424185987500
1771930186680058266,2024-03-24 16:00:52,S,86,966,355,213503,"如何通过多指标选币提高命中率。

散户是没办法引导中长期行情，只能决定有消息利好或者kol宣传产生的瞬时行情。
作为散户用一些指标选币，目的还是找到俩类币。
a.庄家建仓拉升中或者拉升前暴露痕迹的币种。
b.庄家极大可能会选中来操盘建仓的币种，但还没有被选中。

币的数量太多，首选要做的是怎么快速缩小目标范围，同时目标重点尽量放在a类。

第一，我们可以先通过现货的交易量，流通市值，交易量和市值的比值三个一起来缩小范围。
如图一，比如以币安交易量作参考，先确定好选交易量在2千万美金以上的币（交易量代表资金活跃度水平，博傻群体比较多。同时能保证自己如果买的金额相对较大的话好进好出）

其次再根据自己的交易偏好，确定想要交易的币种流通市值范围，比如自己的交易偏好市值在2000万美金到5亿美金，如图二自己排序，对比过滤。
然后再把过滤出来剩余的币作交易量和流通市值的比值排序，再进一步过滤，比如比值大于0.3的留下。这时候应该很接近目标范围了，可能不到15个。

第二，对最后目标范围内的币种，按个做链上地址排行榜的观测，对前15名的持币地址逐个查看，看其中有没有那种持续从交易所买币提到链上的地址。发现有的重点关注。

第三，在剩余币种中，挨个查看推特官推，活跃的重点关注。

第四，对剩余的币种在推特挨个搜索，看有没有没有发生实际利好而被喊单的情况，华语和英文推特都算，排除相关币种。如果发生实际持续性跟官推有关的利好同时被喊单的币种可以重点关注。

第五 剩余的值得关注的币种现在可能不到5个。然后再进行最后一步删查，a.如果有合约的币，优先重点关注合约持仓量大或者合约持仓量逐日放大或者突然暴增的币。
b.如果没有合约，优先重点关注连续多日交易量放大的币。
c.如果以上都雷同出现多个币，优先考虑是否是公链，是否是eth或btc的l2，是否是ai相关赛道。
d.在比特币eth下跌的时候，对不跌的重点关注，尤其是能逆势上涨的。

这样最后目标可能就只剩下不到4个。
币安出现过很多几千万美金没上合约，然后疯狂拉盘，把市值拉到3-5亿美金上线合约的情况，所以也不能完全对没有合约的币有偏见。

选好币以后，就是买入点的确定，对成本有洁癖苛求的可以根据k线涨跌的情况最好能让自己买在5分钟k线插针调整的波谷或者5分钟k线连续上移直接买入，也可以在大饼回撤插针的节点买入。
如果资金充裕，对最后难以抉择的目标可以都平均金额买入。",https://x.com/xiaomustock/status/1771930186680058266
1901156147119427821,2025-03-16 06:18:41,S,86,819,229,806216,"讲一下我这个为啥专门买合约持仓量和市值比高的币，不管这些币干啥的光看合约持仓量.
1.首先合约持仓量占市值比例高的话说明多空的对手盘充足。
2.他的合约持仓量越高甚至超过市值说明庄家越强，说明庄家筹码越足，它有极强的拉盘动力。
3.因为对收盘充足一旦开始拉盘（或者砸盘），高杠杆的对手盘肯定会心慌跑路做燃料拉盘平空。

打个比方，如果你昨天25开空了auction，现在拉到28不慌不慌，你割不割肉？
你如果割肉买入那这样高比例的合约持仓里面有无数个跟你一样这样想的人。
他们会因为一点点价格拉升而心发慌，担心利润回撤，担心亏损，担心爆仓，
然后反向走人买入作燃料。",https://x.com/xiaomustock/status/1901156147119427821
1912906793719832746,2025-04-17 16:31:34,S,83,1155,308,554904,"写持续爆拉的山寨的做空指标，
在爆拉之前，庄家的持仓方向肯定是多单，

1.跟随价格的上涨，合约持仓的名义价值跟持仓量保持一致持续贴合增长.

抛开最早写过的费率指标，
当庄家准备结束操盘的时候.
它会先走掉自己建立的多头仓位转换成空头仓位.
在这个过程中合约持仓的图上会出现一个非常显眼的特征.
2.跟随价格的上涨，合约持仓的名义价值突然与持仓量分离！出现开口空洞.
这时候就是庄家通过拉盘或者托盘平多卖出多头仓位，然后建立空单.
因为这个节点庄家的操作会明显的大额影响到持仓量的多少.但价格的上升或者托盘会显示为名义价值可能一直在增长或者脱离贴合的曲线.",https://x.com/xiaomustock/status/1912906793719832746
1699745290893336656,2023-09-07 11:23:51,S,79,400,139,71925,"（给你们整理在一条推文里可以加标签收藏一下）
负费率拉满的时候是代币见顶信号，一般都是拉到所有人都来做空，然后爆掉他们仓位，庄家才能把自己的多单平掉，空单埋进去，基本上就轮到现货砸盘了。现在费率为正，还远远没到见顶的阶段，做空的太少。

负费率拉满同时伴随着期现巨大的价格差，同时也因为期现有了价格差，负费率才被拉满，但是期现的价格差又来自于做空远大于做多，压制了期货价格从而造成了期现之间产生了价格差。以perp为例子，就现在来看，远没有到负费率拉满的阶段，那就远没有到顶。以庄家角度，必须拉出对手盘才能保证自己可以安全下车，空军就是它的对手盘，不做空，相当于与庄同在。

很少有违背这个思路的特例出现，至少在带合约的山寨币中没有出现过。大道至简，用好这个思路你绝对也能赚死，它跟所有热钱追捧的币有关，离钱最近

按照这个逻辑，目前perp的费率才-0.2%，还有很大的上升空间，币价还能继续拉

如果价格没有动，费率从0到顶格拉满，比如1.5%，2%，2.5%

那价格也到头了

这个适用于已经爆拉的币，去继续追高买的时候找买卖点，买卖点直接跟合约费率挂钩，不跟k线和币价挂钩

如果买入后，币价不动，费率持续上升，拉满后那么买点也是卖点，所以跟币价和k线毫无关系。只跟费率有关

就像，现在perp费率一直在涨，到0.33%了，币价没涨，那么如果这样维持着币价不动费率却拉满了那就也要跑

同时这个方法也只适用于做多和现货买入看多，不适合做空，费率拉满后是见顶信号，但不是真正的顶，只是相对于做多或者现货来说基本上吃到头了可以走了，但对于做空的来说，费率拉满后依然可以继续爆拉暴涨，我只做多和现货买多，从来不做空🤚

基本上就这些😂我总结的经验，给你们整理出来。我不会做空的，只会这个做多的。🤣🙏",https://x.com/xiaomustock/status/1699745290893336656
1911292173980733874,2025-04-13 05:35:39,S,78,500,78,196866,"这个号用更稳健的操作方式来搞.
1.每笔操作的30%利润买btc现货.
每笔操作亏损超过30%，用btc现货补齐操作资金，否则继续操作.
一直增加现货btc的持仓量，让这个新号也能顺利100万u.

2.每一笔交易严格设置止盈止损，防插针和自己上头追保证金.尤其是高倍杠杆，保证止损后还有钱继续玩能活下去，永远不归零不下拍桌.

3.最稳健的以一篮子做空山寨和找机会做多btc为主.感觉市场没机会优先做空山寨，觉得有机会优先做多btc.

4.拉升过程中的山寨不空不参与，只痛打落水狗暴跌了再空吃后半段，不用忍受费率.

5.对极其大格局撒钱盘面还很稳的山寨做多，对抠逼全网一起骂的项目方但盘面也很稳的山寨也做多.其他的类型都空，如果拉盘都主动止损不硬扛.",https://x.com/xiaomustock/status/1911292173980733874
2031760597742924272,2026-03-11 15:54:09,S,74,102,24,91374,"这是一份基于 2026 年行业现状、技术路线及近期地缘政治黑天鹅事件（美伊战争）深度拆解的专业化工分析报告。
全球烯烃与芳烃产业链及地缘政治冲击分析报告 (2026)

摘要
本文通过对比煤基（Coal-based）与油基（Oil-based）工艺路径，拆解大宗烯烃与芳烃的供需逻辑。结合 2026 年初爆发的美伊冲突，量化分析地缘政治对化工产业链的冲击烈度。

一、 产业链技术路径：油制 vs 煤制

1. 烯烃产业链 (Ethylene & Propylene)
烯烃是化学工业的“基石”，主要包括乙烯、丙烯等。

油制烯烃 (Naphtha Cracking):
工艺： 石脑油蒸汽裂解。
优势： 技术极度成熟，副产物丰富（含有丁二烯、芳烃等），适合大规模炼化一体化。
劣势： 强相关于国际油价。当原油超过 $70/bbl 时，竞争力开始受挫。

煤制烯烃 (CTO/MTO):
工艺： 煤炭 \rightarrow 合成气 \rightarrow 甲醇 \rightarrow 烯烃。
优势： 原料廉价且供给稳定（尤其在煤炭资源丰富的地区如中国西北）。在油价波动时具备极强的盈利防御性。
劣势： 碳排放极高（约为油制的 2-3 倍），投资密度巨大，耗水量大。

2. 芳烃产业链 (BTX: Benzene, Toluene, Xylene)
芳烃是合成纤维、塑料和高性能材料的源头。

油制芳烃 (Catalytic Reforming): * 主路径： 通过重整装置（Reformer）将石脑油转化为富含芳烃的组分。目前占据全球 90% 以上的份额。
特征： 产量与炼厂开工率高度正相关，且受到汽油调和需求的竞争（甲苯/二甲苯可提升辛烷值）。

煤制芳烃 (MTA):
主路径： 煤基合成气转化为甲醇，甲醇进一步催化芳构化。
现状： 虽然中国宝丰能源等企业已实现技术突破，但在 2026 年 依然属于“小众路径”，主要作为煤基产业链的增效补充，尚未撼动石油基的统治地位。

二、 大宗化工品种分类梳理
根据交易规模与下游应用，2026 年核心大宗种类如下：

烯烃类（核心：PE 聚乙烯、PP 聚丙烯）
主要流向包装、家电、汽车以及光伏（EVA）等终端领域。这一类品种与宏观经济走势密切相关，常被视作经济活跃度的重要指标。

芳烃类（核心：PX 对二甲苯、BZ 纯苯）
主要用于生产 PTA（进而支撑纺织涤纶产业链）以及苯乙烯衍生物（如 EPS 泡沫、ABS 塑料）。该类品种受炼厂排产计划影响显著，且具有明显的纺织旺季季节性特征。

中间体（核心：MEG 乙二醇、EB 苯乙烯）
处于产业链中游，向下衔接聚酯瓶片、合成橡胶及高性能工程塑料。这类产品在贸易市场上极为活跃，是期货市场中交割量巨大的核心品种。

三、 战争冲击：美伊冲突对大宗市场的定价逻辑

2026 年 2 月末爆发的美伊冲突是典型的“供给端极端压力测试”。
1. 受影响最大的类别：油制石化品 (PE, PP, PTA, PX)
直接冲击路径： 霍尔木兹海峡（全球 30% 原油及大量中东石化产品出口必经之地）面临封锁。
涨价幅度预测： 预计受原油价格跳涨至 $100 - $120/bbl 带动，相关石化品价格可能在短时间内飙升 20% - 35%。
供需失衡点： 聚乙烯 (PE)。中东是全球 PE 最重要的净出口区之一，海峡封锁将直接切断亚洲和欧洲的低价货源。

2. 供需失衡最严重的品种：乙二醇 (MEG) 与 PX
乙二醇 (MEG)： 中东乙烷基 MEG 的低成本优势使其占据全球贸易流的核心。若海峡断航，亚洲市场将出现 25% 以上 的供给缺口。

对二甲苯 (PX)： 虽然中国 PX 自给率已高，但由于原油进口成本大幅抬升，成本支撑将强行推高价格，导致下游 PTA 企业出现“负毛利停工”，引发纺织全产业链的通胀压力。

3. 煤化工的避险溢价：宝丰等企业的“红利期”
战争背景下，煤化工与油化工的“估值差”会迅速拉开：
成本脱钩： 煤价由国内长协保护，相对稳定；油价疯涨。

替代效应： 当油基 PE/PP 价格因原料暴涨而失去竞争力时，煤制产品将补足市场空缺，获取超额利润（Windfall Profit）。

四、 结论与建议

核心判断： 2026 年美伊战争将导致
芳烃链（尤其是 PX/PTA）出现几乎无法替代的严重成本驱动型上涨，
而烯烃链（PE/MEG）因煤质成本优势产生煤化工替代，煤化工利润暴增成本几乎不变。

以上是跟gemini对话生成，烯烃对于煤化工相当于成本不变利润暴增所以煤化工的宝丰能源在战争第一天开始就连续涨停板，还是机构专业。我们韭菜后面才后知后觉知道这些原因。

纯苯是芳烃之首，所以想搞一把看看能不能验证，开了一把纯苯2605的大宗。",https://x.com/xiaomustock/status/2031760597742924272
1751532485190779136,2024-01-28 09:07:41,S,72,396,64,313542,"1万刀到十万刀这个阶段，一旦行情不好或者行情太好，你会尝试搞合约做空，死在半道上。因为他们看到了希望想获得更大的成功，又不想浪费下跌行情，认定了自己就是交易天才，或者认定某个大v给指出的比特币方向就是100%发生的真理去操作合约，然后万万没想到事不如人愿插针或者反向拉盘，一觉醒来接近爆仓，你依然坚信自己认定的方向就是对的，继续追加保证金，直到自己把所有现货账户里面的u都划转到了u本位合约账户，才发现自己已经没有退路了，自己只需要扛住这最艰难的一段行情，绝对所有亏损都会回来的。你现在已经没有想着赚钱，只希望自己能回本，看着合约单子-266%的收益率，你连睡觉都睡不着的，隔几分钟就要看一下账户，生怕自己就爆仓了，紧张的你只想再抽根烟喝口水，平复内心的焦虑，后背紧绷。就这么在你爆仓价10%附近来回摩擦折磨了你几个晚上，你觉得曙光快来了。眼神迷离，这天你刚睡醒，打开账户看着还好，没爆，起身撒了泡尿，洗了把脸，你生怕单子真爆了，洗脸之余还不忘再看一眼，还好还好，没有。在关上卫生间门的那一刻，兜里的手机震了三下，你慌张的赶紧打开手机，屏幕上是三个短信，俩个提示你追加保证金，一个是爆仓提示，大脑🧠发懵，你还是不敢相信，不甘心打开了那个让你整夜整夜睡不着的app，没了，合约界面没有持仓订单，白色的，不想接受这个现实，你用手拍打着脑袋抓了一下头发，切换到总资产，0.3u…….

你抽了一根烟，又刷了一下app，0.3u…..

打开了借呗，才想起来哪里还有额度可以借，网商贷也没额度，切到了微信又去看了一下微粒贷，提示还有1万五千的额度，你不甘心，申请了一下，提示本产品暂不能为您服务。

一想到这个月要还的各种贷款2万六，自己一个月工资七千块，你低下脸找好朋友和哥哥姐姐问了一圈，你不敢说你炒币，只是给他们说，你装修，差个几万块钱，顺利的借到了3万块，你想着还完这个钱还是身无分文，又冲进去。

看着账户的5000u，原本是10倍合约，如果快速把亏掉的钱都拿回来，你直接开了20倍，觉得现在绝对绝对的顶了，不会再涨了，开完单子，你在群里假装淡定的聊着天。

突然一条推特弹窗，贝莱德今日再次加仓了2万枚btc，你立马切换到app只看到了一根接近4%的大阳线，同时手机再次连续震动了三下，你知道，来不及了，一切都晚了，一切都完了…..

无数催债短信，各种贷款平台电话轰炸，来自父母的询问，你是不是欠了一堆钱……

悔恨，自责……你像个懒赌鬼一样，翻找着所有曾经用过的账户，地址，看看有没有遗漏的资金，翻找着银行卡看看还剩下多少钱。开始对身边人编瞎话，开始欺骗………..

群里不再有你活跃的身影，原本一天能说八百句的你，再也没有出现过，更没有对接下来的行情评头论足，他们甚至以为你买哪个币发了，不炒币了，嗯，你确实不炒币了……也没钱再炒。

几年过后，一轮牛熊，你在外面终于喘了口气，债务解决了七七八八，但是还是对币圈的亏损充满执念，依然坚信这是唯一可以翻身的地方，“我失去的东西我一定要拿回来！”你，又来了…..带着过去亏损的教训，重新接受这个市场的洗礼！谨小慎微，几经磨难，重新站上了10万美金！你又变回了那个充满自信的炒币男孩，但始终对合约产生了挥之不去的恐惧，敬畏！",https://x.com/xiaomustock/status/1751532485190779136
1700037613002887520,2023-09-08 06:45:26,S,72,216,46,69180,"再讲讲合约持仓大于或者远大于流通市值的买入原理：

庄家在拉盘之前，如果是实力非常强大的庄家，肯定要在合约里先埋入合约多单，对庄家来说越多越好，trb就是那会埋入了三倍于流通市值的多单，等多单买进去后，庄家才开始拉盘现货，所以在8.27号那天四条强买入条件居然全中，这个很少见到这种情况发生，庄家只需要很少的钱拉盘现货，在合约里他能赚到三倍于现货涨跌幅的钱，理论上它不建仓的话能一直拉盘拉下去，永动机。不过做空的人太多的时候期货价格跟不上去，那么庄家拉盘就没有收益了。基本上这时候费率也拉满了，很显然trb现在就处于这种状态，现货28u，期货22u，基本上就是trb绝对的顶部，因为庄家再拉盘的话没有任何收益了，合约不跟随了（应该是交易所不想亏钱了故意压住了合约价格）

这是合约持仓量大于流通市值作为买入条件的底层逻辑，建议收藏一下🤚👻",https://x.com/xiaomustock/status/1700037613002887520
