推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
2017581784142340144,2026-01-31 12:52:36,S,94,1008,117,120479,"你俩说了那么多，假惺惺做了那么多澄清，
@cz_binance @heyibinance 
敢公布10.11号这天的你们币安的收益么？
敢公步币安所有用户那天的整体亏损么？
那天所有散户的钱去哪里了最简单直接.
谁的理财产品bug也很直接！
为什么要让所有无辜的普通人以及被波及到的其他交易所散户去为你们理财bug买单？

你们币安自己却赚麻了？这他吗什么世道，为什么还他妈有一堆舔狗？艹！你们这些舔狗良心过得去吗我日！拿钱能心安吗？

舔狗说币安做了很多贡献，投了很多crypto项目，试问过去三年币安做了什么贡献？
pump是币安投资出来的？
hyper是币安投资出来的？
polymarket是币安投资出来的？
币安都想干死他们三个吧，落井下石的时候我看都在.全部投资搞了仿品想取而代之偷天换日？对应搞了form，搞了aster，搞了predict，这就是币安的build，这尼玛逼的build，靠偷靠抄来干死币圈创新，
对了这个币安钱包也是抄ok钱包来的.

顺便得提一句，如果币安账户哪天被封了，币安钱包里的资产你都看不到拿不走！
哪有一点中本聪的初衷去中心化.

周末看了一下，这俩口子把白银黄金暴跌当成了自己的反击机会.
你们平台的usde循环贷理财，bnsol，wbeth脱毛导致大户和做市商的资产被币安接管，然后砸向市场.
所以这中间usde脱毛的最低价和市场里一大堆山寨插针90%的最低价时间不一样.
因为币安循环贷的usde理财深度奇差，在托管资产砸盘中砸的更深，出清的速度最慢，最低价出现的也更晚.
大户和做市场才有钱去搞币安这些理财产品，产品的流动性bug引发做市商资产被托管砸盘，各交易所之间的搬砖机器人把币安理财bug导致的砸盘传导到所有交易所，然后整个市场为币安的理财产品缺陷买单.

这俩口子就是装糊涂，肥了一波大的搞个几十亿美金死都不会吐出来，",https://x.com/xiaomustock/status/2017581784142340144
1701126511716368589,2023-09-11 06:52:20,S,86,362,96,398969,"构建属于自己交易体系或者策略，首先是需要找到自己擅长的细分领域，比如现货？etf？杠杆？期货？期现套利？还有理财产品借贷和现货搭配套利，链上工具做夹子赚钱？费率套利？五花八门，但只要你在某一个细分领域一直可以赚到钱或者赚钱的概率大于50%，都值得总结成策略反复使用。

就拿现货来说，又分长周期，中周期，短周期情绪。每种玩法对应的策略肯定也大相径庭。我只会短周期四五天那种赚情绪的钱，因为自身性格缺陷，易冲动没耐心，短周期的情绪操作更适合我。

确定好最适合自己的细分领域之后，就需要开始具像化自己的买入条件，卖出条件，止损条件，每次操作的资金配比。在确定使用策略之前最好能通过编写python量化工具，爬历史数据来回测一边自己策略的收益率，看看能不能真正保证自己的策略是可执行的，盈利的，然后再去根据行情的变化修正。

然后我们需要几个方面去辅助。
1.安全的交易场所，cex币安，ok或链上钱包相对靠谱的dex比如uni，1inch，如果策略执行在非常冷门的交易所那就很可能要做好损失全部资金的准备，收益必须要和自己自己面临的损失成正比。别钱是赚了交易所跑路了，或者链上defi跑路了😂。

2.针对策略的需求编写相应的监测工具，或者用现成通用的监测工具给自己提供即时的监测服务，对币安ok或者链上数据实时监测，最好可以即时发到微信上的那种。

3.充分全面及时的信息接收，对有价值的推特进行监测比如@wublockchain12 @EmberCN ，加入相对有价值的社群，尤其是可以给你提供非常多即时事件的群，层次和活跃度越高越好。他们更容易发现最新的事物，发现行业最新的动态或者创新。没人说话和做交易的社群建议直接退掉。比如brc20，如果信息比较广的人可能在三月10号左右知道有比特币铭文这个事情。还有就是一些财经软件比如金色财经有些数据信息和经济数据预告也相对有价值。

4.学习：可以是书，但只能作为借鉴，真正赚钱的东西不会写在里面。投资类的书肯定不是写出来的，而是在金融市场中用钱堆出来的。
也可以是自己或者自己认为身边通过交易起家的币圈牛人（非常多，每个人发财的门道其实都不太一样，我一个朋友七分他靠币安的etf打针撸了小一千万。现在没这个漏洞了）

甚至可以是很多老表的亏钱经验，也非常值得学习。如果你能把币圈五花八门的亏钱方式都避开，那赚钱概率肯定在50%以上，活到下一个牛市的概率在99%以上。

5.原则：要知道在这市场里什么事情不能做，跟上一条有点类似，多看看身边的人是怎么亏完的，多听听他们的故事，分析总结他们亏损的原因，形成自己的交易原则，时刻保持敬畏，不越界。

6.心态：心态高于技术高于策略，看淡盈亏。亏损及时止损时要有壮士断腕的勇气，符合条件追高时也要有一击命中的信心。
不要去追求每次交易都盈利才走，很容易在判断失误的时候造成非常巨大的亏损。尤其在合约里面，能不玩尽量不要去玩合约，合约最恐怖的风险就是不认错扛单加保证金梭哈扛单最终灰飞烟灭一无所有，这样的例子在币圈数不胜数。

交易的核心是人，取决于盈利的不是市场，而是人，所以要了解自己，尤其是对自己的性格弱点和优势全面分析了解，你才明白你到底适合什么样的策略，以怎么样的心态面对交易。

（总结不易，多多收藏，视频与文字无关，纯粹吸睛）",https://x.com/xiaomustock/status/1701126511716368589
1808163489061785853,2024-07-02 15:39:04,S,83,569,147,354874,"未来几年的投资打算。
1.国内现金部分，50%买大a里的场内纳斯达克etf指数，50%买农业银行和中国银行的股票。
（人民币贬值则纳斯达克指数是美元资产被动受益增值。额外还能吃美国科技股红利。未来持续放水首先淹四大行受益，资产膨胀每年6%分红。）
2.国外美刀部分，30%美债吃5%年利息。60%按周期配置英伟达，特斯拉，微软。
（ai依然是未来10年增长最快最有想象力的行业，排除掉亚马逊，因为亚马逊也是做线上购物的，最后肯定会被类似抖音这种视频软件的直播购物冲击）
3.固定资产投资，找人口多密度高治安好安全的一些发达国家，民宿或者酒店收租子，稳定现金流。
4.加密投资，90%btc，10%看情况投鸡meme，meme收益60%继续买btc，40%可能提现成美刀或者人民币。今后不看好任何山寨币了，没太大意义，顶多几万刀超短期投机一下。
5.用心经营推特，给自己买的meme提高曝光度。一个公司可以通过新闻媒体来给自己的业务宣传，换成个人用推特给自己的投资宣传自然无可厚非，当成一个投资来用心对待推特流量。
6.用极少量的资金，体验和寻找不同于以往的投资类别，寻找新的可能性。
有一个视频非常好，诺基亚一开始的业务是卖卫生纸，三星最初是杂货店，兰博基尼刚开始是造拖拉机，宜家曾经是卖笔的，你第一份赚钱的业务不一定是最好的，币圈也是，继续保持往前走，just keep going！",https://x.com/xiaomustock/status/1808163489061785853
1930258429396062382,2025-06-04 13:40:46,S,83,485,77,765268,"刚看见俩人被交易所干了爆料一个你们害怕的事情，一线二线交易所现在正在干的事情.
他们这些交易所都做的ai工具.
1.如果你干的低流动性合约开的金额非常大，空直接拉盘插针干你，多直接砸盘插针干你.
2.如果你开的btc，eth，sol这种的高倍合约比如20倍+，金额巨大但保证金极少，你挂的止损价或者爆仓价很接近现价的时候，
他们做的ai系统检测整个平台价格控制有利可图的时候.
交易所会短时间操纵btc，eth，sol价格，做多暴跌插针干你，做空爆拉插针也干你.
在干掉你后立马拉回来.

这俩个交易所系统ai自动化流水线的在操作，一线大所和二线小所都在这么干.
远离低流动性山寨合约和主流高倍合约.🙏",https://x.com/xiaomustock/status/1930258429396062382
1729388035593404592,2023-11-28 06:33:32,S,82,468,153,229763,"开水，既然是最佳买点，那肯定是“抄底”，那么就得明确底的含义，或者向下插针，“针”含义。明确到不仅手动可以买，套入代到程序里写成代码也可以买。
拿比特币来说，
1.比如三个连续4小时k线下跌幅度大于4%
2.五个连续15分钟k线连续下跌2%，2个连续15分钟上涨1%

以上应该可以判断出价格曲线是一个v字型。同时跌幅扩大后，阶段性止跌回升，“针”基本形成。

但对山寨币而言，可能需要更多维度判断去考虑能不能买，因为山寨币能不能连续上涨基本上取决于庄家意志。

而且山寨币抄底的针幅度也相对要比btc大很多倍才可能安全。

对于没有大幅拉升（涨幅2倍以内），而且可以确定有庄家操作，交易量也相对比较大的币来说，回调25%抄底都是非常安全的，也没有太大可研究的，只要看起来像根针，你又比较喜欢这个币，同时坚信牛市的情况下，完全可以买（买的时候要先配合比特币插个针，来个小瀑布最安全）
这样的买入心理最踏实，但是很需要很需要耐心，因为中间要慢慢等待，不会发生任何买入交易。

但对于拉升幅度很大的币（涨幅四五倍左右），目前从1亿以下或者附近开始拉盘，拉升的币安极限是5亿左右，基本上到这个市值区间就力竭往下走了。这种币的针有俩种考虑的角度去抄底。
1.起涨点价格的2倍附近根据盘面插针的形态去选择合适机会抄底。
2.最高价的20-25%抄底
这俩个哪个发生就用哪一个抄底。

同时，除了抄底价格外，抄底的时间也不是只要价格满足就能抄底，
对没有太大拉升的币，一定有配合比特币针的时效性抄底。
对于大幅拉升的币则选择第一波砸盘的时间窗口去抄底。因为这个时间段热钱还没完全散户，最好赚钱，其他阶段不参与。

抄底唯一困难的就是耐心，我很多时候也没有，所以也经常亏😂",https://x.com/xiaomustock/status/1729388035593404592
1977617889797800268,2025-10-13 06:10:21,S,81,1036,113,260907,"这波舔币安的有很多，我讲句最公道的话.
这次因为币安自身理财产品usde，bnsol，wbeth的流动性事故，导致很多大户爆仓进而把山寨和btv，eth，sol都爆砸到更狠的位置.

本来很多散户不会爆仓或者被打止损的，但就是被波及到，
连锁反应爆了，几百亿的爆仓金额，多少万人的家庭.
他们不可能被赔偿，但谁能说币安在这里面没有责任，他们的资产永远回不来了，也没任何人会替他们说一句抱歉.
好话不能都说了，我也算是这场灾难的受害者，喷俩句没毛病吧.",https://x.com/xiaomustock/status/1977617889797800268
1804754806369907152,2024-06-23 05:54:11,S,79,335,44,91577,"币圈炒作的的本身不是价值，炒的是“关注度”或者是说注意力经济。
这里除了btc没价值，而meme则象征一种反旧的权贵的思维。

1.最初doge和shib起飞，很多人是反的老的btc早起玩家可以很便宜cheaper的价格获得btc吃足了红利，而后期入圈的玩家只能几万刀接盘他们的货。meme就是顺应这个问题诞生的，不买老og的btc，bch，eth，ltc等等他们吃足红利的老币，而是买零足够多价格足够低市值足够小的全流通meme。shib当时没有上一个交易所四月份我身上全部的钱买了eth的2.0reth被锁住出不来，只剩10万u梭哈了shib。很感激这个币，让我那会一波过千万。

2.现阶段的meme的象征思维转换到了反cex，反vc。
散户在现货交易内有三条路可以选
a.买btc，eth倍数太少，资金少根本没法暴富。
b.买几年前的老山寨币，实际情况是这些项目基本上有个俩三年就已经软跑路了，有些甚至把项目连带推特号卖掉了。毫无流动性，甚至还能定期砸一些筹码出来。
c.买cex和机构组局造的10%流通的垃圾新币，有流动性和关注度，但是几十亿市值高开持续数年砸盘，经济模式上已经注定买了拿住就是必亏局。

对于所有散户来说，在交易所里一条的赚钱路子都走不通，只是cex和机构案板上的鱼肉。
那就只能寻求链上的meme，不管是btc，eth还是sol链的meme，危险性变大了很多的同时，也提供了更多暴涨百倍以上的机会。ordi，sats，rats，maga，bome等等一大堆meme。

链上这些meme倍数是有了，但是想买中他们却很难，几百个里面出不了一个，这就得说回开头的第一句，币圈交易本质，“关注度”，很多热点事件连带产生的meme关注会很高，如果这个热点事件具有持续性那么连带产生的meme就能持续性上涨。
就像21年的doge，跟首富马斯克挂上钩后，他经常提到doge，提一次doge就往上爆拉一次，从无数个0最后接近1美金。

更形象应该是“注意力经济”，所有人在乎的，关注的，反差的，只要能持续存在的“注意力”，那伴生存在的meme也就能一直存在或者上涨。

——码字不易，多点个赞",https://x.com/xiaomustock/status/1804754806369907152
1914687509533221026,2025-04-22 14:27:30,S,78,254,31,206633,"《空BTC执念成灰》  

凌晨三点，你盯着比特币7.4万美元的价位，烟灰缸里塞满了扭曲的烟头。  

“特朗普这关税炸弹……跌过头了吧？”你猛灌一口冰咖啡，手指悬在“买入”键上颤抖——昨天刚割肉的10倍多单，现在价格比你的止损点还低3000刀。  

终究没敢按下去。  

三天后，比特币突然拉出一根光头阳线，直冲8.2万。你在工位上偷偷切换到币安刷新K线，掌心全是汗：“假的，肯定是诱多……”可价格还在涨，8.3万，8.5万，大群里克里斯老表带头刷屏“牛回速归”。  

“头肩顶！绝对的头肩顶！”你截了张四小时图发到群里，20倍空单开仓截图紧随其后，“9万是铁顶，不信看RSI都超买了”。  

这次有人回你了。  
「哥，这行情像2021年疯牛啊股汇债三杀比特币必涨！……」  
「你懂个屁！」你秒回，「美联储还要加息！老美物价都上天了cpi爆表.」  带着执念，你50倍杠杆又空了比特币.

夜里比特币突破8.7万，你的保证金比例掉到110%。你红着眼把几个好兄弟手里借的5万全砸进去补仓，顺手疯狂转发老美经济衰退和比特币利空的新闻。  

第二天中午，微策略mstr官宣继续增持6000多枚比特币，均价8.5万美金。  

“又来？机构就会割散户！”你嘶吼着摔了外卖筷子，办公室所有人转头看你。
夜里领导突然通知让你加班，但看着屏幕上那根擎天柱大阳线刺得你眼睛生疼耳朵仿佛屏蔽了外界一切声音——9万破了，9.1万，9.2万……  

手机突然疯狂震动。  
  “保证金率低于10%，请及时补充保证金”
  “您持有的BTC/USD空单已被部分强平”
  “…….请及时补充保证金……”

你冲进厕所隔间，蹲在马桶上把你以为可以赖账不还的微末朋友那里借来的最后8000块钱梭哈。可还没等输完验证码，一条推送弹窗炸碎所有希望：  
“比特币反弹到9.3万美元，本月新高”

隔间外的同事听见一声闷响——是你的额头撞在金属门板上的声音。  

二十秒后，强平通知如约而至。  
账户余额：11U，去掉你打算卖10u打针的钱，刚好够提现时扣手续费。  

这一刻你感受到来自肺部和喉咙的疼痛，才想起你已经甲流俩周了.

微信群你问道“出10u去打针，热宝要收u嘛”
“给我转，sol链”
“过去了，晚上去打针，甲流好难受.”
…..
“…. 转了又要人还，是个男人吗，傻不拉几的…再bb踢出去了！”

你瘫坐在马桶上嘴角吐出血丝，机械地翻着手机：信用卡待还6.8万，消费贷12万，这个月房贷还没着落……再回想到自己刚被骗的10u突然笑出声——原来人真的会哭着笑。  

深夜，你蹲在小区绿化带旁抽烟，手机亮着跟亲姐姐微信的聊天界面橙色的幽光。  
默念着
“这是最后一次……现货，只玩现货……”  
打火机的火苗晃了晃，你的眼底，猩红，像极了三年前那个爆仓的夜晚。",https://x.com/xiaomustock/status/1914687509533221026
1700721515162149349,2023-09-10 04:03:01,S,77,468,163,169960,"熊市没得钱赚，lit和cyber被暴打，今天分享一个寻找狗庄的方法，独属于区块链有。每天可以对着币安涨幅前15的所有币去链上查各个币的持仓地址，重点关注俩个信息。
1.交易所地址余额的变化
2.非交易所地址有无建仓地址疯狂买入。

如果交易所地址的币都是整体流出到非交易所地址，那么肯定狗庄在建仓，不过这个前提是基于狗庄不是交易所本身，并且狗庄对交易所不信任担心他们的数据盘，所以会提币到链上，逼空交易所的流动性快速拉盘。

这个有很多案例可以参考，比如以前在币圈动静很大的yfii，就发生过狗庄提空了币安的yfii，然后交易所爆拉。还有今年5月底的lina，也是这个操作。我给你们一个6月2号的lina链上一个地址截图你们就明白了，再看看6.2号的价格。

今天是超级干货，总结不易建议收藏✋🏼✋如果不是熊市彻底没行情了我是不会分享出来的。我用这个思路赚了一百多万美金",https://x.com/xiaomustock/status/1700721515162149349
1969835755074965933,2025-09-21 18:46:56,S,76,298,38,225851,"我一直坚信一个原则：
伟大的机会绝对显而易见随时可以上车！
如果是因为比较小众，或者老鼠仓，更或各种杂七杂八的原因，导致不敢下手买，那么也不是啥好机会.
伟大的机会随时梭哈都能赚到！永远不嫌晚.

即使这是币圈，但不乏btc，eth，sol，
传统投资圈的英伟达谷歌腾讯.

区别在于
平时看到的信息量级，
我们可以定义其“伟大”的程度，来觉得他值得梭哈多久多远.",https://x.com/xiaomustock/status/1969835755074965933
