推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
1739170883158282523,2023-12-25 06:27:05,S,61,309,39,121483,"对昨天ksm和movr做一个复盘，犹豫，错失了很好的一个交易机会，但是不妨吸取教训，下一次碰到类似的事件可以变得更果断。

在movr爆拉的时候，12.24号早晨9.35左右，我不清楚movr是什么，问了一下朋友，他说glmr是波卡的emv链 movr是ksm的evm。

因为此刻movr涨了100%，10涨到20多，既然movr是ksm的evm，那就要符合不管movr怎么涨，movr市值应该远小于ksm，如若不是，那就是ksm远远低谷了。

在9.35分这个时间点，movr市值是2亿美金左右，ksm3亿多点，价格刚刚40u，movr市值相当于ksm60%市值了，明显严重低估，而且位置横盘极其安全，即使不赚但也很难亏。

同时波卡系在那一刻全部都在爆拉，而且ksm的movr是拉的最猛的，ksm纹丝不动，最佳买点。

下午俩点很快这个机会被修正，kms爆拉到了52，不过其中肯定也有movr继续爆拉的因素在里面。

如果有类似同属关系，附属代币暴涨，稳健的话可以买主待涨（从强者更强看，算稳定的贫穷😂，涨跌幅都会弱于最强的那个）

买币有时候就像发现市场中的错估，然后等待其他人也发现这个问题的时候，在他买入和狂热的时候，你把提前买入的筹码扔给他，送有缘人币手有余香。",https://x.com/xiaomustock/status/1739170883158282523
1913493319063130271,2025-04-19 07:22:12,A,57,254,29,120363,"很多人应该重新理解这段话，
做交易就是与所有人为敌.
尤其是炒币，代币本身不产生利润.
那么所有人赚到的钱本身都是来自博弈.
所以我从来没有搞过带单跟单，
不想跟任何人产生直接资金来往.

不管是链上还是交易所内，
最终都会有人买单这个代币的涨幅，或者跌幅.
一个人在链上赚到几百万美金
或者交易所赚到几百万美金.
必然会有无数人可能上千人输掉他们的本金.
trump让很多人赚到了1m，几m，甚至有不少上千万美金.
伴随的就是数十万人归零，链上直接死亡沉寂2个月.

交易本身就是博弈，你的对手就是跟你在同一条船上的所有人.
不过有一点能让我们赚更多，或者少亏损.
每一步交易减少韭菜思维，多以庄家角度思考，寻找庄家痕迹，模仿学习庄家或者聪明钱包，直至能成为庄家.",https://x.com/xiaomustock/status/1913493319063130271
1853066369765720213,2024-11-03 13:27:05,A,56,565,107,178665,"松鼠的主人起初是救助了这个孤儿松鼠🐿️然后把它放生到野外，松鼠自己重新跑回来跟它的主人一起生活。环保署以“松鼠住所不安全”为由，动用四个部门权力机构，出具警察搜查令带走了这个网红“松鼠🐿️”。
当他的主人再次去问询自己的松鼠的时候竟被告知松鼠已经被安乐死。

三年前我们也似曾相识，这世界好像变得也越来越没有那么不同。松鼠都如此何况僵硬，美国民主党政府已经走到了民众利益的对立面。这只松鼠被纽约市政府以保护松鼠的名义安乐死，多么抽象才能干出来的事情🥲

没有边界的政府权力在损害民众的自我权力。
这种没人性的执法感觉就像一个腐朽到极致的机器，呆板的作着钟锤摆动。",https://x.com/xiaomustock/status/1853066369765720213
1721724768905474163,2023-11-07 03:02:27,A,56,477,129,476127,"arb流通14亿美金，未流通100亿美金
op流通13亿美金，未流通60亿美金
apt流通18亿美金，未流通60亿美金
sui流通5亿美金，未流通51美金

四种情况（假设三年全流通）

假如说，你买了100万美金的arb，arb流通市值不变，长期持有，三年后全流通还是14亿美金，你手里的100万美金arb就会被稀释成10万美金，缩水90%

假如说，arb市值一直在增长，3年全流通，市值增长了10倍😂，你买了的100万美金的arb还是100万美金。

假如说arb市值一直在缩水，三年全流通但市值缩水一半，你买了100万美金的arb变成了5万美金，缩水95%😂

那么你想长期持有并赚钱的话，arb必须比第二种情况更厉害，市值疯狂增长，市值增长20倍，用了三年时间你才100万美金变成200万美金。

但是单纯从概率上看，哪一种情况的概率都会比第四种高，也就是三年内你赚钱的概率低于25%😂，亏钱的概率大于75%，盈亏比1/4，很差劲，拿着这种币有什么意义呢😂短期投机可以，长期持有是真的很傻。

这个是针对所有低流通，高比例的未流通代币而言。这类币只适合短期的投机，绝对不能长期拿。",https://x.com/xiaomustock/status/1721724768905474163
2097575198375772302,2026-09-09 06:37:53,A,56,249,24,140873,"从7月到现在原油快翻倍了，导致各种化工产品价格也非常高，化肥也是石油化工的一环。
叠加厄尔尼诺气候影响，多种因素把农产品价格也带起来了。
黑天鹅才是真正的暴富机会，
最爽的是黑天鹅这几年几乎每年都有。
疫情期间的负油价，gpt诞生，俄乌，关税，美伊….几乎没间断过。
所以平时没黑天鹅大机会的时候不要硬干，不要硬上杠杆。
活得久所有机会才跟你有关。",https://x.com/xiaomustock/status/2097575198375772302
2083997560654663931,2026-08-02 19:25:11,A,55,591,59,382519,"这个gate被盗170万美金现在比较明晰，
gate这波公关太抽象。
就是黑客没有掌握用户最新的谷歌验证也没掌握邮箱密码，也不知道手机验证码，
只是一直提交重置申请，
然后gate系统人脸不通过，
gate开始给人工手持审核，把假得不能再假的手持给通过了，
黑客借此重置了谷歌验证，重置了邮箱，
添加了白名单地址，
然后最后提笔到从未用过的地址又一次被gate系统拦截，
然后人工审核给依据一份黑客声称的支付宝录屏给通过了，
也就是说gate系统审核中的人脸识别，谷歌验证，邮箱验证全都没通过，gate人工全给黑客的假的不能再假的资料过了。

没立案之前gate嘲讽用户说是用户自己的人脸比对，已经保留了视频和照片。
立案后gate说是他们系统没有保存人脸识别的视频和照片，只给识别结果😂

也就是说全程从头到尾都人脸识别异常，不管是系统还是人工，但最终gate依据支付宝就觉得是本人给过了。
自己的安全项认证全都不信，gate信没有人脸信息的支付宝录屏？

gate是不是提前声明了支付宝能作为你gate账户资产安全项的审核依据？
那别人币安或者okx或者信用卡被盗是不是录个屏就能顺手盗你gate用户资产？因为看起来币安@binance 和 @okx 确实比gate安全点。就像支付宝在gate认知里比gate安全一样。",https://x.com/xiaomustock/status/2083997560654663931
2016061926145720626,2026-01-27 08:13:14,A,55,251,34,68802,"今天在旧金山的早晨，OpenAI CEO山姆·奥特曼和一群开发者聊了1个小时总结：
1.软件工程师不会被取代，但工作方式会变化，更多人将参与“让计算机按自己意图行事”的工作。
2.产品开发变得更容易，但市场推广仍是最大挑战，因为“人类的注意力始终稀缺”。
3. AI将带来巨大通缩压力，降低创造门槛，有望成为社会平衡力量，但需防止财富集中。
4.通用模型是未来方向，写作等短板将被补齐。成本有望大幅下降，但“速度”可能成为新瓶颈。
5.软件将向“个性化定制”演进，每个人都可以拥有为自己生成的工具。
6.生物安全是2026年最值得警惕的领域，AI治理需从“阻断”转向“韧性建设”。
7.幼儿园阶段应减少AI与电子设备使用，最应培养“高能动性、适应力、创造力”等软技能。

以上第二条以后的价值对我们普通人最大，门槛和成本最低最有利，用心经营真心对待各位老板们😄.尽我所能给老表们提供点全球视角的投资方面的价值.",https://x.com/xiaomustock/status/2016061926145720626
1972554750764933283,2025-09-29 06:51:15,A,54,316,68,240638,"八年前的今天，币安cex初建，11月份的bnb也1刀多.
现在cz再次做交易所perp dex，aster初建，
aster也一刀多.
cz在视频中说，dex未来会远远超过币安，
可能四五年后的今天，一刀多的aster也会成长为大人模样重走币安之路.
1.aster手续费回购销毁
2.aster抵扣销毁.
3.aster 持仓ieo打新
……
等等等，全都会在aster重现.
2u的aster会不会像如今bnb一样涨到1000刀，
来回旋镖验证cz说的超越cex超越币安本身.",https://x.com/xiaomustock/status/1972554750764933283
1920163140681281879,2025-05-07 17:05:42,A,54,190,35,389075,"炒币的本质是玩概率.
如果你一开始计算出的目标数学期望是10块钱投出去你赚13块钱出来.
怎么才能无限接近于13呢.
按照大数定律，随着重复次数接近无穷大，数值的算术平均值几乎肯定地收敛于期望值。
单次你赌一个币涨或者一个币跌，来完成你赚13块钱的概率并不大而且不稳定.
如果你把一揽子标的，比如同类型或者同样思路选出来的10个币，20个，或者50个币做成一个组合，总投入金额还是保持10块钱.
那你最终的收益就会几乎肯定的收敛在你一开始计算的数学期望13块.

所以做空尽量别只做空一个，
做多也别只做多一个，
只要跟你最初的想法单个投入的金额一致，
你的风险会更低，
收益会更确定.",https://x.com/xiaomustock/status/1920163140681281879
1911650790089114044,2025-04-14 05:20:39,A,52,576,22,190307,"以前有一条产业链不知道现在存在与否.
我在足浴店洗脚的时候，问起洗脚妹颜值这么高这么年轻怎么没在读书就出来工作了.
她说欠了几十万的网贷家里穷也没法还，就退学工作了.

后面洗了几个都是这样的原因来上班.
之后了解到这在当年原来是一条成熟的产业链.
高利贷小贷公司在校园打广告推广.
视频人脸验证的时候贷款公司对这些大学生过滤，颜值高身材好家境差的就给放大额套路贷.
然后诱导他们以贷养贷，滚雪球，滚到几十万的时候，就开始恐吓他们给家里给学校打电话，爆通讯录.
然后顺带给这些被套路的高颜值学生妹推荐工作，说去夜场，或者去足浴店上班，一个月还3万，包吃住，俩年你就可以还完.
很多妹子就是这么下海，或者被带进了足浴店做按摩.

学生时代欠钱有负债是很危险的事情，
我觉得放贷的人应该有罪恶感.
引导他们走向贷款这一步的人也应该有罪恶感.
推广学生炒币大概就是类似.
这里不仅没有监管还有百倍杠杆.
哪个国家都不敢给学生推广让学生炒股票吧，更何况虚拟币.",https://x.com/xiaomustock/status/1911650790089114044
