id,date,domain,is_featured,likes,retweets,replies,views,text,images_count,local_images,url
2102306755137225205,2026-09-22 07:59:24,加密大周期与核心资产,⭐ 精选,400,38,40,107885,"币圈唯一良心项目方就是HYPE，
程序化链上执行手续费和回购销毁，不玩猫腻，
所以才有了现在不仅在1011后没有一蹶不振，而是不断刷新币价最高纪录，
其他的所有这些所谓回购的平台币都是爸散户当傻逼糊弄，所以他们的币价跟回购毫无关联，全部在造假玩数据玩文字游戏。
想到俩个公司可以解释这种现象，
一个美国的好市多costco，
一个大陆的胖东来。
坚持只赚自己该赚的一部分钱，坚守很低的利润比例红线给客户选优质好货，坚决不拿自己不该拿的钱，生意反而越做越大。

人们自身追逐于更多利益，但怕跟自己合作的或产生关联的人跟自己一样，那么很可能自己会变成自己这种用谎言换取更大利益的趋利性受害者，当人人都如此的时候，costco和胖东来居然看起来强的耀眼，
hype也一样，
我就喜欢每次btc回调或者暴跌的时候，
反而不买btc只抄hype，
言行一致的真诚真是太可贵。",1,images/2102306755137225205_0.jpg,https://x.com/xiaomustock/status/2102306755137225205
2102233613287014700,2026-09-22 03:08:45,交易心法复盘与个人进化论,⭐ 精选,158,14,15,136135,"$META 和腾讯暴涨本质都是因为agent，
但是真要找一家纯粹的agent公司非常难，市场里基本上没有，之前meta公司收购的manus如果香港上市可能是唯一纯度100%的agent智能体公司。
不过神奇的点是腾讯居然又是manus最大股东….. https://t.co/KiQNELotGe",2,images/2102233613287014700_0.jpg;images/2102233613287014700_1.jpg,https://x.com/xiaomustock/status/2102233613287014700
2101334948032712755,2026-09-19 15:37:47,交易心法复盘与个人进化论,⭐ 精选,903,47,7,267228,"下周美和华领导人会面，必然互相有承诺，
所以我以布局美诺华😂 https://t.co/Zvz8WoHHWj",1,images/2101334948032712755_0.jpg,https://x.com/xiaomustock/status/2101334948032712755
2100512071603667433,2026-09-17 09:07:58,加密大周期与核心资产,⭐ 精选,135,4,53,50474,"持续加息不必然导致市场崩盘，
最直观的例子是上世纪90年代的互联网技术爆发期，那个年代利息长期高达10%以上。

相似之处是这个时代的AI技术对人类的影响不亚于互联网技术。
未来真的很难看懂会怎么变化，尤其是身处这种前所未有的变革面前。",1,images/2100512071603667433_0.jpg,https://x.com/xiaomustock/status/2100512071603667433
2100482996193394771,2026-09-17 07:12:26,加密大周期与核心资产,⭐ 精选,166,7,53,133305,"加息对 $CRCL 来说是超级无敌大利好，
它的利润都来自短债利息，相当于收入增加了，而且美联储说了还要继续加，那未来收入增长也明确了，不应该被错杀，
它应该是最值得用来做加息降息交易的股票。
加息直接暴涨，降息直接暴跌。
市场麻瓜太多了，居然砸盘了昨天。",0,,https://x.com/xiaomustock/status/2100482996193394771
2100474692457103708,2026-09-17 06:39:26,加密大周期与核心资产,⭐ 精选,149,3,24,451751,"网上一堆因为arc链直播视频出现多个印度人喷circle的，虽然印度人口碑确实差，
但是美联储昨天加息，并且预示下次继续加息，这对稳定币生意为主的 $CRCL 应该是大利好，能吃到的利息更多了。
昨天莫名其妙被错杀还跌了，理应加息大暴涨。
那个加密法案没通过本身就是好事情，有个议员喷特朗普说它家搞加密捞的钱比最大加密上市公司赚的都多。这个法案相当于给这些政客捞金合法化，有很大漏洞所以投了反对票并不是因为他们这些议员反对稳定币或者加密。",1,images/2100474692457103708_0.jpg,https://x.com/xiaomustock/status/2100474692457103708
2098970898510626824,2026-09-13 03:03:53,美股硬科技与AI半导体,⭐ 精选,193,8,58,77491,"如果再过50年，可能那时候的人类会变成离开AI就成了纯白痴。
看不懂代码，没有任何计算能力，
没有各学科的基本常识，
他们不敢相信人能手搓电影。
人能设计芯片，飞行器，火箭，核弹。
可以自己写app，自己做海报，设计建筑。

50年后的AI可能看那时候的人类跟猴子没啥区别，就像我们看大猩猩和恒河猴，都是猴子，即使猩猩聪明点。",1,images/2098970898510626824_0.jpg,https://x.com/xiaomustock/status/2098970898510626824
2097678792768844268,2026-09-09 13:29:31,加密大周期与核心资产,⭐ 精选,304,25,236,249439,"four是币安团队自己做的。
起点是2018年左右何一主导收购了期货交易所jex，是何一败笔，jex跟币安合并后也没能搞下去，jex币安团队在21年5月份转型尝试做了链游bnx，再后来bnx游戏上币安后也黄了，
币安就让bnx团队再做了four发币平台用来抄袭恶心sol链的pump。
很多人喷four却不敢喷币安这夫妻俩，但实际上喷four就是喷他们夫妻俩，four吃了数亿刀手续费做的事比狗还狗，怎么恶心怎么来。",1,images/2097678792768844268_0.jpg,https://x.com/xiaomustock/status/2097678792768844268
2097575198375772302,2026-09-09 06:37:53,现货期货微观与庄家行为学,⭐ 精选,249,24,20,140873,"从7月到现在原油快翻倍了，导致各种化工产品价格也非常高，化肥也是石油化工的一环。
叠加厄尔尼诺气候影响，多种因素把农产品价格也带起来了。
黑天鹅才是真正的暴富机会，
最爽的是黑天鹅这几年几乎每年都有。
疫情期间的负油价，gpt诞生，俄乌，关税，美伊….几乎没间断过。
所以平时没黑天鹅大机会的时候不要硬干，不要硬上杠杆。
活得久所有机会才跟你有关。",1,images/2097575198375772302_0.jpg,https://x.com/xiaomustock/status/2097575198375772302
2097169902218231865,2026-09-08 03:47:22,美股硬科技与AI半导体,⭐ 精选,0,0,0,0,"美股仓位我主要是 $RAM 和 $INTW 
ram跟踪多dram价格的波动不会特别难受，
intw则是坚信国会山股神佩洛西的实力，她直达天庭的信息让她胜率80%， $INTC  是她最近猛干加仓的第二大仓位。",2,images/2097169902218231865_0.jpg;images/2097169902218231865_1.jpg,https://x.com/xiaomustock/status/2097169902218231865
